航班,機型,編號,航廈,機坪,轉盤,表定,預計,高度,狀態
JX784,A321-252,,2,D12,,22:25:00,22:12:00,已落地/滑行,
JX206,A321-252,,1,A1,,22:25:00,22:14:00,已落地/滑行,
JX746,A321-252,,2,D13,,22:30:00,22:18:00,650 ⬇️,即將落地
IT607,A320-232,,1,B1R,,22:30:00,22:21:00,1000 ⬇️,即將落地
BR872,B787-9,,2,C6,,21:25:00,22:25:00,2975 ⬇️,進場中
HB706,B737-800,,1,B2,,22:15:00,22:18:00,1200 ⬇️,即將落地
IT213,A320-232,,1,B1R,,21:20:00,22:17:00,已落地/滑行,
JX792,A321-252,,2,D10,,22:05:00,22:33:00,5800 ⬇️,進場中
CI7840,-,,1,,,22:15:00,22:15:00,13350 ⬇️,排隊中
CI920,B737-800,,1,A3,,21:50:00,22:39:00,12675 ⬇️,排隊中
TR875,B787-9,,1,B8,,23:10:00,22:35:00,4550 ⬇️,進場中
BR635,B777F,,1,503,,22:50:00,22:37:00,9025 ⬇️,排隊中
CI836,A330-300,,1,A9,,22:25:00,22:37:00,16650 ⬇️,排隊中
BR715,A330-300,,2,D11,,23:00:00,22:37:00,13875 ⬇️,排隊中
CI173,A330-300,,2,D1,,21:15:00,22:43:00,15300 ⬇️,排隊中
IT255,A320-232,,1,B1R,,23:00:00,22:46:00,19950 ⬇️,排隊中
