Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1775194858,2026-04-03T05:40:58Z,MDA992,"24.345428,120.381065",16575,355,32
1775194889,2026-04-03T05:41:29Z,MDA992,"24.38867,120.411194",15750,351,32
1775194921,2026-04-03T05:42:01Z,MDA992,"24.432266,120.441742",15200,336,32
1775194953,2026-04-03T05:42:33Z,MDA992,"24.47307,120.470375",14900,316,32
1775194985,2026-04-03T05:43:05Z,MDA992,"24.511477,120.497269",14200,312,32
1775195017,2026-04-03T05:43:37Z,MDA992,"24.550323,120.524597",13550,306,32
1775195049,2026-04-03T05:44:09Z,MDA992,"24.588892,120.551628",12800,306,32
1775195081,2026-04-03T05:44:41Z,MDA992,"24.626133,120.577698",12125,304,32
1775195108,2026-04-03T05:45:08Z,MDA992,"24.660187,120.599571",11450,298,21
1775195111,2026-04-03T05:45:11Z,MDA992,"24.662863,120.600548",11400,296,18
1775195113,2026-04-03T05:45:13Z,MDA992,"24.665657,120.601486",11350,295,16
1775195115,2026-04-03T05:45:15Z,MDA992,"24.668682,120.60231",11300,294,13
1775195117,2026-04-03T05:45:17Z,MDA992,"24.671265,120.602974",11275,293,12
1775195119,2026-04-03T05:45:19Z,MDA992,"24.674547,120.603767",11225,293,12
1775195122,2026-04-03T05:45:22Z,MDA992,"24.677811,120.6045",11175,293,11
1775195124,2026-04-03T05:45:24Z,MDA992,"24.680054,120.605011",11125,292,11
1775195126,2026-04-03T05:45:26Z,MDA992,"24.683207,120.605682",11075,292,11
1775195128,2026-04-03T05:45:28Z,MDA992,"24.685913,120.606285",11025,292,11
1775195130,2026-04-03T05:45:30Z,MDA992,"24.68898,120.606895",10975,292,11
1775195132,2026-04-03T05:45:32Z,MDA992,"24.691727,120.607498",10925,292,11
1775195135,2026-04-03T05:45:35Z,MDA992,"24.695171,120.608223",10875,292,11
1775195137,2026-04-03T05:45:37Z,MDA992,"24.697964,120.608841",10825,292,11
1775195150,2026-04-03T05:45:50Z,MDA992,"24.715096,120.612625",10550,291,11
1775195163,2026-04-03T05:46:03Z,MDA992,"24.732878,120.616776",10275,289,11
1775195176,2026-04-03T05:46:16Z,MDA992,"24.749496,120.620674",9975,289,11
1775195189,2026-04-03T05:46:29Z,MDA992,"24.766582,120.624649",9700,288,11
1775195202,2026-04-03T05:46:42Z,MDA992,"24.783737,120.628662",9425,286,12
1775195215,2026-04-03T05:46:55Z,MDA992,"24.800949,120.632629",9150,284,11
1775195230,2026-04-03T05:47:10Z,MDA992,"24.819443,120.636902",8725,288,11
1775195245,2026-04-03T05:47:25Z,MDA992,"24.839296,120.641335",8350,290,11
1775195253,2026-04-03T05:47:33Z,MDA992,"24.849678,120.644707",8175,293,21
1775195256,2026-04-03T05:47:36Z,MDA992,"24.853363,120.646515",8100,294,24
1775195258,2026-04-03T05:47:38Z,MDA992,"24.855652,120.647835",8075,294,27
1775195260,2026-04-03T05:47:40Z,MDA992,"24.858522,120.64978",8025,295,32
1775195262,2026-04-03T05:47:42Z,MDA992,"24.860849,120.651596",8000,295,35
1775195264,2026-04-03T05:47:44Z,MDA992,"24.863131,120.653511",7975,295,38
1775195266,2026-04-03T05:47:46Z,MDA992,"24.86467,120.654907",7950,294,41
1775195268,2026-04-03T05:47:48Z,MDA992,"24.867228,120.657501",7900,295,42
1775195271,2026-04-03T05:47:51Z,MDA992,"24.869431,120.659843",7875,294,44
1775195273,2026-04-03T05:47:53Z,MDA992,"24.871418,120.662064",7850,294,45
1775195275,2026-04-03T05:47:55Z,MDA992,"24.873419,120.664291",7825,293,46
1775195277,2026-04-03T05:47:57Z,MDA992,"24.875336,120.666504",7800,293,46
1775195279,2026-04-03T05:47:59Z,MDA992,"24.877258,120.668793",7775,292,46
1775195281,2026-04-03T05:48:01Z,MDA992,"24.879564,120.671494",7725,292,46
1775195283,2026-04-03T05:48:03Z,MDA992,"24.88147,120.673729",7700,292,46
1775195285,2026-04-03T05:48:05Z,MDA992,"24.882963,120.675537",7675,292,46
1775195287,2026-04-03T05:48:07Z,MDA992,"24.885178,120.678047",7650,292,46
1775195290,2026-04-03T05:48:10Z,MDA992,"24.887375,120.680641",7600,291,46
1775195292,2026-04-03T05:48:12Z,MDA992,"24.889252,120.682831",7575,290,46
1775195304,2026-04-03T05:48:24Z,MDA992,"24.900932,120.69632",7375,287,46
1775195317,2026-04-03T05:48:37Z,MDA992,"24.912523,120.70948",7150,283,46
1775195330,2026-04-03T05:48:50Z,MDA992,"24.924454,120.722908",6950,281,45
1775195345,2026-04-03T05:49:05Z,MDA992,"24.93808,120.737984",6725,280,45
1775195358,2026-04-03T05:49:18Z,MDA992,"24.949722,120.750679",6525,280,44
1775195371,2026-04-03T05:49:31Z,MDA992,"24.962036,120.763954",6300,277,44
1775195384,2026-04-03T05:49:44Z,MDA992,"24.974066,120.776802",6150,268,44
1775195397,2026-04-03T05:49:57Z,MDA992,"24.985611,120.788933",5950,264,43
1775195411,2026-04-03T05:50:11Z,MDA992,"24.997604,120.801491",5800,256,43
1775195423,2026-04-03T05:50:23Z,MDA992,"25.008499,120.812889",5650,246,43
1775195437,2026-04-03T05:50:37Z,MDA992,"25.019081,120.824219",5450,240,47
1775195441,2026-04-03T05:50:41Z,MDA992,"25.021545,120.827736",5400,235,55
1775195443,2026-04-03T05:50:43Z,MDA992,"25.02301,120.830231",5350,233,59
1775195445,2026-04-03T05:50:45Z,MDA992,"25.024017,120.832314",5325,229,63
1775195447,2026-04-03T05:50:47Z,MDA992,"25.024841,120.834351",5275,227,67
1775195450,2026-04-03T05:50:50Z,MDA992,"25.025692,120.837013",5250,224,71
1775195452,2026-04-03T05:50:52Z,MDA992,"25.026344,120.83976",5200,221,75
1775195454,2026-04-03T05:50:54Z,MDA992,"25.026672,120.841881",5175,218,79
1775195456,2026-04-03T05:50:56Z,MDA992,"25.026855,120.844116",5150,215,84
1775195458,2026-04-03T05:50:58Z,MDA992,"25.026901,120.846306",5100,210,90
1775195460,2026-04-03T05:51:00Z,MDA992,"25.026762,120.848885",5075,206,95
1775195462,2026-04-03T05:51:02Z,MDA992,"25.026484,120.85096",5025,203,99
1775195465,2026-04-03T05:51:05Z,MDA992,"25.026031,120.85302",5000,200,104
1775195467,2026-04-03T05:51:07Z,MDA992,"25.02562,120.854546",4975,197,107
1775195469,2026-04-03T05:51:09Z,MDA992,"25.024796,120.857185",4925,195,110
1775195471,2026-04-03T05:51:11Z,MDA992,"25.023926,120.859528",4900,194,112
1775195473,2026-04-03T05:51:13Z,MDA992,"25.023239,120.861305",4875,193,113
1775195476,2026-04-03T05:51:16Z,MDA992,"25.022432,120.863289",4825,193,114
1775195478,2026-04-03T05:51:18Z,MDA992,"25.021637,120.865173",4800,194,114
1775195480,2026-04-03T05:51:20Z,MDA992,"25.020851,120.86702",4775,194,115
1775195482,2026-04-03T05:51:22Z,MDA992,"25.020105,120.868835",4725,193,115
1775195484,2026-04-03T05:51:24Z,MDA992,"25.019035,120.871216",4675,193,115
