Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1775195401,2026-04-03T05:50:01Z,CCA195,"25.435135,121.819359",14025,269,244
1775195433,2026-04-03T05:50:33Z,CCA195,"25.418289,121.779884",13275,269,244
1775195464,2026-04-03T05:51:04Z,CCA195,"25.401169,121.740974",12500,272,243
1775195497,2026-04-03T05:51:37Z,CCA195,"25.383133,121.700233",11725,274,244
1775195509,2026-04-03T05:51:49Z,CCA195,"25.376324,121.684364",11525,269,244
1775195522,2026-04-03T05:52:02Z,CCA195,"25.369537,121.668549",11350,266,244
1775195535,2026-04-03T05:52:15Z,CCA195,"25.362776,121.652649",11125,263,244
1775195548,2026-04-03T05:52:28Z,CCA195,"25.356033,121.637062",10900,262,244
1775195561,2026-04-03T05:52:41Z,CCA195,"25.349167,121.62104",10650,261,244
1775195574,2026-04-03T05:52:54Z,CCA195,"25.342758,121.606239",10425,259,244
1775195588,2026-04-03T05:53:08Z,CCA195,"25.335358,121.589272",10225,256,244
1775195601,2026-04-03T05:53:21Z,CCA195,"25.328568,121.573738",10050,253,244
1775195615,2026-04-03T05:53:35Z,CCA195,"25.321903,121.558334",9925,248,244
1775195628,2026-04-03T05:53:48Z,CCA195,"25.315573,121.54351",9800,243,244
1775195643,2026-04-03T05:54:03Z,CCA195,"25.308357,121.526566",9625,238,245
1775195656,2026-04-03T05:54:16Z,CCA195,"25.302292,121.51194",9500,238,245
1775195669,2026-04-03T05:54:29Z,CCA195,"25.29657,121.497856",9375,239,246
1775195682,2026-04-03T05:54:42Z,CCA195,"25.291506,121.483032",9250,238,253
1775195686,2026-04-03T05:54:46Z,CCA195,"25.290161,121.477455",9200,240,256
1775195688,2026-04-03T05:54:48Z,CCA195,"25.289795,121.475777",9200,239,257
1775195690,2026-04-03T05:54:50Z,CCA195,"25.28927,121.472824",9200,239,257
1775195693,2026-04-03T05:54:53Z,CCA195,"25.288712,121.469971",9175,240,257
1775195695,2026-04-03T05:54:55Z,CCA195,"25.2882,121.467438",9175,240,258
1775195697,2026-04-03T05:54:57Z,CCA195,"25.287827,121.465302",9175,239,258
1775195699,2026-04-03T05:54:59Z,CCA195,"25.287315,121.462769",9175,238,258
1775195701,2026-04-03T05:55:01Z,CCA195,"25.286728,121.459709",9175,240,258
1775195703,2026-04-03T05:55:03Z,CCA195,"25.28627,121.457367",9175,239,257
1775195705,2026-04-03T05:55:05Z,CCA195,"25.285826,121.455048",9175,239,257
1775195718,2026-04-03T05:55:18Z,CCA195,"25.282846,121.440125",9175,238,257
1775195733,2026-04-03T05:55:33Z,CCA195,"25.279354,121.422607",9175,238,257
1775195748,2026-04-03T05:55:48Z,CCA195,"25.275816,121.404785",9175,238,257
1775195760,2026-04-03T05:56:00Z,CCA195,"25.272745,121.389648",9175,237,257
1775195774,2026-04-03T05:56:14Z,CCA195,"25.269625,121.373894",9175,238,257
1775195786,2026-04-03T05:56:26Z,CCA195,"25.266632,121.358742",9175,238,257
1775195800,2026-04-03T05:56:40Z,CCA195,"25.263519,121.342979",9175,239,257
1775195812,2026-04-03T05:56:52Z,CCA195,"25.26059,121.327919",9175,238,257
1775195826,2026-04-03T05:57:06Z,CCA195,"25.257477,121.311951",9175,237,257
1775195838,2026-04-03T05:57:18Z,CCA195,"25.25445,121.296631",9175,238,257
1775195851,2026-04-03T05:57:31Z,CCA195,"25.251434,121.28138",9175,238,257
1775195864,2026-04-03T05:57:44Z,CCA195,"25.24835,121.265739",9175,238,257
1775195877,2026-04-03T05:57:57Z,CCA195,"25.245346,121.250458",9175,237,257
1775195890,2026-04-03T05:58:10Z,CCA195,"25.2423,121.235168",9175,237,257
1775195903,2026-04-03T05:58:23Z,CCA195,"25.239321,121.220192",9125,235,257
1775195917,2026-04-03T05:58:37Z,CCA195,"25.235874,121.202934",8875,235,257
1775195931,2026-04-03T05:58:51Z,CCA195,"25.233032,121.187897",8700,234,258
1775195943,2026-04-03T05:59:03Z,CCA195,"25.230286,121.172638",8475,232,259
1775195956,2026-04-03T05:59:16Z,CCA195,"25.227722,121.157684",8275,230,259
1775195969,2026-04-03T05:59:29Z,CCA195,"25.224976,121.143036",8025,229,254
1775195974,2026-04-03T05:59:34Z,CCA195,"25.223373,121.138306",7925,228,246
1775195976,2026-04-03T05:59:36Z,CCA195,"25.222189,121.13588",7900,229,242
1775195978,2026-04-03T05:59:38Z,CCA195,"25.220793,121.133385",7850,228,236
1775195980,2026-04-03T05:59:40Z,CCA195,"25.219711,121.131798",7800,228,234
1775195982,2026-04-03T05:59:42Z,CCA195,"25.218384,121.130013",7775,228,229
1775195984,2026-04-03T05:59:44Z,CCA195,"25.216553,121.127724",7725,227,227
1775195986,2026-04-03T05:59:46Z,CCA195,"25.215225,121.126099",7700,228,226
1775195989,2026-04-03T05:59:49Z,CCA195,"25.21376,121.124474",7675,228,225
1775195991,2026-04-03T05:59:51Z,CCA195,"25.211884,121.122337",7625,227,225
1775195993,2026-04-03T05:59:53Z,CCA195,"25.210365,121.120689",7600,227,225
1775195995,2026-04-03T05:59:55Z,CCA195,"25.209,121.119133",7575,228,225
1775195997,2026-04-03T05:59:57Z,CCA195,"25.207571,121.117584",7550,226,225
1775195999,2026-04-03T05:59:59Z,CCA195,"25.205477,121.11525",7500,226,225
