Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1775194425,2026-04-03T05:33:45Z,CAL502,"25.873268,122.070679",24650,378,200
1775194456,2026-04-03T05:34:16Z,CAL502,"25.822174,122.050377",23150,369,199
1775194488,2026-04-03T05:34:48Z,CAL502,"25.770172,122.030586",22275,365,198
1775194521,2026-04-03T05:35:21Z,CAL502,"25.719505,122.011986",21675,355,198
1775194553,2026-04-03T05:35:53Z,CAL502,"25.669327,121.993202",20750,349,198
1775194585,2026-04-03T05:36:25Z,CAL502,"25.621653,121.975449",19750,349,198
1775194616,2026-04-03T05:36:56Z,CAL502,"25.572464,121.957146",18700,347,198
1775194648,2026-04-03T05:37:28Z,CAL502,"25.525011,121.937622",17825,335,209
1775194650,2026-04-03T05:37:30Z,CAL502,"25.521606,121.935326",17725,333,212
1775194652,2026-04-03T05:37:32Z,CAL502,"25.519098,121.933418",17625,332,213
1775194655,2026-04-03T05:37:35Z,CAL502,"25.517004,121.931709",17575,331,217
1775194657,2026-04-03T05:37:37Z,CAL502,"25.514118,121.92907",17475,330,220
1775194659,2026-04-03T05:37:39Z,CAL502,"25.511948,121.926826",17400,329,223
1775194661,2026-04-03T05:37:41Z,CAL502,"25.50975,121.924438",17325,328,225
1775194663,2026-04-03T05:37:43Z,CAL502,"25.507736,121.92205",17250,328,227
1775194665,2026-04-03T05:37:45Z,CAL502,"25.505173,121.918846",17175,328,228
1775194667,2026-04-03T05:37:47Z,CAL502,"25.503204,121.916298",17100,327,230
1775194670,2026-04-03T05:37:50Z,CAL502,"25.500687,121.912842",17025,326,231
1775194672,2026-04-03T05:37:52Z,CAL502,"25.498848,121.910309",16975,326,231
1775194674,2026-04-03T05:37:54Z,CAL502,"25.496893,121.907509",16900,326,232
1775194676,2026-04-03T05:37:56Z,CAL502,"25.494986,121.904816",16850,325,232
1775194678,2026-04-03T05:37:58Z,CAL502,"25.492983,121.901917",16775,326,232
1775194680,2026-04-03T05:38:00Z,CAL502,"25.490753,121.89875",16725,326,232
1775194682,2026-04-03T05:38:02Z,CAL502,"25.489073,121.896317",16650,325,232
1775194685,2026-04-03T05:38:05Z,CAL502,"25.486816,121.893059",16575,325,232
1775194687,2026-04-03T05:38:07Z,CAL502,"25.485115,121.890617",16525,325,232
1775194719,2026-04-03T05:38:39Z,CAL502,"25.45578,121.848351",15675,323,232
1775194747,2026-04-03T05:39:07Z,CAL502,"25.433212,121.812286",15200,310,242
1775194749,2026-04-03T05:39:09Z,CAL502,"25.431244,121.807961",15150,310,243
1775194751,2026-04-03T05:39:11Z,CAL502,"25.430044,121.805267",15125,309,244
1775194753,2026-04-03T05:39:13Z,CAL502,"25.428818,121.802467",15075,309,244
1775194755,2026-04-03T05:39:15Z,CAL502,"25.427158,121.798531",15050,310,244
1775194757,2026-04-03T05:39:17Z,CAL502,"25.426254,121.796417",15025,310,244
1775194760,2026-04-03T05:39:20Z,CAL502,"25.424744,121.792908",14975,310,244
1775194762,2026-04-03T05:39:22Z,CAL502,"25.423279,121.789398",14925,310,244
1775194794,2026-04-03T05:39:54Z,CAL502,"25.403595,121.744232",14400,307,243
1775194826,2026-04-03T05:40:26Z,CAL502,"25.383591,121.699272",13875,305,243
1775194858,2026-04-03T05:40:58Z,CAL502,"25.363241,121.653786",13325,303,243
1775194891,2026-04-03T05:41:31Z,CAL502,"25.343445,121.609344",12800,300,243
1775194921,2026-04-03T05:42:01Z,CAL502,"25.324743,121.567345",12275,298,243
1775194954,2026-04-03T05:42:34Z,CAL502,"25.304819,121.522469",11725,296,243
1775194967,2026-04-03T05:42:47Z,CAL502,"25.297028,121.505074",11525,296,243
1775194980,2026-04-03T05:43:00Z,CAL502,"25.289364,121.487854",11300,295,243
1775194995,2026-04-03T05:43:15Z,CAL502,"25.280273,121.46769",11050,293,243
1775195010,2026-04-03T05:43:30Z,CAL502,"25.271164,121.44735",10800,292,243
1775195023,2026-04-03T05:43:43Z,CAL502,"25.263336,121.429955",10600,288,243
1775195036,2026-04-03T05:43:56Z,CAL502,"25.255613,121.412712",10525,276,243
1775195049,2026-04-03T05:44:09Z,CAL502,"25.248459,121.396736",10425,268,243
1775195064,2026-04-03T05:44:24Z,CAL502,"25.240484,121.378922",10300,258,243
1775195077,2026-04-03T05:44:37Z,CAL502,"25.233582,121.363579",10200,250,243
1775195090,2026-04-03T05:44:50Z,CAL502,"25.227077,121.348915",10000,248,243
1775195103,2026-04-03T05:45:03Z,CAL502,"25.220444,121.334023",9725,250,243
1775195116,2026-04-03T05:45:16Z,CAL502,"25.213898,121.319374",9450,253,243
1775195131,2026-04-03T05:45:31Z,CAL502,"25.205894,121.301605",9200,257,243
1775195143,2026-04-03T05:45:43Z,CAL502,"25.199203,121.28672",9175,254,243
