Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1775178122,2026-04-03T01:02:02Z,CAL6842,"24.195969,120.277",17875,382,32
1775178154,2026-04-03T01:02:34Z,CAL6842,"24.244125,120.310448",17000,384,32
1775178186,2026-04-03T01:03:06Z,CAL6842,"24.291779,120.343727",16975,384,32
1775178218,2026-04-03T01:03:38Z,CAL6842,"24.339706,120.377197",16625,377,32
1775178250,2026-04-03T01:04:10Z,CAL6842,"24.386436,120.410004",15200,370,32
1775178282,2026-04-03T01:04:42Z,CAL6842,"24.433777,120.442963",14025,377,32
1775178314,2026-04-03T01:05:14Z,CAL6842,"24.481356,120.476334",13275,376,32
1775178345,2026-04-03T01:05:45Z,CAL6842,"24.526108,120.507713",12600,371,32
1775178371,2026-04-03T01:06:11Z,CAL6842,"24.561054,120.537277",11825,366,42
1775178373,2026-04-03T01:06:13Z,CAL6842,"24.563461,120.539803",11800,367,43
1775178375,2026-04-03T01:06:15Z,CAL6842,"24.565941,120.542458",11775,367,44
1775178377,2026-04-03T01:06:17Z,CAL6842,"24.568596,120.54541",11750,366,45
1775178379,2026-04-03T01:06:19Z,CAL6842,"24.571106,120.548302",11725,367,45
1775178381,2026-04-03T01:06:21Z,CAL6842,"24.573441,120.550995",11700,366,46
1775178384,2026-04-03T01:06:24Z,CAL6842,"24.576462,120.554634",11650,365,47
1775178386,2026-04-03T01:06:26Z,CAL6842,"24.578791,120.557594",11625,365,48
1775178388,2026-04-03T01:06:28Z,CAL6842,"24.580948,120.560303",11575,365,49
1775178390,2026-04-03T01:06:30Z,CAL6842,"24.583191,120.563354",11550,364,50
1775178392,2026-04-03T01:06:32Z,CAL6842,"24.585308,120.566139",11500,364,50
1775178394,2026-04-03T01:06:34Z,CAL6842,"24.587677,120.569359",11450,364,51
1775178396,2026-04-03T01:06:36Z,CAL6842,"24.590242,120.572876",11375,364,51
1775178398,2026-04-03T01:06:38Z,CAL6842,"24.592291,120.575623",11325,363,51
1775178411,2026-04-03T01:06:51Z,CAL6842,"24.606117,120.59433",11025,358,51
1775178424,2026-04-03T01:07:04Z,CAL6842,"24.618965,120.611847",10725,350,51
1775178437,2026-04-03T01:07:17Z,CAL6842,"24.631668,120.629272",10425,345,51
1775178450,2026-04-03T01:07:30Z,CAL6842,"24.644577,120.646919",10150,337,51
1775178463,2026-04-03T01:07:43Z,CAL6842,"24.657278,120.664291",9850,330,51
1775178476,2026-04-03T01:07:56Z,CAL6842,"24.669937,120.681511",9500,323,51
1775178490,2026-04-03T01:08:10Z,CAL6842,"24.682983,120.699257",9050,318,51
1775178503,2026-04-03T01:08:23Z,CAL6842,"24.695389,120.715942",8600,317,51
1775178516,2026-04-03T01:08:36Z,CAL6842,"24.706995,120.731659",8175,316,50
1775178529,2026-04-03T01:08:49Z,CAL6842,"24.718323,120.74707",7925,313,51
1775178542,2026-04-03T01:09:02Z,CAL6842,"24.730545,120.763855",7650,311,51
1775178556,2026-04-03T01:09:16Z,CAL6842,"24.743631,120.781723",7350,308,51
1775178569,2026-04-03T01:09:29Z,CAL6842,"24.754618,120.796753",7100,307,51
1775178582,2026-04-03T01:09:42Z,CAL6842,"24.766479,120.812889",6800,307,51
1775178595,2026-04-03T01:09:55Z,CAL6842,"24.778128,120.828674",6525,305,51
1775178608,2026-04-03T01:10:08Z,CAL6842,"24.789734,120.844475",6275,300,51
1775178622,2026-04-03T01:10:22Z,CAL6842,"24.801178,120.860138",6075,294,51
1775178635,2026-04-03T01:10:35Z,CAL6842,"24.812111,120.87516",5900,286,51
1775178647,2026-04-03T01:10:47Z,CAL6842,"24.822281,120.889076",5725,278,51
1775178660,2026-04-03T01:11:00Z,CAL6842,"24.832397,120.903114",5550,271,51
1775178673,2026-04-03T01:11:13Z,CAL6842,"24.842415,120.916924",5250,268,51
1775178687,2026-04-03T01:11:27Z,CAL6842,"24.852936,120.931381",5075,266,51
1775178700,2026-04-03T01:11:40Z,CAL6842,"24.863251,120.945534",4900,260,51
1775178709,2026-04-03T01:11:49Z,CAL6842,"24.869602,120.954498",4775,254,52
1775178715,2026-04-03T01:11:55Z,CAL6842,"24.873962,120.960999",4700,248,53
1775178724,2026-04-03T01:12:04Z,CAL6842,"24.879822,120.969543",4625,247,52
1775178730,2026-04-03T01:12:10Z,CAL6842,"24.883987,120.975594",4600,247,52
1775178738,2026-04-03T01:12:18Z,CAL6842,"24.889893,120.984093",4525,247,52
1775178747,2026-04-03T01:12:27Z,CAL6842,"24.89609,120.992279",4450,248,49
1775178749,2026-04-03T01:12:29Z,CAL6842,"24.89772,120.994247",4425,247,48
1775178751,2026-04-03T01:12:31Z,CAL6842,"24.899534,120.996529",4425,247,48
1775178760,2026-04-03T01:12:40Z,CAL6842,"24.90596,121.004387",4350,248,48
1775178766,2026-04-03T01:12:46Z,CAL6842,"24.91127,121.010895",4300,248,48
1775178775,2026-04-03T01:12:55Z,CAL6842,"24.91745,121.018677",4225,246,48
1775178783,2026-04-03T01:13:03Z,CAL6842,"24.924347,121.027359",4150,246,48
1775178790,2026-04-03T01:13:10Z,CAL6842,"24.929235,121.03363",4100,245,49
1775178797,2026-04-03T01:13:17Z,CAL6842,"24.933929,121.039787",4050,244,50
1775178805,2026-04-03T01:13:25Z,CAL6842,"24.940035,121.047676",4025,243,49
1775178814,2026-04-03T01:13:34Z,CAL6842,"24.946646,121.055916",3900,244,48
1775178822,2026-04-03T01:13:42Z,CAL6842,"24.952972,121.063744",3725,244,48
1775178831,2026-04-03T01:13:51Z,CAL6842,"24.959309,121.071671",3550,242,49
1775178837,2026-04-03T01:13:57Z,CAL6842,"24.963821,121.077477",3400,238,49
1775178844,2026-04-03T01:14:04Z,CAL6842,"24.96834,121.083221",3250,233,49
1775178852,2026-04-03T01:14:12Z,CAL6842,"24.974251,121.090736",3075,228,48
1775178859,2026-04-03T01:14:19Z,CAL6842,"24.979,121.096802",2925,224,49
1775178868,2026-04-03T01:14:28Z,CAL6842,"24.984678,121.104057",2750,217,48
1775178874,2026-04-03T01:14:34Z,CAL6842,"24.988914,121.109398",2650,211,48
1775178883,2026-04-03T01:14:43Z,CAL6842,"24.994354,121.11628",2500,204,49
1775178889,2026-04-03T01:14:49Z,CAL6842,"24.998459,121.121468",2350,197,48
1775178896,2026-04-03T01:14:56Z,CAL6842,"25.002462,121.126549",2225,192,49
1775178904,2026-04-03T01:15:04Z,CAL6842,"25.007164,121.132507",2100,185,48
1775178913,2026-04-03T01:15:13Z,CAL6842,"25.011959,121.138573",1950,179,49
1775178922,2026-04-03T01:15:22Z,CAL6842,"25.016693,121.144615",1825,173,49
1775178930,2026-04-03T01:15:30Z,CAL6842,"25.020905,121.149902",1700,170,48
1775178938,2026-04-03T01:15:38Z,CAL6842,"25.02504,121.155151",1575,169,49
1775178945,2026-04-03T01:15:45Z,CAL6842,"25.028366,121.159416",1500,167,49
1775178954,2026-04-03T01:15:54Z,CAL6842,"25.032814,121.1651",1375,164,49
1775178960,2026-04-03T01:16:00Z,CAL6842,"25.036119,121.169304",1250,163,48
1775178969,2026-04-03T01:16:09Z,CAL6842,"25.040262,121.174583",1125,161,49
1775178976,2026-04-03T01:16:16Z,CAL6842,"25.043613,121.178833",1050,160,49
1775178986,2026-04-03T01:16:26Z,CAL6842,"25.048641,121.185005",900,159,47
1775178994,2026-04-03T01:16:34Z,CAL6842,"25.052599,121.189926",775,158,49
1775179003,2026-04-03T01:16:43Z,CAL6842,"25.057022,121.195732",625,158,50
1775179020,2026-04-03T01:17:00Z,CAL6842,"25.065125,121.206001",400,160,49
1775179028,2026-04-03T01:17:08Z,CAL6842,"25.068846,121.210762",300,165,49
1775179037,2026-04-03T01:17:17Z,CAL6842,"25.073734,121.217026",150,166,49
