Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1775182075,2026-04-03T02:07:55Z,CHH7987,"27.20636,123.054237",30225,395,200
1775182186,2026-04-03T02:09:46Z,CHH7987,"26.979996,122.921883",30000,391,215
1775182223,2026-04-03T02:10:23Z,CHH7987,"26.926188,122.879227",30000,391,215
1775182261,2026-04-03T02:11:01Z,CHH7987,"26.869579,122.834229",30000,391,215
1775182309,2026-04-03T02:11:49Z,CHH7987,"26.78334,122.765846",30000,392,215
1775182329,2026-04-03T02:12:09Z,CHH7987,"26.751389,122.743401",30000,397,205
1775182331,2026-04-03T02:12:11Z,CHH7987,"26.746353,122.740967",30000,397,203
1775182334,2026-04-03T02:12:14Z,CHH7987,"26.744074,122.739944",30000,397,202
1775182336,2026-04-03T02:12:16Z,CHH7987,"26.740025,122.738098",30000,398,202
1775182339,2026-04-03T02:12:19Z,CHH7987,"26.73509,122.735825",30000,397,201
1775182342,2026-04-03T02:12:22Z,CHH7987,"26.728043,122.732727",30000,397,201
1775182345,2026-04-03T02:12:25Z,CHH7987,"26.724792,122.731277",30000,397,201
1775182347,2026-04-03T02:12:27Z,CHH7987,"26.719681,122.729012",30000,398,201
1775182350,2026-04-03T02:12:30Z,CHH7987,"26.716236,122.727478",30000,397,201
1775182352,2026-04-03T02:12:32Z,CHH7987,"26.712746,122.725891",30000,397,201
1775182384,2026-04-03T02:13:04Z,CHH7987,"26.656416,122.700966",30000,394,201
1775182415,2026-04-03T02:13:35Z,CHH7987,"26.603905,122.67746",30000,394,201
1775182446,2026-04-03T02:14:06Z,CHH7987,"26.551395,122.654167",30000,394,201
1775182478,2026-04-03T02:14:38Z,CHH7987,"26.498045,122.630348",30000,394,201
1775182511,2026-04-03T02:15:11Z,CHH7987,"26.441671,122.605469",30000,395,201
1775182544,2026-04-03T02:15:44Z,CHH7987,"26.385864,122.580887",30000,397,201
1775182575,2026-04-03T02:16:15Z,CHH7987,"26.332031,122.557831",30000,396,201
1775182607,2026-04-03T02:16:47Z,CHH7987,"26.277191,122.534508",30000,396,200
1775182638,2026-04-03T02:17:18Z,CHH7987,"26.222364,122.511238",30000,397,201
1775182671,2026-04-03T02:17:51Z,CHH7987,"26.166733,122.487503",29600,399,201
1775182701,2026-04-03T02:18:21Z,CHH7987,"26.114365,122.465065",28625,400,201
1775182732,2026-04-03T02:18:52Z,CHH7987,"26.061619,122.442207",27625,398,201
1775182764,2026-04-03T02:19:24Z,CHH7987,"26.006012,122.418533",26650,394,201
1775182785,2026-04-03T02:19:45Z,CHH7987,"25.971817,122.401947",26325,383,211
