Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1775181786,2026-04-03T02:03:06Z,TTW231,"25.045755,122.907059",25925,421,275
1775181817,2026-04-03T02:03:37Z,TTW231,"25.052124,122.842964",24850,409,276
1775181849,2026-04-03T02:04:09Z,TTW231,"25.058624,122.777306",23625,400,276
1775181880,2026-04-03T02:04:40Z,TTW231,"25.064896,122.713676",22500,392,276
1775181911,2026-04-03T02:05:11Z,TTW231,"25.070894,122.65287",21350,382,276
1775181942,2026-04-03T02:05:42Z,TTW231,"25.076569,122.594147",20525,383,276
1775181975,2026-04-03T02:06:15Z,TTW231,"25.08284,122.529755",20025,379,276
1775182007,2026-04-03T02:06:47Z,TTW231,"25.088909,122.468277",20000,377,276
1775182039,2026-04-03T02:07:19Z,TTW231,"25.094742,122.408195",20025,376,276
1775182070,2026-04-03T02:07:50Z,TTW231,"25.100739,122.345482",19975,400,276
1775182101,2026-04-03T02:08:21Z,TTW231,"25.104597,122.28167",20000,402,270
1775182134,2026-04-03T02:08:54Z,TTW231,"25.10527,122.216545",19875,397,270
1775182164,2026-04-03T02:09:24Z,TTW231,"25.106049,122.155205",18900,389,270
1775182195,2026-04-03T02:09:55Z,TTW231,"25.106833,122.093704",17625,379,270
1775182227,2026-04-03T02:10:27Z,TTW231,"25.107513,122.032623",16400,363,270
1775182259,2026-04-03T02:10:59Z,TTW231,"25.108246,121.974846",15225,352,270
1775182291,2026-04-03T02:11:31Z,TTW231,"25.108881,121.917252",14975,356,270
1775182323,2026-04-03T02:12:03Z,TTW231,"25.109573,121.858315",14575,349,270
1775182354,2026-04-03T02:12:34Z,TTW231,"25.110168,121.806541",13225,344,270
1775182386,2026-04-03T02:13:06Z,TTW231,"25.110836,121.750336",12050,332,270
1775182419,2026-04-03T02:13:39Z,TTW231,"25.111359,121.696777",11325,310,270
1775182432,2026-04-03T02:13:52Z,TTW231,"25.11145,121.676384",11200,316,270
1775182445,2026-04-03T02:14:05Z,TTW231,"25.111633,121.655579",11075,319,270
1775182458,2026-04-03T02:14:18Z,TTW231,"25.111816,121.633965",11000,306,270
1775182473,2026-04-03T02:14:33Z,TTW231,"25.111725,121.612343",11025,288,267
1775182481,2026-04-03T02:14:41Z,TTW231,"25.110214,121.599884",11050,277,259
1775182483,2026-04-03T02:14:43Z,TTW231,"25.109665,121.596886",11050,274,258
1775182485,2026-04-03T02:14:45Z,TTW231,"25.10907,121.594139",11050,272,257
1775182487,2026-04-03T02:14:47Z,TTW231,"25.108274,121.590408",11050,271,256
1775182490,2026-04-03T02:14:50Z,TTW231,"25.107697,121.588036",11050,268,256
1775182492,2026-04-03T02:14:52Z,TTW231,"25.106964,121.584877",11050,267,255
1775182494,2026-04-03T02:14:54Z,TTW231,"25.106598,121.583305",11050,266,255
1775182496,2026-04-03T02:14:56Z,TTW231,"25.10582,121.580147",11050,266,254
1775182498,2026-04-03T02:14:58Z,TTW231,"25.105017,121.577042",11050,264,254
1775182501,2026-04-03T02:15:01Z,TTW231,"25.104309,121.574196",11050,264,254
1775182503,2026-04-03T02:15:03Z,TTW231,"25.103622,121.57135",11050,264,254
1775182505,2026-04-03T02:15:05Z,TTW231,"25.102844,121.568245",11050,262,255
1775182507,2026-04-03T02:15:07Z,TTW231,"25.102066,121.564842",11050,262,255
1775182520,2026-04-03T02:15:20Z,TTW231,"25.098312,121.549362",11025,261,255
1775182533,2026-04-03T02:15:33Z,TTW231,"25.093985,121.531693",10925,258,254
