Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1775199536,2026-04-03T06:58:56Z,TTW236,"40.942612,140.582947",15050,333,24
1775199566,2026-04-03T06:59:26Z,TTW236,"40.98468,140.608887",14225,330,25
1775199597,2026-04-03T06:59:57Z,TTW236,"41.027435,140.635132",13475,332,24
1775199629,2026-04-03T07:00:29Z,TTW236,"41.071701,140.662598",12625,322,25
1775199661,2026-04-03T07:01:01Z,TTW236,"41.115726,140.689987",11450,321,25
1775199674,2026-04-03T07:01:14Z,TTW236,"41.132263,140.700256",11275,313,25
1775199687,2026-04-03T07:01:27Z,TTW236,"41.149105,140.71077",11125,304,25
1775199700,2026-04-03T07:01:40Z,TTW236,"41.165447,140.720947",10950,296,25
1775199713,2026-04-03T07:01:53Z,TTW236,"41.181553,140.730988",10650,293,25
1775199726,2026-04-03T07:02:06Z,TTW236,"41.196854,140.74054",10325,290,25
1775199741,2026-04-03T07:02:21Z,TTW236,"41.215668,140.752258",9925,288,25
1775199756,2026-04-03T07:02:36Z,TTW236,"41.233505,140.763397",9500,288,25
1775199769,2026-04-03T07:02:49Z,TTW236,"41.249771,140.773499",9150,284,25
1775199782,2026-04-03T07:03:02Z,TTW236,"41.265671,140.783371",8825,281,25
1775199796,2026-04-03T07:03:16Z,TTW236,"41.281361,140.793106",8425,281,25
1775199809,2026-04-03T07:03:29Z,TTW236,"41.296257,140.802338",8075,281,25
1775199821,2026-04-03T07:03:41Z,TTW236,"41.311844,140.812073",7675,280,25
1775199835,2026-04-03T07:03:55Z,TTW236,"41.327179,140.821716",7350,279,25
1775199848,2026-04-03T07:04:08Z,TTW236,"41.342422,140.831299",7025,277,25
1775199861,2026-04-03T07:04:21Z,TTW236,"41.357475,140.840607",6550,280,25
1775199876,2026-04-03T07:04:36Z,TTW236,"41.375164,140.851593",6125,280,25
1775199889,2026-04-03T07:04:49Z,TTW236,"41.391411,140.86171",5800,277,25
1775199902,2026-04-03T07:05:02Z,TTW236,"41.405823,140.870819",5550,274,25
1775199915,2026-04-03T07:05:15Z,TTW236,"41.421249,140.880554",5225,274,25
1775199929,2026-04-03T07:05:29Z,TTW236,"41.436035,140.889862",5000,269,25
1775199941,2026-04-03T07:05:41Z,TTW236,"41.450439,140.898956",4875,262,25
1775199948,2026-04-03T07:05:48Z,TTW236,"41.457138,140.903152",4800,258,25
1775199957,2026-04-03T07:05:57Z,TTW236,"41.46664,140.90918",4700,254,25
1775199965,2026-04-03T07:06:05Z,TTW236,"41.476044,140.915115",4525,251,25
1775199972,2026-04-03T07:06:12Z,TTW236,"41.482651,140.919266",4400,249,25
1775199981,2026-04-03T07:06:21Z,TTW236,"41.492008,140.92514",4225,247,25
1775199987,2026-04-03T07:06:27Z,TTW236,"41.498703,140.929367",4100,247,25
1775199994,2026-04-03T07:06:34Z,TTW236,"41.505615,140.933685",4025,246,25
1775200003,2026-04-03T07:06:43Z,TTW236,"41.51482,140.939392",4000,249,24
1775200009,2026-04-03T07:06:49Z,TTW236,"41.521591,140.943604",4000,250,25
1775200016,2026-04-03T07:06:56Z,TTW236,"41.528183,140.947723",3975,249,24
1775200024,2026-04-03T07:07:04Z,TTW236,"41.53743,140.953461",3975,240,25
1775200031,2026-04-03T07:07:11Z,TTW236,"41.543427,140.957275",3975,233,25
1775200039,2026-04-03T07:07:19Z,TTW236,"41.552307,140.962891",4000,228,25
1775200048,2026-04-03T07:07:28Z,TTW236,"41.559998,140.967758",3975,226,25
1775200057,2026-04-03T07:07:37Z,TTW236,"41.568447,140.973175",3975,221,25
1775200063,2026-04-03T07:07:43Z,TTW236,"41.574638,140.977142",3975,215,25
1775200070,2026-04-03T07:07:50Z,TTW236,"41.580048,140.98056",3975,208,25
1775200079,2026-04-03T07:07:59Z,TTW236,"41.587349,140.985245",3975,198,25
1775200085,2026-04-03T07:08:05Z,TTW236,"41.592983,140.988831",4000,192,25
1775200094,2026-04-03T07:08:14Z,TTW236,"41.599686,140.993042",3975,189,25
1775200100,2026-04-03T07:08:20Z,TTW236,"41.604584,140.996094",3975,183,25
1775200109,2026-04-03T07:08:29Z,TTW236,"41.611137,141.000137",3975,182,22
1775200117,2026-04-03T07:08:37Z,TTW236,"41.618073,141.003708",3975,179,20
1775200119,2026-04-03T07:08:39Z,TTW236,"41.61969,141.004532",3950,178,20
1775200121,2026-04-03T07:08:41Z,TTW236,"41.621239,141.005371",3950,178,20
1775200124,2026-04-03T07:08:44Z,TTW236,"41.623077,141.006271",3925,178,20
1775200126,2026-04-03T07:08:46Z,TTW236,"41.624638,141.007095",3900,179,21
1775200128,2026-04-03T07:08:48Z,TTW236,"41.626221,141.007919",3850,179,21
1775200130,2026-04-03T07:08:50Z,TTW236,"41.628128,141.008881",3825,179,21
1775200132,2026-04-03T07:08:52Z,TTW236,"41.629715,141.009705",3775,179,21
1775200135,2026-04-03T07:08:55Z,TTW236,"41.63118,141.010452",3750,178,21
1775200141,2026-04-03T07:09:01Z,TTW236,"41.635986,141.013016",3675,175,21
1775200148,2026-04-03T07:09:08Z,TTW236,"41.641388,141.015884",3600,172,22
1775200156,2026-04-03T07:09:16Z,TTW236,"41.647614,141.019318",3450,169,22
1775200164,2026-04-03T07:09:24Z,TTW236,"41.653591,141.022614",3275,167,22
1775200171,2026-04-03T07:09:31Z,TTW236,"41.657875,141.024979",3175,167,22
1775200179,2026-04-03T07:09:39Z,TTW236,"41.664185,141.028366",3000,168,21
1775200186,2026-04-03T07:09:46Z,TTW236,"41.66872,141.030853",2850,169,21
1775200195,2026-04-03T07:09:55Z,TTW236,"41.675262,141.034363",2675,169,21
1775200204,2026-04-03T07:10:04Z,TTW236,"41.68185,141.037949",2550,167,22
1775200210,2026-04-03T07:10:10Z,TTW236,"41.686386,141.040359",2525,166,21
1775200219,2026-04-03T07:10:19Z,TTW236,"41.692566,141.043472",2500,164,15
1775200221,2026-04-03T07:10:21Z,TTW236,"41.694122,141.043976",2500,162,10
1775200223,2026-04-03T07:10:23Z,TTW236,"41.695721,141.044205",2475,161,4
1775200225,2026-04-03T07:10:25Z,TTW236,"41.697327,141.044235",2500,160,357
1775200227,2026-04-03T07:10:27Z,TTW236,"41.698929,141.043976",2475,159,351
1775200229,2026-04-03T07:10:29Z,TTW236,"41.700378,141.043503",2475,158,344
1775200231,2026-04-03T07:10:31Z,TTW236,"41.701496,141.042923",2475,157,337
1775200234,2026-04-03T07:10:34Z,TTW236,"41.703079,141.04184",2475,155,330
1775200236,2026-04-03T07:10:36Z,TTW236,"41.704475,141.040497",2475,154,323
1775200238,2026-04-03T07:10:38Z,TTW236,"41.705521,141.039108",2475,153,316
1775200240,2026-04-03T07:10:40Z,TTW236,"41.706337,141.037811",2475,152,306
1775200242,2026-04-03T07:10:42Z,TTW236,"41.706985,141.036545",2475,151,300
1775200244,2026-04-03T07:10:44Z,TTW236,"41.707947,141.034119",2500,152,296
1775200246,2026-04-03T07:10:46Z,TTW236,"41.708572,141.032318",2475,153,293
1775200249,2026-04-03T07:10:49Z,TTW236,"41.709091,141.030563",2475,154,291
1775200251,2026-04-03T07:10:51Z,TTW236,"41.709732,141.028305",2475,154,290
1775200253,2026-04-03T07:10:53Z,TTW236,"41.71019,141.026627",2475,153,289
1775200255,2026-04-03T07:10:55Z,TTW236,"41.710667,141.024857",2475,153,289
1775200257,2026-04-03T07:10:57Z,TTW236,"41.711151,141.02301",2475,152,289
1775200259,2026-04-03T07:10:59Z,TTW236,"41.711784,141.020828",2475,151,290
1775200261,2026-04-03T07:11:01Z,TTW236,"41.71225,141.019135",2475,151,290
1775200264,2026-04-03T07:11:04Z,TTW236,"41.712845,141.016953",2475,150,290
1775200266,2026-04-03T07:11:06Z,TTW236,"41.713394,141.015198",2475,151,291
1775200268,2026-04-03T07:11:08Z,TTW236,"41.713924,141.013351",2475,150,291
1775200270,2026-04-03T07:11:10Z,TTW236,"41.714531,141.011444",2475,150,292
1775200272,2026-04-03T07:11:12Z,TTW236,"41.715179,141.009277",2475,149,292
1775200275,2026-04-03T07:11:15Z,TTW236,"41.715683,141.007584",2475,146,292
1775200277,2026-04-03T07:11:17Z,TTW236,"41.716251,141.005814",2475,143,292
1775200285,2026-04-03T07:11:25Z,TTW236,"41.7183,140.999237",2500,136,292
1775200292,2026-04-03T07:11:32Z,TTW236,"41.719849,140.994171",2475,138,292
1775200301,2026-04-03T07:11:41Z,TTW236,"41.722,140.987106",2475,138,292
1775200309,2026-04-03T07:11:49Z,TTW236,"41.724106,140.980179",2400,140,292
1775200318,2026-04-03T07:11:58Z,TTW236,"41.726212,140.973312",2325,139,291
1775200324,2026-04-03T07:12:04Z,TTW236,"41.727814,140.968018",2250,135,292
1775200331,2026-04-03T07:12:11Z,TTW236,"41.72924,140.963409",2175,131,292
1775200339,2026-04-03T07:12:19Z,TTW236,"41.731201,140.956894",2050,128,291
1775200346,2026-04-03T07:12:26Z,TTW236,"41.732822,140.951645",1975,127,292
1775200353,2026-04-03T07:12:33Z,TTW236,"41.734131,140.94722",1900,128,291
1775200362,2026-04-03T07:12:42Z,TTW236,"41.736237,140.940414",1775,129,291
1775200364,2026-04-03T07:12:44Z,TTW236,"41.736641,140.939011",1750,129,291
1775200366,2026-04-03T07:12:46Z,TTW236,"41.737202,140.937149",1725,129,292
1775200368,2026-04-03T07:12:48Z,TTW236,"41.737656,140.935745",1700,129,292
1775200370,2026-04-03T07:12:50Z,TTW236,"41.738113,140.934235",1675,128,292
1775200372,2026-04-03T07:12:52Z,TTW236,"41.738644,140.932419",1650,128,292
1775200374,2026-04-03T07:12:54Z,TTW236,"41.73912,140.930939",1625,128,292
1775200381,2026-04-03T07:13:01Z,TTW236,"41.740585,140.926132",1550,129,292
1775200389,2026-04-03T07:13:09Z,TTW236,"41.742508,140.919846",1450,130,292
1775200396,2026-04-03T07:13:16Z,TTW236,"41.744045,140.914795",1375,131,291
1775200403,2026-04-03T07:13:23Z,TTW236,"41.745621,140.909714",1300,131,292
1775200412,2026-04-03T07:13:32Z,TTW236,"41.747673,140.902985",1175,130,292
1775200421,2026-04-03T07:13:41Z,TTW236,"41.749557,140.896667",1075,129,292
1775200427,2026-04-03T07:13:47Z,TTW236,"41.750977,140.892044",1000,128,291
1775200436,2026-04-03T07:13:56Z,TTW236,"41.752945,140.885483",900,127,292
1775200444,2026-04-03T07:14:04Z,TTW236,"41.754749,140.879532",800,127,292
1775200453,2026-04-03T07:14:13Z,TTW236,"41.756844,140.872894",700,127,293
1775200461,2026-04-03T07:14:21Z,TTW236,"41.758896,140.866699",625,127,293
1775200463,2026-04-03T07:14:23Z,TTW236,"41.759308,140.865326",600,127,292
1775200466,2026-04-03T07:14:26Z,TTW236,"41.759731,140.863892",575,127,290
1775200468,2026-04-03T07:14:28Z,TTW236,"41.760197,140.862167",550,126,289
1775200470,2026-04-03T07:14:30Z,TTW236,"41.760571,140.860626",550,125,289
1775200472,2026-04-03T07:14:32Z,TTW236,"41.760941,140.859161",525,124,289
1775200474,2026-04-03T07:14:34Z,TTW236,"41.76136,140.857635",500,124,289
1775200476,2026-04-03T07:14:36Z,TTW236,"41.76178,140.856155",475,124,290
1775200479,2026-04-03T07:14:39Z,TTW236,"41.762329,140.854156",450,123,289
1775200481,2026-04-03T07:14:41Z,TTW236,"41.762695,140.852585",425,123,288
1775200483,2026-04-03T07:14:43Z,TTW236,"41.763062,140.851151",400,122,288
1775200485,2026-04-03T07:14:45Z,TTW236,"41.763336,140.850037",375,122,288
1775200487,2026-04-03T07:14:47Z,TTW236,"41.763828,140.848175",350,122,288
1775200489,2026-04-03T07:14:49Z,TTW236,"41.764114,140.847031",325,122,288
1775200491,2026-04-03T07:14:51Z,TTW236,"41.764526,140.845291",300,121,288
1775200493,2026-04-03T07:14:53Z,TTW236,"41.764984,140.843536",250,122,288
1775200495,2026-04-03T07:14:55Z,TTW236,"41.765316,140.842178",225,121,287
1775200498,2026-04-03T07:14:58Z,TTW236,"41.765644,140.840698",200,121,286
1775200500,2026-04-03T07:15:00Z,TTW236,"41.765923,140.839355",175,121,287
1775200502,2026-04-03T07:15:02Z,TTW236,"41.766357,140.837555",150,121,287
1775200504,2026-04-03T07:15:04Z,TTW236,"41.766716,140.836044",125,122,288
1775200506,2026-04-03T07:15:06Z,TTW236,"41.76709,140.83461",100,121,288
1775200508,2026-04-03T07:15:08Z,TTW236,"41.76746,140.83316",75,119,289
1775200511,2026-04-03T07:15:11Z,TTW236,"41.767868,140.831558",75,116,288
1775200513,2026-04-03T07:15:13Z,TTW236,"41.76825,140.82991",50,107,287
