Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1775179961,2026-04-03T01:32:41Z,CXA879,"25.973495,122.028259",21600,384,232
1775179992,2026-04-03T01:33:12Z,CXA879,"25.939932,121.979507",20700,374,233
1775180024,2026-04-03T01:33:44Z,CXA879,"25.906769,121.930984",20000,372,232
1775180054,2026-04-03T01:34:14Z,CXA879,"25.875549,121.885742",20000,370,233
1775180086,2026-04-03T01:34:46Z,CXA879,"25.841217,121.836411",20000,370,232
1775180121,2026-04-03T01:35:21Z,CXA879,"25.805628,121.784485",20000,371,232
1775180136,2026-04-03T01:35:36Z,CXA879,"25.791779,121.760353",20000,371,242
1775180139,2026-04-03T01:35:39Z,CXA879,"25.789856,121.756081",20000,370,243
1775180141,2026-04-03T01:35:41Z,CXA879,"25.787888,121.751762",20000,371,243
1775180143,2026-04-03T01:35:43Z,CXA879,"25.786285,121.748199",20000,370,243
1775180145,2026-04-03T01:35:45Z,CXA879,"25.784546,121.744331",20000,370,243
1775180148,2026-04-03T01:35:48Z,CXA879,"25.783144,121.741158",20000,370,243
1775180150,2026-04-03T01:35:50Z,CXA879,"25.780863,121.736183",20000,372,243
1775180152,2026-04-03T01:35:52Z,CXA879,"25.779373,121.732819",20000,371,243
1775180184,2026-04-03T01:36:24Z,CXA879,"25.75502,121.680298",19375,361,242
1775180214,2026-04-03T01:36:54Z,CXA879,"25.733643,121.631317",18575,346,245
1775180245,2026-04-03T01:37:25Z,CXA879,"25.714691,121.580254",17725,334,253
1775180276,2026-04-03T01:37:56Z,CXA879,"25.702515,121.531281",16950,326,254
1775180308,2026-04-03T01:38:28Z,CXA879,"25.689293,121.480392",16125,322,253
1775180342,2026-04-03T01:39:02Z,CXA879,"25.67514,121.427155",15275,314,254
1775180375,2026-04-03T01:39:35Z,CXA879,"25.661642,121.375916",14375,309,253
1775180406,2026-04-03T01:40:06Z,CXA879,"25.649323,121.328377",13575,301,252
