Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1775179150,2026-04-03T01:19:10Z,CXA887,"24.021978,120.155914",22300,430,32
1775179182,2026-04-03T01:19:42Z,CXA887,"24.076166,120.193489",21000,430,32
1775179213,2026-04-03T01:20:13Z,CXA887,"24.128723,120.229866",19975,424,32
1775179245,2026-04-03T01:20:45Z,CXA887,"24.179626,120.265251",19375,402,32
1775179277,2026-04-03T01:21:17Z,CXA887,"24.229294,120.299889",18625,388,32
1775179309,2026-04-03T01:21:49Z,CXA887,"24.277863,120.333809",17525,383,32
1775179341,2026-04-03T01:22:21Z,CXA887,"24.325731,120.367043",17000,386,32
1775179374,2026-04-03T01:22:54Z,CXA887,"24.373262,120.400414",17000,358,32
1775179406,2026-04-03T01:23:26Z,CXA887,"24.417021,120.430939",16850,342,32
1775179438,2026-04-03T01:23:58Z,CXA887,"24.459383,120.460686",15975,341,32
1775179469,2026-04-03T01:24:29Z,CXA887,"24.501839,120.490173",15100,338,32
1775179502,2026-04-03T01:25:02Z,CXA887,"24.544098,120.519814",14125,340,32
1775179534,2026-04-03T01:25:34Z,CXA887,"24.58699,120.550026",13175,341,32
1775179566,2026-04-03T01:26:06Z,CXA887,"24.629562,120.579933",12375,336,32
1775179598,2026-04-03T01:26:38Z,CXA887,"24.672272,120.610451",11525,334,35
1775179611,2026-04-03T01:26:51Z,CXA887,"24.687561,120.624184",11175,337,41
1775179614,2026-04-03T01:26:54Z,CXA887,"24.689724,120.626305",11150,337,42
1775179616,2026-04-03T01:26:56Z,CXA887,"24.692144,120.628746",11100,336,42
1775179618,2026-04-03T01:26:58Z,CXA887,"24.695114,120.63166",11025,336,42
1775179620,2026-04-03T01:27:00Z,CXA887,"24.697453,120.634026",10975,336,42
1775179633,2026-04-03T01:27:13Z,CXA887,"24.711929,120.648483",10700,333,42
1775179646,2026-04-03T01:27:26Z,CXA887,"24.727478,120.663704",10400,330,41
1775179661,2026-04-03T01:27:41Z,CXA887,"24.744469,120.680252",10150,324,41
1775179676,2026-04-03T01:27:56Z,CXA887,"24.760715,120.696114",9825,320,41
1775179688,2026-04-03T01:28:08Z,CXA887,"24.774582,120.70974",9475,320,41
1775179701,2026-04-03T01:28:21Z,CXA887,"24.78916,120.723991",9125,320,41
1775179714,2026-04-03T01:28:34Z,CXA887,"24.80308,120.737724",8775,320,41
1775179727,2026-04-03T01:28:47Z,CXA887,"24.816925,120.751289",8450,317,41
1775179742,2026-04-03T01:29:02Z,CXA887,"24.833384,120.767525",8000,313,42
1775179754,2026-04-03T01:29:14Z,CXA887,"24.846954,120.780945",7600,312,42
1775179767,2026-04-03T01:29:27Z,CXA887,"24.860596,120.794373",7225,310,42
1775179781,2026-04-03T01:29:41Z,CXA887,"24.876022,120.809631",6800,309,42
1775179794,2026-04-03T01:29:54Z,CXA887,"24.889853,120.823387",6425,307,42
1775179807,2026-04-03T01:30:07Z,CXA887,"24.90312,120.836754",6025,308,44
1775179811,2026-04-03T01:30:11Z,CXA887,"24.907217,120.841782",5850,308,50
1775179813,2026-04-03T01:30:13Z,CXA887,"24.908846,120.844116",5800,307,53
1775179815,2026-04-03T01:30:15Z,CXA887,"24.910894,120.847435",5725,307,56
1775179818,2026-04-03T01:30:18Z,CXA887,"24.912336,120.850128",5650,305,60
1775179820,2026-04-03T01:30:20Z,CXA887,"24.913641,120.852875",5600,304,64
1775179822,2026-04-03T01:30:22Z,CXA887,"24.914703,120.85556",5525,304,65
1775179824,2026-04-03T01:30:24Z,CXA887,"24.915894,120.859169",5450,301,71
1775179826,2026-04-03T01:30:26Z,CXA887,"24.916527,120.861427",5400,300,74
1775179828,2026-04-03T01:30:28Z,CXA887,"24.917313,120.865227",5325,298,78
1775179830,2026-04-03T01:30:30Z,CXA887,"24.917738,120.868004",5250,297,81
1775179832,2026-04-03T01:30:32Z,CXA887,"24.918045,120.871681",5175,296,85
1775179834,2026-04-03T01:30:34Z,CXA887,"24.918156,120.874741",5100,295,88
1775179836,2026-04-03T01:30:36Z,CXA887,"24.918062,120.877747",5050,293,91
1775179839,2026-04-03T01:30:39Z,CXA887,"24.917923,120.880699",5000,292,92
1775179841,2026-04-03T01:30:41Z,CXA887,"24.917725,120.884041",4950,291,94
1775179843,2026-04-03T01:30:43Z,CXA887,"24.917496,120.887146",4925,289,94
1775179845,2026-04-03T01:30:45Z,CXA887,"24.917358,120.889336",4900,288,94
1775179847,2026-04-03T01:30:47Z,CXA887,"24.917086,120.893089",4875,287,94
1775179849,2026-04-03T01:30:49Z,CXA887,"24.916899,120.895988",4850,286,94
1775179851,2026-04-03T01:30:51Z,CXA887,"24.916626,120.899712",4825,286,94
1775179853,2026-04-03T01:30:53Z,CXA887,"24.916481,120.902519",4800,284,93
1775179856,2026-04-03T01:30:56Z,CXA887,"24.916294,120.905418",4775,283,93
1775179858,2026-04-03T01:30:58Z,CXA887,"24.916155,120.908531",4750,282,93
1775179860,2026-04-03T01:31:00Z,CXA887,"24.916014,120.91143",4725,281,93
1775179862,2026-04-03T01:31:02Z,CXA887,"24.915874,120.914391",4700,280,92
1775179864,2026-04-03T01:31:04Z,CXA887,"24.915735,120.917648",4675,279,92
1775179866,2026-04-03T01:31:06Z,CXA887,"24.915573,120.920563",4675,277,92
