Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1775176038,2026-04-03T00:27:18Z,APJ859,"24.929398,121.204582",5575,234,225
1775176051,2026-04-03T00:27:31Z,APJ859,"24.919506,121.193657",5225,234,225
1775176064,2026-04-03T00:27:44Z,APJ859,"24.909714,121.182655",4850,230,227
1775176066,2026-04-03T00:27:46Z,APJ859,"24.908381,121.180855",4800,228,231
1775176068,2026-04-03T00:27:48Z,APJ859,"24.907104,121.178841",4750,227,236
1775176070,2026-04-03T00:27:50Z,APJ859,"24.906052,121.176964",4700,227,240
1775176072,2026-04-03T00:27:52Z,APJ859,"24.905228,121.175133",4675,226,244
1775176074,2026-04-03T00:27:54Z,APJ859,"24.90419,121.172356",4625,224,249
1775176076,2026-04-03T00:27:56Z,APJ859,"24.903625,121.170296",4600,224,253
1775176079,2026-04-03T00:27:59Z,APJ859,"24.903072,121.167381",4575,223,257
1775176081,2026-04-03T00:28:01Z,APJ859,"24.90284,121.16526",4550,222,261
1775176083,2026-04-03T00:28:03Z,APJ859,"24.902607,121.162567",4525,221,265
1775176085,2026-04-03T00:28:05Z,APJ859,"24.902514,121.160439",4500,220,267
1775176087,2026-04-03T00:28:07Z,APJ859,"24.902481,121.157631",4475,219,268
1775176090,2026-04-03T00:28:10Z,APJ859,"24.902481,121.155548",4475,218,269
1775176092,2026-04-03T00:28:12Z,APJ859,"24.902481,121.153313",4450,217,270
1775176094,2026-04-03T00:28:14Z,APJ859,"24.902514,121.150696",4425,216,270
1775176096,2026-04-03T00:28:16Z,APJ859,"24.902561,121.148415",4400,214,271
1775176098,2026-04-03T00:28:18Z,APJ859,"24.902618,121.146339",4375,213,271
1775176100,2026-04-03T00:28:20Z,APJ859,"24.902664,121.14344",4350,212,271
1775176102,2026-04-03T00:28:22Z,APJ859,"24.902756,121.14151",4325,211,271
1775176105,2026-04-03T00:28:25Z,APJ859,"24.902794,121.139137",4300,210,271
1775176107,2026-04-03T00:28:27Z,APJ859,"24.902893,121.136627",4275,209,271
1775176109,2026-04-03T00:28:29Z,APJ859,"24.902981,121.134628",4250,207,272
1775176111,2026-04-03T00:28:31Z,APJ859,"24.903027,121.132195",4225,207,272
1775176113,2026-04-03T00:28:33Z,APJ859,"24.90312,121.130127",4200,206,272
1775176115,2026-04-03T00:28:35Z,APJ859,"24.903214,121.127892",4175,205,272
1775176122,2026-04-03T00:28:42Z,APJ859,"24.903446,121.121414",4100,202,272
1775176130,2026-04-03T00:28:50Z,APJ859,"24.903864,121.112297",3950,200,274
1775176132,2026-04-03T00:28:52Z,APJ859,"24.904037,121.110535",3925,201,276
1775176134,2026-04-03T00:28:54Z,APJ859,"24.904358,121.108452",3875,201,279
1775176137,2026-04-03T00:28:57Z,APJ859,"24.904749,121.106544",3850,203,283
