Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1775195421,2026-04-03T05:50:21Z,APJ927,"25.120892,121.155205",7000,238,269
1775195435,2026-04-03T05:50:35Z,APJ927,"25.120611,121.137894",6700,230,269
1775195448,2026-04-03T05:50:48Z,APJ927,"25.120378,121.122658",6350,232,269
1775195461,2026-04-03T05:51:01Z,APJ927,"25.120285,121.107841",6050,227,270
1775195474,2026-04-03T05:51:14Z,APJ927,"25.120422,121.092934",5750,220,271
1775195489,2026-04-03T05:51:29Z,APJ927,"25.120798,121.076698",5400,214,271
1775195501,2026-04-03T05:51:41Z,APJ927,"25.121309,121.062752",5050,211,272
1775195515,2026-04-03T05:51:55Z,APJ927,"25.121822,121.04892",4725,207,272
1775195521,2026-04-03T05:52:01Z,APJ927,"25.122055,121.042747",4575,206,272
1775195529,2026-04-03T05:52:09Z,APJ927,"25.122208,121.03373",4375,202,269
1775195532,2026-04-03T05:52:12Z,APJ927,"25.12207,121.031647",4325,200,266
1775195534,2026-04-03T05:52:14Z,APJ927,"25.121796,121.029358",4275,198,263
1775195536,2026-04-03T05:52:16Z,APJ927,"25.121429,121.027428",4225,195,260
1775195538,2026-04-03T05:52:18Z,APJ927,"25.120985,121.025284",4200,193,258
1775195540,2026-04-03T05:52:20Z,APJ927,"25.120422,121.023201",4150,190,255
1775195542,2026-04-03T05:52:22Z,APJ927,"25.119961,121.021347",4125,188,253
1775195545,2026-04-03T05:52:25Z,APJ927,"25.119354,121.019173",4075,186,253
1775195547,2026-04-03T05:52:27Z,APJ927,"25.118656,121.016945",4050,184,252
1775195549,2026-04-03T05:52:29Z,APJ927,"25.118134,121.015221",4000,182,251
1775195551,2026-04-03T05:52:31Z,APJ927,"25.117584,121.013435",3975,180,251
1775195553,2026-04-03T05:52:33Z,APJ927,"25.116982,121.011551",3950,179,250
1775195556,2026-04-03T05:52:36Z,APJ927,"25.116236,121.009377",3900,178,250
1775195558,2026-04-03T05:52:38Z,APJ927,"25.115538,121.007668",3875,175,246
1775195560,2026-04-03T05:52:40Z,APJ927,"25.114883,121.006165",3825,173,243
1775195562,2026-04-03T05:52:42Z,APJ927,"25.113768,121.00425",3800,171,239
1775195565,2026-04-03T05:52:45Z,APJ927,"25.112791,121.002693",3750,168,236
1775195567,2026-04-03T05:52:47Z,APJ927,"25.111813,121.001297",3725,167,234
1775195569,2026-04-03T05:52:49Z,APJ927,"25.110603,120.999687",3700,166,232
1775195571,2026-04-03T05:52:51Z,APJ927,"25.109625,120.99839",3650,164,230
1775195573,2026-04-03T05:52:53Z,APJ927,"25.108612,120.997162",3625,162,229
1775195575,2026-04-03T05:52:55Z,APJ927,"25.107576,120.99585",3600,161,228
1775195577,2026-04-03T05:52:57Z,APJ927,"25.106461,120.994568",3550,159,227
1775195580,2026-04-03T05:53:00Z,APJ927,"25.105669,120.993675",3525,159,226
1775195582,2026-04-03T05:53:02Z,APJ927,"25.104218,120.99218",3500,158,223
1775195584,2026-04-03T05:53:04Z,APJ927,"25.103073,120.991264",3450,156,219
1775195586,2026-04-03T05:53:06Z,APJ927,"25.101883,120.990395",3425,156,215
1775195588,2026-04-03T05:53:08Z,APJ927,"25.100555,120.989586",3400,155,211
1775195590,2026-04-03T05:53:10Z,APJ927,"25.099337,120.988853",3375,155,208
1775195592,2026-04-03T05:53:12Z,APJ927,"25.097569,120.987923",3325,155,206
1775195594,2026-04-03T05:53:14Z,APJ927,"25.096218,120.987251",3300,155,205
1775195596,2026-04-03T05:53:16Z,APJ927,"25.094868,120.986626",3275,156,204
1775195598,2026-04-03T05:53:18Z,APJ927,"25.093472,120.985954",3250,155,203
1775195601,2026-04-03T05:53:21Z,APJ927,"25.091904,120.98526",3225,156,202
1775195603,2026-04-03T05:53:23Z,APJ927,"25.090864,120.984818",3200,155,201
1775195605,2026-04-03T05:53:25Z,APJ927,"25.089203,120.984093",3200,154,201
1775195607,2026-04-03T05:53:27Z,APJ927,"25.087646,120.983429",3175,153,201
1775195609,2026-04-03T05:53:29Z,APJ927,"25.086319,120.982872",3175,153,201
1775195612,2026-04-03T05:53:32Z,APJ927,"25.084766,120.982224",3175,153,201
1775195615,2026-04-03T05:53:35Z,APJ927,"25.08309,120.981552",3175,153,201
1775195617,2026-04-03T05:53:37Z,APJ927,"25.081329,120.980782",3175,154,200
1775195619,2026-04-03T05:53:39Z,APJ927,"25.079786,120.980148",3175,154,201
1775195621,2026-04-03T05:53:41Z,APJ927,"25.078308,120.979515",3175,155,201
1775195623,2026-04-03T05:53:43Z,APJ927,"25.077318,120.979065",3175,155,201
1775195625,2026-04-03T05:53:45Z,APJ927,"25.075562,120.97834",3175,156,201
1775195634,2026-04-03T05:53:54Z,APJ927,"25.070251,120.976051",3175,157,201
1775195642,2026-04-03T05:54:02Z,APJ927,"25.064516,120.973572",3175,156,201
1775195644,2026-04-03T05:54:04Z,APJ927,"25.063259,120.973099",3175,156,198
1775195646,2026-04-03T05:54:06Z,APJ927,"25.061071,120.972534",3175,156,194
