Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1775175938,2026-04-03T00:25:38Z,JTA301,"25.106232,122.274681",18675,332,270
1775175969,2026-04-03T00:26:09Z,JTA301,"25.108742,122.22316",18150,327,281
1775175971,2026-04-03T00:26:11Z,JTA301,"25.109436,122.219749",18100,328,282
1775175974,2026-04-03T00:26:14Z,JTA301,"25.110277,122.215797",18050,328,282
1775175976,2026-04-03T00:26:16Z,JTA301,"25.111021,122.212379",18025,328,283
1775175978,2026-04-03T00:26:18Z,JTA301,"25.111767,122.208801",18000,328,283
1775175980,2026-04-03T00:26:20Z,JTA301,"25.112549,122.205254",17950,327,283
1775175982,2026-04-03T00:26:22Z,JTA301,"25.113235,122.202148",17925,328,283
1775175985,2026-04-03T00:26:25Z,JTA301,"25.114243,122.197418",17875,327,283
1775175987,2026-04-03T00:26:27Z,JTA301,"25.114933,122.194344",17850,328,283
1775175989,2026-04-03T00:26:29Z,JTA301,"25.11591,122.189995",17800,327,283
1775175992,2026-04-03T00:26:32Z,JTA301,"25.116577,122.18689",17775,327,283
1775176022,2026-04-03T00:27:02Z,JTA301,"25.128014,122.137131",17175,324,283
1775176055,2026-04-03T00:27:35Z,JTA301,"25.139652,122.086662",16225,322,284
1775176087,2026-04-03T00:28:07Z,JTA301,"25.152035,122.03463",15675,323,284
1775176117,2026-04-03T00:28:37Z,JTA301,"25.163315,121.98629",15175,321,284
1775176150,2026-04-03T00:29:10Z,JTA301,"25.174938,121.934402",15000,324,283
1775176180,2026-04-03T00:29:40Z,JTA301,"25.185059,121.884613",14800,325,279
1775176191,2026-04-03T00:29:51Z,JTA301,"25.186386,121.866859",14625,320,272
1775176193,2026-04-03T00:29:53Z,JTA301,"25.186436,121.864449",14600,318,271
1775176195,2026-04-03T00:29:55Z,JTA301,"25.18639,121.859627",14550,317,270
1775176198,2026-04-03T00:29:58Z,JTA301,"25.186296,121.856415",14525,316,268
1775176200,2026-04-03T00:30:00Z,JTA301,"25.186111,121.853233",14500,315,267
1775176202,2026-04-03T00:30:02Z,JTA301,"25.185831,121.849419",14450,312,265
1775176204,2026-04-03T00:30:04Z,JTA301,"25.185553,121.845947",14425,312,264
1775176207,2026-04-03T00:30:07Z,JTA301,"25.18515,121.84214",14375,310,264
1775176209,2026-04-03T00:30:09Z,JTA301,"25.184807,121.83905",14350,310,263
1775176211,2026-04-03T00:30:11Z,JTA301,"25.184481,121.835892",14325,308,263
1775176213,2026-04-03T00:30:13Z,JTA301,"25.184156,121.832626",14275,308,263
1775176215,2026-04-03T00:30:15Z,JTA301,"25.183777,121.829224",14250,307,263
1775176217,2026-04-03T00:30:17Z,JTA301,"25.183502,121.826424",14225,308,263
1775176219,2026-04-03T00:30:19Z,JTA301,"25.183182,121.823174",14175,306,263
1775176250,2026-04-03T00:30:50Z,JTA301,"25.178421,121.775002",13650,306,264
1775176281,2026-04-03T00:31:21Z,JTA301,"25.174192,121.727737",12750,300,264
1775176312,2026-04-03T00:31:52Z,JTA301,"25.170004,121.680687",11800,295,264
1775176325,2026-04-03T00:32:05Z,JTA301,"25.168213,121.660866",11450,291,264
1775176338,2026-04-03T00:32:18Z,JTA301,"25.166605,121.641609",11100,288,264
1775176351,2026-04-03T00:32:31Z,JTA301,"25.16493,121.623268",10950,278,264
1775176364,2026-04-03T00:32:44Z,JTA301,"25.1633,121.605026",10775,270,264
1775176377,2026-04-03T00:32:57Z,JTA301,"25.161671,121.587662",10675,259,263
1775176390,2026-04-03T00:33:10Z,JTA301,"25.160088,121.571083",10550,250,264
1775176403,2026-04-03T00:33:23Z,JTA301,"25.158554,121.554359",10225,247,264
1775176416,2026-04-03T00:33:36Z,JTA301,"25.157015,121.538589",9950,246,263
1775176429,2026-04-03T00:33:49Z,JTA301,"25.155386,121.522369",9650,246,263
1775176444,2026-04-03T00:34:04Z,JTA301,"25.153793,121.50396",9400,245,264
1775176456,2026-04-03T00:34:16Z,JTA301,"25.152361,121.488373",9200,246,263
1775176469,2026-04-03T00:34:29Z,JTA301,"25.150864,121.472572",9025,248,264
1775176482,2026-04-03T00:34:42Z,JTA301,"25.149216,121.455841",9000,247,263
1775176495,2026-04-03T00:34:55Z,JTA301,"25.147568,121.439461",9025,246,263
1775176508,2026-04-03T00:35:08Z,JTA301,"25.146149,121.423439",9025,246,264
1775176521,2026-04-03T00:35:21Z,JTA301,"25.144775,121.407722",9025,246,264
1775176536,2026-04-03T00:35:36Z,JTA301,"25.143127,121.389061",8950,245,264
1775176549,2026-04-03T00:35:49Z,JTA301,"25.141653,121.372238",8725,245,264
1775176562,2026-04-03T00:36:02Z,JTA301,"25.140211,121.356277",8525,246,263
1775176576,2026-04-03T00:36:16Z,JTA301,"25.13858,121.339333",8300,242,263
1775176589,2026-04-03T00:36:29Z,JTA301,"25.137039,121.322884",8075,245,263
1775176602,2026-04-03T00:36:42Z,JTA301,"25.135416,121.306732",7825,242,263
1775176617,2026-04-03T00:36:57Z,JTA301,"25.133652,121.288353",7575,242,264
1775176630,2026-04-03T00:37:10Z,JTA301,"25.132233,121.27253",7375,244,264
1775176644,2026-04-03T00:37:24Z,JTA301,"25.130539,121.254677",7125,242,264
1775176657,2026-04-03T00:37:37Z,JTA301,"25.129131,121.239105",6900,241,264
1775176670,2026-04-03T00:37:50Z,JTA301,"25.127687,121.223457",6600,240,264
1775176685,2026-04-03T00:38:05Z,JTA301,"25.125778,121.205421",6125,242,262
1775176693,2026-04-03T00:38:13Z,JTA301,"25.123451,121.195366",5850,238,253
1775176696,2026-04-03T00:38:16Z,JTA301,"25.122665,121.192833",5800,238,251
1775176698,2026-04-03T00:38:18Z,JTA301,"25.121567,121.189781",5725,237,249
1775176700,2026-04-03T00:38:20Z,JTA301,"25.120834,121.187744",5675,237,247
1775176702,2026-04-03T00:38:22Z,JTA301,"25.119736,121.185249",5600,236,246
1775176704,2026-04-03T00:38:24Z,JTA301,"25.11882,121.18322",5550,234,243
1775176706,2026-04-03T00:38:26Z,JTA301,"25.117767,121.18103",5500,234,242
1775176708,2026-04-03T00:38:28Z,JTA301,"25.116714,121.178947",5450,234,241
1775176710,2026-04-03T00:38:30Z,JTA301,"25.115387,121.1763",5400,233,241
