Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1775179773,2026-04-03T01:29:33Z,AAR711,"27.816637,123.826904",33575,370,215
1775179804,2026-04-03T01:30:04Z,AAR711,"27.770878,123.789558",31900,350,215
1775179824,2026-04-03T01:30:24Z,AAR711,"27.741257,123.765343",31225,230,215
1775179865,2026-04-03T01:31:05Z,AAR711,"27.68173,123.717148",30625,260,215
1775179913,2026-04-03T01:31:53Z,AAR711,"27.659113,123.699219",30625,260,215
1775179965,2026-04-03T01:32:45Z,AAR711,"27.56851,123.624977",30000,260,215
1775179996,2026-04-03T01:33:16Z,AAR711,"27.504086,123.572792",30000,363,215
1775180095,2026-04-03T01:34:55Z,AAR711,"27.419794,123.506111",30000,363,215
1775180185,2026-04-03T01:36:25Z,AAR711,"27.245396,123.363838",30000,500,215
1775180213,2026-04-03T01:36:53Z,AAR711,"27.207829,123.327133",30000,366,226
1775180281,2026-04-03T01:38:01Z,AAR711,"27.131994,123.232903",30000,350,227
1775180294,2026-04-03T01:38:14Z,AAR711,"27.115265,123.212395",30000,366,227
1775180349,2026-04-03T01:39:09Z,AAR711,"27.050034,123.132332",29575,120,227
1775180357,2026-04-03T01:39:17Z,AAR711,"27.042986,123.123779",29425,210,227
1775180413,2026-04-03T01:40:13Z,AAR711,"26.986612,123.055061",28700,381,227
1775180423,2026-04-03T01:40:23Z,AAR711,"26.973587,123.039101",28525,379,227
1775180482,2026-04-03T01:41:22Z,AAR711,"26.903376,122.953384",27975,379,227
1775180521,2026-04-03T01:42:01Z,AAR711,"26.843719,122.88073",28000,380,227
1775180557,2026-04-03T01:42:37Z,AAR711,"26.801559,122.829483",28000,382,227
1775180591,2026-04-03T01:43:11Z,AAR711,"26.760452,122.779579",28000,384,227
1775180623,2026-04-03T01:43:43Z,AAR711,"26.723032,122.734238",28000,385,227
1775180666,2026-04-03T01:44:26Z,AAR711,"26.666153,122.67334",28000,390,218
1775180672,2026-04-03T01:44:32Z,AAR711,"26.657394,122.665894",28000,390,216
1775180706,2026-04-03T01:45:06Z,AAR711,"26.607304,122.626915",28000,392,215
1775180740,2026-04-03T01:45:40Z,AAR711,"26.555466,122.585762",28000,393,215
1775180774,2026-04-03T01:46:14Z,AAR711,"26.505157,122.545959",28000,397,215
1775180809,2026-04-03T01:46:49Z,AAR711,"26.453495,122.505272",28000,398,215
1775180843,2026-04-03T01:47:23Z,AAR711,"26.403358,122.465866",28000,398,215
1775180875,2026-04-03T01:47:55Z,AAR711,"26.353271,122.426559",28000,395,215
1775180909,2026-04-03T01:48:29Z,AAR711,"26.302734,122.386971",27900,390,214
1775180942,2026-04-03T01:49:02Z,AAR711,"26.255127,122.349709",27400,386,215
1775180973,2026-04-03T01:49:33Z,AAR711,"26.209515,122.313957",26875,387,215
1775181004,2026-04-03T01:50:04Z,AAR711,"26.164639,122.278938",26350,383,215
1775181035,2026-04-03T01:50:35Z,AAR711,"26.118738,122.24308",25825,382,215
1775181066,2026-04-03T01:51:06Z,AAR711,"26.073532,122.208496",25300,377,214
1775181100,2026-04-03T01:51:40Z,AAR711,"26.025467,122.171852",24750,370,214
1775181134,2026-04-03T01:52:14Z,AAR711,"25.976055,122.134056",24150,370,214
1775181168,2026-04-03T01:52:48Z,AAR711,"25.929062,122.098167",23600,370,214
1775181200,2026-04-03T01:53:20Z,AAR711,"25.883789,122.063545",23075,368,214
1775181233,2026-04-03T01:53:53Z,AAR711,"25.838493,122.028999",22525,363,214
1775181265,2026-04-03T01:54:25Z,AAR711,"25.793472,121.994728",21525,366,214
1775181283,2026-04-03T01:54:43Z,AAR711,"25.767502,121.977417",20925,374,202
1775181285,2026-04-03T01:54:45Z,AAR711,"25.763359,121.975655",20850,377,199
