Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1775210374,2026-04-03T09:59:34Z,TGW874,"34.2892,139.889923",29150,533,51
1775210407,2026-04-03T10:00:07Z,TGW874,"34.34024,139.96756",27425,528,51
1775210438,2026-04-03T10:00:38Z,TGW874,"34.386749,140.038467",25925,518,51
1775210470,2026-04-03T10:01:10Z,TGW874,"34.433292,140.109619",24300,515,52
1775210502,2026-04-03T10:01:42Z,TGW874,"34.47789,140.185883",23975,528,56
1775210534,2026-04-03T10:02:14Z,TGW874,"34.519318,140.265594",24000,515,58
1775210567,2026-04-03T10:02:47Z,TGW874,"34.559265,140.34314",23800,486,57
1775210599,2026-04-03T10:03:19Z,TGW874,"34.600159,140.413513",23275,459,46
1775210601,2026-04-03T10:03:21Z,TGW874,"34.603256,140.417343",23250,456,45
1775210603,2026-04-03T10:03:23Z,TGW874,"34.60675,140.421478",23175,454,44
1775210606,2026-04-03T10:03:26Z,TGW874,"34.609818,140.424896",23150,452,42
1775210608,2026-04-03T10:03:28Z,TGW874,"34.613777,140.429016",23100,450,41
1775210610,2026-04-03T10:03:30Z,TGW874,"34.617142,140.432404",23050,448,39
1775210612,2026-04-03T10:03:32Z,TGW874,"34.620712,140.43576",23025,446,37
1775210614,2026-04-03T10:03:34Z,TGW874,"34.624008,140.438736",22975,443,36
1775210616,2026-04-03T10:03:36Z,TGW874,"34.627182,140.441437",22950,441,35
1775210618,2026-04-03T10:03:38Z,TGW874,"34.630863,140.444473",22900,439,33
1775210620,2026-04-03T10:03:40Z,TGW874,"34.634445,140.44725",22875,436,32
1775210622,2026-04-03T10:03:42Z,TGW874,"34.638077,140.449844",22825,434,31
1775210624,2026-04-03T10:03:44Z,TGW874,"34.641769,140.452362",22775,432,29
1775210626,2026-04-03T10:03:46Z,TGW874,"34.645107,140.454544",22750,430,28
1775210628,2026-04-03T10:03:48Z,TGW874,"34.648643,140.456711",22700,428,26
1775210631,2026-04-03T10:03:51Z,TGW874,"34.65181,140.458542",22675,425,25
1775210633,2026-04-03T10:03:53Z,TGW874,"34.657013,140.461319",22625,421,23
1775210635,2026-04-03T10:03:55Z,TGW874,"34.660995,140.463287",22600,419,22
1775210637,2026-04-03T10:03:57Z,TGW874,"34.664612,140.46492",22550,417,20
1775210639,2026-04-03T10:03:59Z,TGW874,"34.668228,140.466476",22525,414,19
1775210641,2026-04-03T10:04:01Z,TGW874,"34.671844,140.467941",22500,413,18
1775210643,2026-04-03T10:04:03Z,TGW874,"34.675507,140.469391",22450,411,18
1775210646,2026-04-03T10:04:06Z,TGW874,"34.678204,140.470505",22425,411,18
1775210648,2026-04-03T10:04:08Z,TGW874,"34.683792,140.472763",22375,411,18
1775210650,2026-04-03T10:04:10Z,TGW874,"34.687935,140.474396",22325,409,18
1775210652,2026-04-03T10:04:12Z,TGW874,"34.690613,140.47551",22275,408,18
1775210654,2026-04-03T10:04:14Z,TGW874,"34.695431,140.477478",22225,407,18
1775210657,2026-04-03T10:04:17Z,TGW874,"34.69976,140.479263",22175,407,18
1775210688,2026-04-03T10:04:48Z,TGW874,"34.754929,140.501907",21425,398,18
1775210720,2026-04-03T10:05:20Z,TGW874,"34.81073,140.524323",20450,396,18
1775210751,2026-04-03T10:05:51Z,TGW874,"34.864746,140.545959",19450,394,18
1775210783,2026-04-03T10:06:23Z,TGW874,"34.919724,140.56839",18650,386,18
1775210815,2026-04-03T10:06:55Z,TGW874,"34.972366,140.590134",17975,374,18
1775210846,2026-04-03T10:07:26Z,TGW874,"35.022858,140.610596",17150,368,18
1775210878,2026-04-03T10:07:58Z,TGW874,"35.074677,140.6315",16125,364,18
1775210911,2026-04-03T10:08:31Z,TGW874,"35.126404,140.652908",15300,355,18
1775210944,2026-04-03T10:09:04Z,TGW874,"35.177078,140.67366",14325,349,18
1775210974,2026-04-03T10:09:34Z,TGW874,"35.223892,140.692749",13325,350,18
1775211005,2026-04-03T10:10:05Z,TGW874,"35.272026,140.712418",12675,356,18
1775211037,2026-04-03T10:10:37Z,TGW874,"35.321278,140.732758",12150,354,18
1775211067,2026-04-03T10:11:07Z,TGW874,"35.368561,140.752197",11650,357,18
1775211080,2026-04-03T10:11:20Z,TGW874,"35.388779,140.760513",11425,356,18
1775211095,2026-04-03T10:11:35Z,TGW874,"35.41246,140.770279",11175,357,18
1775211108,2026-04-03T10:11:48Z,TGW874,"35.432785,140.778687",10950,355,18
1775211123,2026-04-03T10:12:03Z,TGW874,"35.45586,140.788223",10725,350,18
1775211135,2026-04-03T10:12:15Z,TGW874,"35.475552,140.796341",10525,352,18
1775211148,2026-04-03T10:12:28Z,TGW874,"35.495804,140.804642",10300,356,18
1775211161,2026-04-03T10:12:41Z,TGW874,"35.515778,140.812805",10075,358,18
1775211174,2026-04-03T10:12:54Z,TGW874,"35.536118,140.820709",9875,355,16
1775211187,2026-04-03T10:13:07Z,TGW874,"35.556599,140.827484",9800,348,14
1775211200,2026-04-03T10:13:20Z,TGW874,"35.576065,140.832886",9825,331,11
1775211213,2026-04-03T10:13:33Z,TGW874,"35.595612,140.837524",9825,311,10
1775211226,2026-04-03T10:13:46Z,TGW874,"35.612823,140.841583",9800,291,10
1775211241,2026-04-03T10:14:01Z,TGW874,"35.631592,140.846039",9825,269,10
1775211253,2026-04-03T10:14:13Z,TGW874,"35.646397,140.849579",9825,260,11
1775211267,2026-04-03T10:14:27Z,TGW874,"35.662674,140.854675",9825,261,16
1775211279,2026-04-03T10:14:39Z,TGW874,"35.67717,140.860504",9825,259,19
1775211292,2026-04-03T10:14:52Z,TGW874,"35.691277,140.86734",9825,259,23
1775211305,2026-04-03T10:15:05Z,TGW874,"35.705338,140.875397",9825,259,26
1775211313,2026-04-03T10:15:13Z,TGW874,"35.714676,140.880829",9775,258,21
1775211315,2026-04-03T10:15:15Z,TGW874,"35.716919,140.881805",9750,258,19
1775211318,2026-04-03T10:15:18Z,TGW874,"35.718979,140.882599",9725,257,17
1775211320,2026-04-03T10:15:20Z,TGW874,"35.721268,140.883347",9675,257,14
1775211322,2026-04-03T10:15:22Z,TGW874,"35.72406,140.883972",9625,256,8
1775211324,2026-04-03T10:15:24Z,TGW874,"35.726898,140.884323",9575,255,5
1775211326,2026-04-03T10:15:26Z,TGW874,"35.729233,140.88443",9525,254,1
1775211328,2026-04-03T10:15:28Z,TGW874,"35.732193,140.884232",9500,251,355
1775211330,2026-04-03T10:15:30Z,TGW874,"35.733902,140.883972",9450,251,353
1775211333,2026-04-03T10:15:33Z,TGW874,"35.736877,140.883301",9425,250,349
1775211335,2026-04-03T10:15:35Z,TGW874,"35.739075,140.882553",9375,248,343
1775211337,2026-04-03T10:15:37Z,TGW874,"35.741043,140.881683",9350,246,339
1775211339,2026-04-03T10:15:39Z,TGW874,"35.743561,140.880371",9325,246,336
1775211341,2026-04-03T10:15:41Z,TGW874,"35.74551,140.879211",9300,244,333
1775211343,2026-04-03T10:15:43Z,TGW874,"35.747463,140.877853",9275,243,330
1775211345,2026-04-03T10:15:45Z,TGW874,"35.749695,140.876251",9225,242,328
1775211347,2026-04-03T10:15:47Z,TGW874,"35.751572,140.874771",9200,242,327
1775211349,2026-04-03T10:15:49Z,TGW874,"35.753448,140.87323",9150,241,325
1775211351,2026-04-03T10:15:51Z,TGW874,"35.75547,140.871323",9125,240,322
1775211353,2026-04-03T10:15:53Z,TGW874,"35.757065,140.869614",9100,238,319
1775211356,2026-04-03T10:15:56Z,TGW874,"35.758728,140.86763",9050,238,316
1775211358,2026-04-03T10:15:58Z,TGW874,"35.760315,140.865555",9025,237,312
1775211360,2026-04-03T10:16:00Z,TGW874,"35.761734,140.863495",9000,237,310
1775211362,2026-04-03T10:16:02Z,TGW874,"35.763058,140.861557",8975,236,308
1775211364,2026-04-03T10:16:04Z,TGW874,"35.764687,140.858978",8925,236,307
1775211366,2026-04-03T10:16:06Z,TGW874,"35.766037,140.85675",8900,235,306
1775211368,2026-04-03T10:16:08Z,TGW874,"35.767456,140.85434",8850,235,305
1775211370,2026-04-03T10:16:10Z,TGW874,"35.768967,140.851715",8800,235,305
1775211372,2026-04-03T10:16:12Z,TGW874,"35.769974,140.849991",8775,234,304
1775211375,2026-04-03T10:16:15Z,TGW874,"35.771393,140.847473",8725,234,304
1775211377,2026-04-03T10:16:17Z,TGW874,"35.772602,140.845245",8700,233,304
1775211379,2026-04-03T10:16:19Z,TGW874,"35.774139,140.842499",8650,233,304
1775211381,2026-04-03T10:16:21Z,TGW874,"35.775467,140.840088",8625,233,304
1775211383,2026-04-03T10:16:23Z,TGW874,"35.776604,140.838013",8575,232,303
1775211385,2026-04-03T10:16:25Z,TGW874,"35.777817,140.835785",8550,231,304
1775211387,2026-04-03T10:16:27Z,TGW874,"35.779026,140.833618",8525,231,304
1775211401,2026-04-03T10:16:41Z,TGW874,"35.78764,140.817902",8225,229,303
1775211414,2026-04-03T10:16:54Z,TGW874,"35.794968,140.804443",8025,226,303
1775211429,2026-04-03T10:17:09Z,TGW874,"35.803467,140.788574",7775,222,303
1775211442,2026-04-03T10:17:22Z,TGW874,"35.810623,140.775085",7525,221,303
1775211454,2026-04-03T10:17:34Z,TGW874,"35.817665,140.761566",7250,221,302
1775211469,2026-04-03T10:17:49Z,TGW874,"35.825455,140.74614",6950,223,301
1775211481,2026-04-03T10:18:01Z,TGW874,"35.832375,140.732407",6675,223,301
1775211494,2026-04-03T10:18:14Z,TGW874,"35.839233,140.718842",6400,223,301
1775211509,2026-04-03T10:18:29Z,TGW874,"35.847336,140.702881",6250,216,302
1775211522,2026-04-03T10:18:42Z,TGW874,"35.854019,140.689774",6100,209,302
1775211536,2026-04-03T10:18:56Z,TGW874,"35.86171,140.675018",5850,206,302
1775211550,2026-04-03T10:19:10Z,TGW874,"35.868591,140.661987",5800,208,303
1775211562,2026-04-03T10:19:22Z,TGW874,"35.874893,140.650299",5825,199,303
1775211577,2026-04-03T10:19:37Z,TGW874,"35.882309,140.636734",5825,188,303
1775211590,2026-04-03T10:19:50Z,TGW874,"35.888672,140.624878",5675,184,303
1775211602,2026-04-03T10:20:02Z,TGW874,"35.894569,140.614014",5450,183,303
1775211617,2026-04-03T10:20:17Z,TGW874,"35.901352,140.601486",5200,183,303
1775211629,2026-04-03T10:20:29Z,TGW874,"35.907349,140.590332",4950,183,303
1775211638,2026-04-03T10:20:38Z,TGW874,"35.911102,140.583282",4800,184,303
1775211646,2026-04-03T10:20:46Z,TGW874,"35.914993,140.576141",4675,183,303
1775211652,2026-04-03T10:20:52Z,TGW874,"35.918015,140.570526",4600,184,303
1775211660,2026-04-03T10:21:00Z,TGW874,"35.92194,140.563232",4500,186,303
1775211667,2026-04-03T10:21:07Z,TGW874,"35.925106,140.557449",4425,184,303
1775211676,2026-04-03T10:21:16Z,TGW874,"35.929111,140.550079",4350,184,303
1775211682,2026-04-03T10:21:22Z,TGW874,"35.932114,140.544601",4300,185,304
1775211690,2026-04-03T10:21:30Z,TGW874,"35.936188,140.53717",4225,185,304
1775211699,2026-04-03T10:21:39Z,TGW874,"35.940376,140.529633",4150,185,304
1775211707,2026-04-03T10:21:47Z,TGW874,"35.944241,140.522736",4100,183,304
1775211713,2026-04-03T10:21:53Z,TGW874,"35.947403,140.51709",4050,184,304
1775211721,2026-04-03T10:22:01Z,TGW874,"35.95155,140.509705",3975,186,304
1775211728,2026-04-03T10:22:08Z,TGW874,"35.954453,140.504547",3925,185,304
1775211736,2026-04-03T10:22:16Z,TGW874,"35.958626,140.497253",3850,184,305
1775211745,2026-04-03T10:22:25Z,TGW874,"35.962769,140.490005",3825,185,305
1775211751,2026-04-03T10:22:31Z,TGW874,"35.966309,140.483887",3775,185,305
1775211760,2026-04-03T10:22:40Z,TGW874,"35.970291,140.477081",3700,182,306
1775211768,2026-04-03T10:22:48Z,TGW874,"35.974312,140.47049",3650,182,306
1775211774,2026-04-03T10:22:54Z,TGW874,"35.977432,140.465286",3625,182,305
1775211778,2026-04-03T10:22:58Z,TGW874,"35.979527,140.461319",3575,181,300
1775211780,2026-04-03T10:23:00Z,TGW874,"35.98027,140.459579",3575,180,297
1775211782,2026-04-03T10:23:02Z,TGW874,"35.980923,140.457748",3550,180,293
1775211784,2026-04-03T10:23:04Z,TGW874,"35.981506,140.45575",3550,180,290
1775211787,2026-04-03T10:23:07Z,TGW874,"35.982086,140.453491",3525,180,287
1775211789,2026-04-03T10:23:09Z,TGW874,"35.982506,140.451736",3525,180,285
1775211791,2026-04-03T10:23:11Z,TGW874,"35.983017,140.449097",3500,182,283
1775211793,2026-04-03T10:23:13Z,TGW874,"35.983295,140.447464",3500,182,282
1775211795,2026-04-03T10:23:15Z,TGW874,"35.983658,140.44487",3475,183,280
1775211797,2026-04-03T10:23:17Z,TGW874,"35.984043,140.442322",3450,183,279
1775211800,2026-04-03T10:23:20Z,TGW874,"35.984299,140.440186",3450,183,278
1775211802,2026-04-03T10:23:22Z,TGW874,"35.984554,140.438004",3425,183,278
1775211804,2026-04-03T10:23:24Z,TGW874,"35.984787,140.435898",3425,183,278
1775211806,2026-04-03T10:23:26Z,TGW874,"35.98502,140.433853",3400,182,277
1775211808,2026-04-03T10:23:28Z,TGW874,"35.985298,140.431335",3375,182,277
1775211810,2026-04-03T10:23:30Z,TGW874,"35.985485,140.429703",3375,181,277
1775211812,2026-04-03T10:23:32Z,TGW874,"35.985764,140.427124",3350,181,277
1775211814,2026-04-03T10:23:34Z,TGW874,"35.985947,140.425079",3350,180,277
1775211816,2026-04-03T10:23:36Z,TGW874,"35.986176,140.422836",3325,180,277
1775211819,2026-04-03T10:23:39Z,TGW874,"35.986359,140.420776",3325,179,277
1775211821,2026-04-03T10:23:41Z,TGW874,"35.986603,140.418655",3300,179,277
1775211823,2026-04-03T10:23:43Z,TGW874,"35.98679,140.416672",3275,178,277
1775211829,2026-04-03T10:23:49Z,TGW874,"35.987457,140.41008",3250,178,277
1775211837,2026-04-03T10:23:57Z,TGW874,"35.988327,140.401443",3175,177,277
1775211846,2026-04-03T10:24:06Z,TGW874,"35.989162,140.393417",3125,174,277
1775211852,2026-04-03T10:24:12Z,TGW874,"35.989929,140.386963",3100,174,278
1775211860,2026-04-03T10:24:20Z,TGW874,"35.990891,140.378891",3025,174,278
1775211867,2026-04-03T10:24:27Z,TGW874,"35.991714,140.372604",3000,174,278
1775211875,2026-04-03T10:24:35Z,TGW874,"35.992767,140.364365",2925,173,278
1775211884,2026-04-03T10:24:44Z,TGW874,"35.993866,140.356064",2875,174,279
1775211890,2026-04-03T10:24:50Z,TGW874,"35.99469,140.349655",2825,174,279
1775211898,2026-04-03T10:24:58Z,TGW874,"35.995819,140.341339",2825,174,279
1775211907,2026-04-03T10:25:07Z,TGW874,"35.996845,140.33316",2825,172,277
1775211909,2026-04-03T10:25:09Z,TGW874,"35.996937,140.331177",2800,170,274
1775211911,2026-04-03T10:25:11Z,TGW874,"35.996979,140.329163",2800,168,270
