Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1775180298,2026-04-03T01:38:18Z,TWB661,"26.965803,122.910599",28000,423,215
1775180304,2026-04-03T01:38:24Z,TWB661,"26.959396,122.905556",28000,190,215
1775180319,2026-04-03T01:38:39Z,TWB661,"26.933962,122.885353",28000,423,215
1775180377,2026-04-03T01:39:37Z,TWB661,"26.840424,122.811188",28000,420,215
1775180411,2026-04-03T01:40:11Z,TWB661,"26.788671,122.770157",28000,490,215
1775180458,2026-04-03T01:40:58Z,TWB661,"26.711021,122.708725",28000,420,215
1775180492,2026-04-03T01:41:32Z,TWB661,"26.658005,122.666809",28000,421,215
1775180527,2026-04-03T01:42:07Z,TWB661,"26.601158,122.621841",28000,423,215
1775180562,2026-04-03T01:42:42Z,TWB661,"26.545437,122.57795",27750,426,215
1775180597,2026-04-03T01:43:17Z,TWB661,"26.489294,122.533684",27150,432,215
1775180631,2026-04-03T01:43:51Z,TWB661,"26.433746,122.48999",26600,436,215
1775180666,2026-04-03T01:44:26Z,TWB661,"26.37524,122.444",26025,442,215
1775180700,2026-04-03T01:45:00Z,TWB661,"26.317566,122.398628",25450,442,215
1775180734,2026-04-03T01:45:34Z,TWB661,"26.260025,122.3536",24875,439,215
1775180768,2026-04-03T01:46:08Z,TWB661,"26.206146,122.311569",24325,430,214
1775180794,2026-04-03T01:46:34Z,TWB661,"26.163288,122.278252",23900,425,215
1775180850,2026-04-03T01:47:30Z,TWB661,"26.092438,122.223526",23100,398,214
1775180888,2026-04-03T01:48:08Z,TWB661,"26.025696,122.17263",22300,380,214
1775180922,2026-04-03T01:48:42Z,TWB661,"25.972229,122.131538",21700,372,214
1775180954,2026-04-03T01:49:14Z,TWB661,"25.926132,122.096146",21175,373,214
1775180988,2026-04-03T01:49:48Z,TWB661,"25.878479,122.059761",20650,373,214
1775181019,2026-04-03T01:50:19Z,TWB661,"25.833069,122.025146",20150,366,214
1775181052,2026-04-03T01:50:52Z,TWB661,"25.787292,121.990356",20000,366,214
1775181084,2026-04-03T01:51:24Z,TWB661,"25.743202,121.956795",19600,364,214
1775181116,2026-04-03T01:51:56Z,TWB661,"25.69899,121.923065",19025,363,214
1775181149,2026-04-03T01:52:29Z,TWB661,"25.655962,121.885948",18500,355,223
1775181153,2026-04-03T01:52:33Z,TWB661,"25.650787,121.880135",18425,354,225
1775181155,2026-04-03T01:52:35Z,TWB661,"25.648727,121.8778",18375,353,226
1775181157,2026-04-03T01:52:37Z,TWB661,"25.645981,121.874443",18350,352,227
1775181159,2026-04-03T01:52:39Z,TWB661,"25.643738,121.87159",18300,351,228
1775181162,2026-04-03T01:52:42Z,TWB661,"25.641624,121.868904",18275,350,229
1775181164,2026-04-03T01:52:44Z,TWB661,"25.639252,121.865692",18225,350,229
1775181166,2026-04-03T01:52:46Z,TWB661,"25.637016,121.862633",18200,349,231
1775181169,2026-04-03T01:52:49Z,TWB661,"25.634033,121.858368",18150,349,232
1775181171,2026-04-03T01:52:51Z,TWB661,"25.632128,121.85553",18100,348,232
1775181173,2026-04-03T01:52:53Z,TWB661,"25.630325,121.852776",18075,347,233
1775181175,2026-04-03T01:52:55Z,TWB661,"25.628403,121.849724",18025,347,235
1775181177,2026-04-03T01:52:57Z,TWB661,"25.626022,121.845703",18000,346,236
1775181179,2026-04-03T01:52:59Z,TWB661,"25.624399,121.842888",17950,346,236
1775181182,2026-04-03T01:53:02Z,TWB661,"25.622631,121.839729",17925,346,237
1775181184,2026-04-03T01:53:04Z,TWB661,"25.620722,121.836205",17875,345,239
1775181186,2026-04-03T01:53:06Z,TWB661,"25.619019,121.832832",17850,344,240
1775181188,2026-04-03T01:53:08Z,TWB661,"25.617184,121.829308",17825,343,240
1775181191,2026-04-03T01:53:11Z,TWB661,"25.615631,121.826225",17775,343,240
1775181193,2026-04-03T01:53:13Z,TWB661,"25.6136,121.822266",17750,343,240
1775181225,2026-04-03T01:53:45Z,TWB661,"25.58876,121.773476",17200,343,240
1775181245,2026-04-03T01:54:05Z,TWB661,"25.574263,121.741882",16975,336,248
1775181247,2026-04-03T01:54:07Z,TWB661,"25.573288,121.738281",16950,335,253
1775181249,2026-04-03T01:54:09Z,TWB661,"25.572588,121.7351",16950,335,255
1775181252,2026-04-03T01:54:12Z,TWB661,"25.57196,121.731773",16925,336,257
1775181254,2026-04-03T01:54:14Z,TWB661,"25.571228,121.727547",16875,335,258
1775181256,2026-04-03T01:54:16Z,TWB661,"25.570679,121.724144",16850,335,259
1775181258,2026-04-03T01:54:18Z,TWB661,"25.570129,121.720634",16825,335,260
1775181260,2026-04-03T01:54:20Z,TWB661,"25.569468,121.716545",16775,335,260
1775181262,2026-04-03T01:54:22Z,TWB661,"25.568863,121.712662",16750,335,260
1775181265,2026-04-03T01:54:25Z,TWB661,"25.568344,121.70929",16700,334,260
1775181267,2026-04-03T01:54:27Z,TWB661,"25.567795,121.705933",16675,334,260
1775181269,2026-04-03T01:54:29Z,TWB661,"25.56728,121.702553",16625,334,260
1775181271,2026-04-03T01:54:31Z,TWB661,"25.56665,121.698509",16600,334,260
1775181273,2026-04-03T01:54:33Z,TWB661,"25.566193,121.695457",16550,333,260
1775181275,2026-04-03T01:54:35Z,TWB661,"25.565552,121.690926",16525,333,260
1775181307,2026-04-03T01:55:07Z,TWB661,"25.557692,121.637253",16000,331,260
1775181338,2026-04-03T01:55:38Z,TWB661,"25.550241,121.586319",15425,330,260
1775181371,2026-04-03T01:56:11Z,TWB661,"25.542747,121.532112",14300,327,261
