Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1775180837,2026-04-03T01:47:17Z,CQH8951,"25.764151,121.964828",20875,364,206
1775180869,2026-04-03T01:47:49Z,CQH8951,"25.71579,121.935631",19850,359,212
1775180900,2026-04-03T01:48:20Z,CQH8951,"25.674723,121.904243",19225,355,215
1775180924,2026-04-03T01:48:44Z,CQH8951,"25.643208,121.876419",18700,343,228
1775180927,2026-04-03T01:48:47Z,CQH8951,"25.641344,121.873772",18650,341,232
1775180929,2026-04-03T01:48:49Z,CQH8951,"25.639204,121.87056",18600,339,234
1775180931,2026-04-03T01:48:51Z,CQH8951,"25.637466,121.867676",18550,338,236
1775180933,2026-04-03T01:48:53Z,CQH8951,"25.635433,121.864029",18500,337,238
1775180935,2026-04-03T01:48:55Z,CQH8951,"25.633757,121.860817",18450,335,240
1775180937,2026-04-03T01:48:57Z,CQH8951,"25.632614,121.858574",18425,336,241
1775180939,2026-04-03T01:48:59Z,CQH8951,"25.630684,121.854652",18375,334,241
1775180942,2026-04-03T01:49:02Z,CQH8951,"25.62941,121.851959",18350,333,242
1775180944,2026-04-03T01:49:04Z,CQH8951,"25.627899,121.848808",18300,333,242
1775180946,2026-04-03T01:49:06Z,CQH8951,"25.626434,121.845703",18250,333,242
1775180948,2026-04-03T01:49:08Z,CQH8951,"25.625051,121.842735",18225,332,242
1775180950,2026-04-03T01:49:10Z,CQH8951,"25.62355,121.839447",18175,332,242
1775180952,2026-04-03T01:49:12Z,CQH8951,"25.621628,121.835274",18125,330,242
1775180955,2026-04-03T01:49:15Z,CQH8951,"25.620255,121.832329",18075,330,242
1775180986,2026-04-03T01:49:46Z,CQH8951,"25.598328,121.784767",17425,328,242
1775181018,2026-04-03T01:50:18Z,CQH8951,"25.575989,121.737671",16725,326,245
1775181025,2026-04-03T01:50:25Z,CQH8951,"25.572006,121.726379",16550,323,251
1775181027,2026-04-03T01:50:27Z,CQH8951,"25.571091,121.723274",16500,322,252
1775181029,2026-04-03T01:50:29Z,CQH8951,"25.570267,121.720024",16450,321,254
1775181031,2026-04-03T01:50:31Z,CQH8951,"25.569534,121.716866",16425,320,255
1775181033,2026-04-03T01:50:33Z,CQH8951,"25.56863,121.712662",16375,320,257
1775181036,2026-04-03T01:50:36Z,CQH8951,"25.568026,121.709656",16325,319,257
1775181038,2026-04-03T01:50:38Z,CQH8951,"25.567373,121.706284",16275,318,258
1775181040,2026-04-03T01:50:40Z,CQH8951,"25.566721,121.703018",16225,318,258
1775181042,2026-04-03T01:50:42Z,CQH8951,"25.566164,121.699806",16200,318,258
1775181044,2026-04-03T01:50:44Z,CQH8951,"25.56546,121.695961",16150,317,258
1775181046,2026-04-03T01:50:46Z,CQH8951,"25.564774,121.6922",16100,316,258
1775181048,2026-04-03T01:50:48Z,CQH8951,"25.564255,121.689285",16050,316,259
1775181051,2026-04-03T01:50:51Z,CQH8951,"25.563675,121.68589",16025,316,259
1775181053,2026-04-03T01:50:53Z,CQH8951,"25.562998,121.681877",15975,315,259
1775181085,2026-04-03T01:51:25Z,CQH8951,"25.554106,121.630157",15400,320,259
1775181116,2026-04-03T01:51:56Z,CQH8951,"25.546192,121.582428",15000,314,260
1775181149,2026-04-03T01:52:29Z,CQH8951,"25.538605,121.529625",14675,320,264
1775181181,2026-04-03T01:53:01Z,CQH8951,"25.534695,121.476921",14125,320,266
1775181211,2026-04-03T01:53:31Z,CQH8951,"25.531357,121.426697",13600,315,264
1775181242,2026-04-03T01:54:02Z,CQH8951,"25.527557,121.378326",13100,305,265
1775181274,2026-04-03T01:54:34Z,CQH8951,"25.525314,121.329597",12525,294,268
1775181298,2026-04-03T01:54:58Z,CQH8951,"25.523289,121.293106",12150,290,258
1775181301,2026-04-03T01:55:01Z,CQH8951,"25.522522,121.289368",12100,290,257
1775181303,2026-04-03T01:55:03Z,CQH8951,"25.521744,121.285912",12100,290,255
1775181305,2026-04-03T01:55:05Z,CQH8951,"25.520874,121.282806",12050,290,252
1775181307,2026-04-03T01:55:07Z,CQH8951,"25.519983,121.279839",12025,290,250
1775181309,2026-04-03T01:55:09Z,CQH8951,"25.518959,121.276939",11975,290,249
1775181311,2026-04-03T01:55:11Z,CQH8951,"25.517944,121.274208",11950,290,246
1775181314,2026-04-03T01:55:14Z,CQH8951,"25.516754,121.271362",11900,290,244
1775181316,2026-04-03T01:55:16Z,CQH8951,"25.515564,121.268715",11850,289,242
1775181318,2026-04-03T01:55:18Z,CQH8951,"25.514257,121.266052",11825,289,240
1775181320,2026-04-03T01:55:20Z,CQH8951,"25.512589,121.26297",11775,288,238
1775181322,2026-04-03T01:55:22Z,CQH8951,"25.511185,121.260612",11725,289,235
1775181324,2026-04-03T01:55:24Z,CQH8951,"25.509369,121.257759",11700,289,234
1775181326,2026-04-03T01:55:26Z,CQH8951,"25.507879,121.255531",11675,290,232
1775181329,2026-04-03T01:55:29Z,CQH8951,"25.505739,121.252632",11650,289,230
1775181331,2026-04-03T01:55:31Z,CQH8951,"25.504295,121.250816",11625,290,228
1775181333,2026-04-03T01:55:33Z,CQH8951,"25.501831,121.24781",11575,290,227
1775181335,2026-04-03T01:55:35Z,CQH8951,"25.5,121.245728",11550,290,225
1775181337,2026-04-03T01:55:37Z,CQH8951,"25.498215,121.243744",11525,290,225
1775181339,2026-04-03T01:55:39Z,CQH8951,"25.496334,121.241699",11500,290,224
1775181341,2026-04-03T01:55:41Z,CQH8951,"25.493912,121.239113",11450,289,223
1775181344,2026-04-03T01:55:44Z,CQH8951,"25.492006,121.237137",11425,290,223
1775181346,2026-04-03T01:55:46Z,CQH8951,"25.489746,121.234795",11375,290,223
1775181348,2026-04-03T01:55:48Z,CQH8951,"25.487583,121.232521",11350,290,223
1775181350,2026-04-03T01:55:50Z,CQH8951,"25.485031,121.229958",11300,289,222
1775181352,2026-04-03T01:55:52Z,CQH8951,"25.4832,121.228127",11275,289,222
1775181354,2026-04-03T01:55:54Z,CQH8951,"25.481094,121.22599",11250,288,221
1775181357,2026-04-03T01:55:57Z,CQH8951,"25.478714,121.223656",11200,288,221
1775181370,2026-04-03T01:56:10Z,CQH8951,"25.46575,121.210861",11050,288,222
1775181383,2026-04-03T01:56:23Z,CQH8951,"25.452667,121.197563",11025,301,222
1775181398,2026-04-03T01:56:38Z,CQH8951,"25.43712,121.182053",11025,299,221
1775181411,2026-04-03T01:56:51Z,CQH8951,"25.423325,121.168823",11050,296,221
1775181424,2026-04-03T01:57:04Z,CQH8951,"25.410095,121.156212",10950,292,220
1775181437,2026-04-03T01:57:17Z,CQH8951,"25.396683,121.143898",10750,284,219
1775181450,2026-04-03T01:57:30Z,CQH8951,"25.383911,121.132355",10525,278,219
1775181465,2026-04-03T01:57:45Z,CQH8951,"25.368967,121.118721",10275,271,219
1775181478,2026-04-03T01:57:58Z,CQH8951,"25.356678,121.107475",10050,267,219
1775181491,2026-04-03T01:58:11Z,CQH8951,"25.344389,121.096176",9850,263,220
1775181502,2026-04-03T01:58:22Z,CQH8951,"25.33382,121.087212",9650,262,212
1775181504,2026-04-03T01:58:24Z,CQH8951,"25.331543,121.085762",9625,264,209
1775181506,2026-04-03T01:58:26Z,CQH8951,"25.329306,121.084465",9575,263,207
1775181508,2026-04-03T01:58:28Z,CQH8951,"25.326139,121.082809",9525,266,204
1775181511,2026-04-03T01:58:31Z,CQH8951,"25.323997,121.081825",9500,265,202
1775181513,2026-04-03T01:58:33Z,CQH8951,"25.321289,121.080681",9475,265,201
1775181515,2026-04-03T01:58:35Z,CQH8951,"25.318924,121.079697",9450,266,200
1775181517,2026-04-03T01:58:37Z,CQH8951,"25.316458,121.078712",9425,266,199
1775181519,2026-04-03T01:58:39Z,CQH8951,"25.314011,121.077782",9375,267,199
1775181521,2026-04-03T01:58:41Z,CQH8951,"25.311104,121.076645",9350,267,198
1775181524,2026-04-03T01:58:44Z,CQH8951,"25.308823,121.075813",9325,268,198
1775181526,2026-04-03T01:58:46Z,CQH8951,"25.306091,121.074776",9275,268,198
1775181528,2026-04-03T01:58:48Z,CQH8951,"25.303888,121.073952",9250,267,198
1775181530,2026-04-03T01:58:50Z,CQH8951,"25.30142,121.073067",9225,268,198
1775181532,2026-04-03T01:58:52Z,CQH8951,"25.298534,121.071976",9175,267,198
1775181534,2026-04-03T01:58:54Z,CQH8951,"25.29616,121.071098",9150,267,198
1775181549,2026-04-03T01:59:09Z,CQH8951,"25.279221,121.064857",8900,265,198
1775181562,2026-04-03T01:59:22Z,CQH8951,"25.264225,121.059227",8700,264,198
1775181576,2026-04-03T01:59:36Z,CQH8951,"25.247467,121.052856",8450,259,199
1775181589,2026-04-03T01:59:49Z,CQH8951,"25.232988,121.047211",8175,255,199
1775181602,2026-04-03T02:00:02Z,CQH8951,"25.218933,121.041924",7900,255,196
1775181606,2026-04-03T02:00:06Z,CQH8951,"25.21344,121.040596",7775,257,189
1775181609,2026-04-03T02:00:09Z,CQH8951,"25.211109,121.040215",7725,258,186
1775181611,2026-04-03T02:00:11Z,CQH8951,"25.208084,121.039886",7650,259,184
1775181613,2026-04-03T02:00:13Z,CQH8951,"25.205658,121.039787",7600,260,182
1775181615,2026-04-03T02:00:15Z,CQH8951,"25.203102,121.039696",7550,261,181
1775181617,2026-04-03T02:00:17Z,CQH8951,"25.200485,121.03968",7475,262,180
1775181619,2026-04-03T02:00:19Z,CQH8951,"25.197922,121.03968",7425,262,179
1775181621,2026-04-03T02:00:21Z,CQH8951,"25.195358,121.03968",7375,262,179
1775181623,2026-04-03T02:00:23Z,CQH8951,"25.192612,121.039734",7325,262,178
1775181626,2026-04-03T02:00:26Z,CQH8951,"25.190161,121.039795",7300,261,178
1775181628,2026-04-03T02:00:28Z,CQH8951,"25.187759,121.039833",7250,261,178
1775181630,2026-04-03T02:00:30Z,CQH8951,"25.18483,121.03994",7200,260,178
1775181632,2026-04-03T02:00:32Z,CQH8951,"25.182341,121.040001",7150,260,178
