Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1775194575,2026-04-03T05:36:15Z,EVA169,"25.977127,122.333031",21725,372,234
1775194604,2026-04-03T05:36:44Z,EVA169,"25.94696,122.291672",21000,359,224
1775194609,2026-04-03T05:36:49Z,EVA169,"25.940536,122.285545",20950,358,220
1775194615,2026-04-03T05:36:55Z,EVA169,"25.932587,122.278816",20875,353,217
1775194619,2026-04-03T05:36:59Z,EVA169,"25.926956,122.274208",20825,352,216
1775194625,2026-04-03T05:37:05Z,EVA169,"25.919029,122.267853",20750,346,216
1775194660,2026-04-03T05:37:40Z,EVA169,"25.874804,122.232353",20325,322,215
1775194691,2026-04-03T05:38:11Z,EVA169,"25.841492,122.206367",20050,305,215
1775194722,2026-04-03T05:38:42Z,EVA169,"25.803673,122.177086",20000,302,215
1775194754,2026-04-03T05:39:14Z,EVA169,"25.766006,122.147728",20000,304,215
1775194786,2026-04-03T05:39:46Z,EVA169,"25.729843,122.118935",20000,298,215
1775194819,2026-04-03T05:40:19Z,EVA169,"25.693359,122.090454",19775,297,215
1775194850,2026-04-03T05:40:50Z,EVA169,"25.657034,122.061836",19300,303,215
1775194881,2026-04-03T05:41:21Z,EVA169,"25.622585,122.035202",18600,301,215
1775194913,2026-04-03T05:41:53Z,EVA169,"25.585762,122.006332",17950,297,215
1775194935,2026-04-03T05:42:15Z,EVA169,"25.562668,121.98481",17450,292,226
1775194937,2026-04-03T05:42:17Z,EVA169,"25.560883,121.982521",17400,291,227
1775194939,2026-04-03T05:42:19Z,EVA169,"25.558807,121.979805",17325,290,229
1775194941,2026-04-03T05:42:21Z,EVA169,"25.557724,121.978302",17300,290,230
1775194943,2026-04-03T05:42:23Z,EVA169,"25.555481,121.975151",17250,289,231
1775194946,2026-04-03T05:42:26Z,EVA169,"25.554153,121.973274",17200,290,232
1775194948,2026-04-03T05:42:28Z,EVA169,"25.552139,121.970314",17175,289,232
1775194950,2026-04-03T05:42:30Z,EVA169,"25.55072,121.96833",17150,288,232
1775194952,2026-04-03T05:42:32Z,EVA169,"25.548935,121.96579",17100,288,232
1775194954,2026-04-03T05:42:34Z,EVA169,"25.546921,121.962837",17050,288,232
1775194956,2026-04-03T05:42:36Z,EVA169,"25.544981,121.96006",17025,287,232
1775194959,2026-04-03T05:42:39Z,EVA169,"25.542654,121.956635",16950,286,232
1775194991,2026-04-03T05:43:11Z,EVA169,"25.517282,121.919899",16125,291,233
1775195021,2026-04-03T05:43:41Z,EVA169,"25.49295,121.883949",15625,283,233
1775195053,2026-04-03T05:44:13Z,EVA169,"25.468729,121.84745",15200,274,234
1775195085,2026-04-03T05:44:45Z,EVA169,"25.445023,121.811371",14775,272,234
1775195116,2026-04-03T05:45:16Z,EVA169,"25.421494,121.775612",14375,273,234
1775195148,2026-04-03T05:45:48Z,EVA169,"25.399612,121.738686",13850,270,242
1775195152,2026-04-03T05:45:52Z,EVA169,"25.397415,121.733551",13775,269,244
1775195154,2026-04-03T05:45:54Z,EVA169,"25.396481,121.731262",13750,269,245
1775195156,2026-04-03T05:45:56Z,EVA169,"25.395224,121.728256",13725,270,245
1775195159,2026-04-03T05:45:59Z,EVA169,"25.394211,121.725769",13675,269,245
1775195161,2026-04-03T05:46:01Z,EVA169,"25.392838,121.722359",13625,269,245
1775195163,2026-04-03T05:46:03Z,EVA169,"25.391785,121.719872",13600,268,245
1775195165,2026-04-03T05:46:05Z,EVA169,"25.390568,121.716904",13575,268,245
1775195198,2026-04-03T05:46:38Z,EVA169,"25.374136,121.677261",13025,266,245
1775195229,2026-04-03T05:47:09Z,EVA169,"25.357515,121.638031",12500,266,244
1775195260,2026-04-03T05:47:40Z,EVA169,"25.34141,121.600983",12000,262,244
1775195292,2026-04-03T05:48:12Z,EVA169,"25.325043,121.562805",11450,262,244
1775195305,2026-04-03T05:48:25Z,EVA169,"25.318226,121.546776",11250,261,244
1775195317,2026-04-03T05:48:37Z,EVA169,"25.311905,121.53183",11175,260,245
1775195330,2026-04-03T05:48:50Z,EVA169,"25.305267,121.516212",11150,258,245
1775195343,2026-04-03T05:49:03Z,EVA169,"25.298767,121.500854",11050,254,244
1775195356,2026-04-03T05:49:16Z,EVA169,"25.292404,121.486",10925,247,244
1775195371,2026-04-03T05:49:31Z,EVA169,"25.285309,121.469475",10825,238,244
1775195384,2026-04-03T05:49:44Z,EVA169,"25.279215,121.455208",10625,235,244
1775195397,2026-04-03T05:49:57Z,EVA169,"25.273117,121.440849",10375,233,244
1775195410,2026-04-03T05:50:10Z,EVA169,"25.267181,121.427055",10125,234,244
1775195425,2026-04-03T05:50:25Z,EVA169,"25.260269,121.410843",9775,236,244
1775195437,2026-04-03T05:50:37Z,EVA169,"25.254456,121.396843",9575,238,245
1775195450,2026-04-03T05:50:50Z,EVA169,"25.248491,121.382294",9350,239,245
1775195463,2026-04-03T05:51:03Z,EVA169,"25.242737,121.368202",9200,239,245
1775195478,2026-04-03T05:51:18Z,EVA169,"25.236099,121.351982",9175,239,245
1775195493,2026-04-03T05:51:33Z,EVA169,"25.229265,121.335182",9175,238,246
1775195505,2026-04-03T05:51:45Z,EVA169,"25.223648,121.321411",9175,239,245
1775195518,2026-04-03T05:51:58Z,EVA169,"25.217672,121.30658",9175,239,246
1775195531,2026-04-03T05:52:11Z,EVA169,"25.21225,121.292931",9175,238,246
1775195544,2026-04-03T05:52:24Z,EVA169,"25.206362,121.278389",9175,238,246
1775195557,2026-04-03T05:52:37Z,EVA169,"25.200485,121.263832",9175,238,245
1775195572,2026-04-03T05:52:52Z,EVA169,"25.193802,121.247406",9175,239,245
1775195584,2026-04-03T05:53:04Z,EVA169,"25.188112,121.233406",9175,239,245
1775195597,2026-04-03T05:53:17Z,EVA169,"25.182587,121.219994",9175,238,245
1775195610,2026-04-03T05:53:30Z,EVA169,"25.176498,121.205086",9175,238,245
1775195624,2026-04-03T05:53:44Z,EVA169,"25.170044,121.189369",8950,239,245
1775195637,2026-04-03T05:53:57Z,EVA169,"25.164139,121.174828",8650,240,246
1775195650,2026-04-03T05:54:10Z,EVA169,"25.158234,121.159767",8350,241,246
1775195663,2026-04-03T05:54:23Z,EVA169,"25.153011,121.145981",8225,236,247
1775195678,2026-04-03T05:54:38Z,EVA169,"25.146959,121.13002",8025,230,247
1775195690,2026-04-03T05:54:50Z,EVA169,"25.141653,121.115875",7800,228,247
1775195703,2026-04-03T05:55:03Z,EVA169,"25.136486,121.102036",7550,229,247
1775195716,2026-04-03T05:55:16Z,EVA169,"25.131458,121.088562",7300,227,247
1775195729,2026-04-03T05:55:29Z,EVA169,"25.125916,121.073608",7075,227,248
1775195743,2026-04-03T05:55:43Z,EVA169,"25.120834,121.05957",6950,228,248
1775195755,2026-04-03T05:55:55Z,EVA169,"25.115957,121.045967",6825,226,248
1775195768,2026-04-03T05:56:08Z,EVA169,"25.111359,121.032768",6700,219,249
1775195781,2026-04-03T05:56:21Z,EVA169,"25.106827,121.019691",6600,212,249
1775195795,2026-04-03T05:56:35Z,EVA169,"25.10202,121.005501",6475,205,249
1775195805,2026-04-03T05:56:45Z,EVA169,"25.098038,120.997009",6375,197,238
1775195807,2026-04-03T05:56:47Z,EVA169,"25.096916,120.995438",6350,195,233
1775195809,2026-04-03T05:56:49Z,EVA169,"25.095753,120.993988",6325,193,230
1775195811,2026-04-03T05:56:51Z,EVA169,"25.09417,120.992226",6300,192,226
1775195813,2026-04-03T05:56:53Z,EVA169,"25.092453,120.990601",6300,189,222
1775195815,2026-04-03T05:56:55Z,EVA169,"25.09119,120.989426",6275,188,221
1775195818,2026-04-03T05:56:58Z,EVA169,"25.089478,120.987854",6250,186,219
1775195820,2026-04-03T05:57:00Z,EVA169,"25.088242,120.986839",6250,185,218
1775195822,2026-04-03T05:57:02Z,EVA169,"25.086489,120.985382",6225,184,217
1775195824,2026-04-03T05:57:04Z,EVA169,"25.085325,120.984451",6225,182,216
1775195826,2026-04-03T05:57:06Z,EVA169,"25.084255,120.983566",6200,181,216
1775195828,2026-04-03T05:57:08Z,EVA169,"25.082474,120.982208",6200,179,215
1775195831,2026-04-03T05:57:11Z,EVA169,"25.080763,120.98082",6175,178,215
1775195833,2026-04-03T05:57:13Z,EVA169,"25.079498,120.97982",6175,177,215
1775195835,2026-04-03T05:57:15Z,EVA169,"25.078156,120.978806",6150,176,215
1775195837,2026-04-03T05:57:17Z,EVA169,"25.076759,120.977715",6150,174,215
1775195839,2026-04-03T05:57:19Z,EVA169,"25.075058,120.97641",6125,172,215
1775195841,2026-04-03T05:57:21Z,EVA169,"25.073914,120.975494",6100,172,215
1775195854,2026-04-03T05:57:34Z,EVA169,"25.065948,120.969238",5975,166,215
1775195867,2026-04-03T05:57:47Z,EVA169,"25.057755,120.96273",5850,165,216
1775195882,2026-04-03T05:58:02Z,EVA169,"25.048279,120.956215",5700,165,205
1775195884,2026-04-03T05:58:04Z,EVA169,"25.046722,120.955711",5675,165,199
1775195886,2026-04-03T05:58:06Z,EVA169,"25.044685,120.955429",5650,166,193
1775195888,2026-04-03T05:58:08Z,EVA169,"25.043102,120.955429",5625,167,184
1775195890,2026-04-03T05:58:10Z,EVA169,"25.041824,120.955452",5625,168,181
1775195892,2026-04-03T05:58:12Z,EVA169,"25.03989,120.955742",5600,170,174
1775195895,2026-04-03T05:58:15Z,EVA169,"25.038391,120.956062",5575,172,170
1775195897,2026-04-03T05:58:17Z,EVA169,"25.036423,120.956627",5550,173,167
1775195899,2026-04-03T05:58:19Z,EVA169,"25.035187,120.957031",5550,174,165
1775195901,2026-04-03T05:58:21Z,EVA169,"25.032898,120.957794",5525,175,163
