Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1775197056,2026-04-03T06:17:36Z,CPA400,"24.164795,120.254669",19450,426,32
1775197089,2026-04-03T06:18:09Z,CPA400,"24.217667,120.291496",18475,418,32
1775197121,2026-04-03T06:18:41Z,CPA400,"24.269777,120.327965",17475,408,32
1775197151,2026-04-03T06:19:11Z,CPA400,"24.316793,120.360825",16575,398,32
1775197183,2026-04-03T06:19:43Z,CPA400,"24.367355,120.396217",15625,390,32
1775197216,2026-04-03T06:20:16Z,CPA400,"24.416323,120.430367",14700,383,32
1775197248,2026-04-03T06:20:48Z,CPA400,"24.463669,120.463409",13800,380,32
1775197281,2026-04-03T06:21:21Z,CPA400,"24.512314,120.497421",12950,376,32
1775197311,2026-04-03T06:21:51Z,CPA400,"24.557377,120.529037",12125,376,32
1775197341,2026-04-03T06:22:21Z,CPA400,"24.600437,120.56179",11175,374,43
1775197343,2026-04-03T06:22:23Z,CPA400,"24.602997,120.56459",11125,374,45
1775197345,2026-04-03T06:22:25Z,CPA400,"24.604797,120.566765",11075,373,48
1775197347,2026-04-03T06:22:27Z,CPA400,"24.607792,120.570648",11000,373,50
1775197350,2026-04-03T06:22:30Z,CPA400,"24.610353,120.57428",10950,373,52
1775197352,2026-04-03T06:22:32Z,CPA400,"24.611982,120.576607",10900,372,53
1775197354,2026-04-03T06:22:34Z,CPA400,"24.614542,120.580498",10850,371,54
1775197356,2026-04-03T06:22:36Z,CPA400,"24.61659,120.583656",10800,370,54
1775197358,2026-04-03T06:22:38Z,CPA400,"24.618576,120.586754",10750,369,55
1775197360,2026-04-03T06:22:40Z,CPA400,"24.620682,120.590057",10700,370,55
1775197363,2026-04-03T06:22:43Z,CPA400,"24.623108,120.593872",10625,368,55
1775197365,2026-04-03T06:22:45Z,CPA400,"24.624969,120.596817",10575,367,55
1775197367,2026-04-03T06:22:47Z,CPA400,"24.626833,120.599724",10525,365,55
1775197369,2026-04-03T06:22:49Z,CPA400,"24.629196,120.603432",10475,365,55
1775197371,2026-04-03T06:22:51Z,CPA400,"24.630981,120.606178",10425,363,55
1775197373,2026-04-03T06:22:53Z,CPA400,"24.633041,120.609489",10375,362,54
1775197386,2026-04-03T06:23:06Z,CPA400,"24.645813,120.629219",10050,355,54
1775197399,2026-04-03T06:23:19Z,CPA400,"24.658081,120.647888",9700,353,54
1775197412,2026-04-03T06:23:32Z,CPA400,"24.670404,120.666466",9350,352,54
1775197425,2026-04-03T06:23:45Z,CPA400,"24.683022,120.685486",8950,351,54
1775197439,2026-04-03T06:23:59Z,CPA400,"24.697037,120.706635",8475,353,54
1775197452,2026-04-03T06:24:12Z,CPA400,"24.708717,120.724358",8125,350,54
1775197465,2026-04-03T06:24:25Z,CPA400,"24.721426,120.74379",7875,346,54
1775197478,2026-04-03T06:24:38Z,CPA400,"24.733429,120.762123",7675,344,54
1775197491,2026-04-03T06:24:51Z,CPA400,"24.745331,120.780487",7400,341,54
1775197505,2026-04-03T06:25:05Z,CPA400,"24.758343,120.800278",7075,338,54
1775197518,2026-04-03T06:25:18Z,CPA400,"24.770353,120.818207",6775,335,53
1775197531,2026-04-03T06:25:31Z,CPA400,"24.78241,120.836395",6500,331,54
1775197545,2026-04-03T06:25:45Z,CPA400,"24.794327,120.854637",6200,329,54
1775197558,2026-04-03T06:25:58Z,CPA400,"24.805893,120.872498",5975,323,54
1775197571,2026-04-03T06:26:11Z,CPA400,"24.817017,120.889839",5875,314,54
1775197584,2026-04-03T06:26:24Z,CPA400,"24.827774,120.906372",5750,304,54
1775197597,2026-04-03T06:26:37Z,CPA400,"24.838598,120.92289",5650,295,54
1775197611,2026-04-03T06:26:51Z,CPA400,"24.849398,120.939369",5525,286,54
1775197624,2026-04-03T06:27:04Z,CPA400,"24.859131,120.954132",5400,278,54
1775197638,2026-04-03T06:27:18Z,CPA400,"24.869293,120.969643",5275,265,54
1775197653,2026-04-03T06:27:33Z,CPA400,"24.879089,120.986633",5175,254,61
1775197660,2026-04-03T06:27:40Z,CPA400,"24.883484,120.994514",5150,255,57
1775197662,2026-04-03T06:27:42Z,CPA400,"24.884871,120.996834",5125,255,55
1775197664,2026-04-03T06:27:44Z,CPA400,"24.886221,120.999016",5125,256,55
1775197667,2026-04-03T06:27:47Z,CPA400,"24.887695,121.001335",5100,256,55
1775197669,2026-04-03T06:27:49Z,CPA400,"24.889481,121.004044",5075,256,54
1775197671,2026-04-03T06:27:51Z,CPA400,"24.89122,121.006676",5050,256,53
1775197673,2026-04-03T06:27:53Z,CPA400,"24.892685,121.008759",5050,257,52
1775197676,2026-04-03T06:27:56Z,CPA400,"24.893808,121.010361",5025,257,52
1775197679,2026-04-03T06:27:59Z,CPA400,"24.896881,121.01461",4975,258,51
1775197681,2026-04-03T06:28:01Z,CPA400,"24.898407,121.016747",4950,258,50
1775197684,2026-04-03T06:28:04Z,CPA400,"24.899872,121.018677",4900,258,50
1775197687,2026-04-03T06:28:07Z,CPA400,"24.902981,121.02285",4825,257,50
1775197689,2026-04-03T06:28:09Z,CPA400,"24.904541,121.024879",4800,256,50
1775197691,2026-04-03T06:28:11Z,CPA400,"24.906145,121.026947",4750,255,50
1775197693,2026-04-03T06:28:13Z,CPA400,"24.90802,121.029411",4700,254,49
1775197696,2026-04-03T06:28:16Z,CPA400,"24.909544,121.031349",4675,253,49
1775197698,2026-04-03T06:28:18Z,CPA400,"24.911127,121.033424",4625,252,49
1775197705,2026-04-03T06:28:25Z,CPA400,"24.91658,121.040291",4500,249,48
1775197713,2026-04-03T06:28:33Z,CPA400,"24.922577,121.04792",4325,248,48
1775197720,2026-04-03T06:28:40Z,CPA400,"24.928299,121.055092",4150,248,48
1775197727,2026-04-03T06:28:47Z,CPA400,"24.932922,121.060944",4025,247,49
1775197736,2026-04-03T06:28:56Z,CPA400,"24.939711,121.069489",3825,246,49
1775197742,2026-04-03T06:29:02Z,CPA400,"24.944086,121.075035",3675,244,49
1775197751,2026-04-03T06:29:11Z,CPA400,"24.950836,121.083534",3475,241,48
1775197759,2026-04-03T06:29:19Z,CPA400,"24.957458,121.091919",3300,239,49
1775197768,2026-04-03T06:29:28Z,CPA400,"24.963364,121.099449",3150,233,49
1775197777,2026-04-03T06:29:37Z,CPA400,"24.969131,121.106819",2975,226,49
1775197785,2026-04-03T06:29:45Z,CPA400,"24.97522,121.114555",2800,219,49
1775197793,2026-04-03T06:29:53Z,CPA400,"24.97966,121.120201",2675,214,48
1775197803,2026-04-03T06:30:03Z,CPA400,"24.987122,121.129662",2450,206,49
1775197814,2026-04-03T06:30:14Z,CPA400,"24.993618,121.137894",2275,195,49
1775197822,2026-04-03T06:30:22Z,CPA400,"24.997295,121.142563",2150,190,48
1775197830,2026-04-03T06:30:30Z,CPA400,"25.000973,121.147224",2050,180,48
1775197838,2026-04-03T06:30:38Z,CPA400,"25.004333,121.151482",1950,172,49
1775197850,2026-04-03T06:30:50Z,CPA400,"25.008774,121.157127",1800,163,48
1775197858,2026-04-03T06:30:58Z,CPA400,"25.014862,121.164909",1625,153,49
1775197866,2026-04-03T06:31:06Z,CPA400,"25.018433,121.169487",1525,148,49
1775197876,2026-04-03T06:31:16Z,CPA400,"25.023285,121.175591",1375,143,49
1775197887,2026-04-03T06:31:27Z,CPA400,"25.028275,121.181946",1250,142,48
1775197896,2026-04-03T06:31:36Z,CPA400,"25.032022,121.186661",1150,142,49
1775197906,2026-04-03T06:31:46Z,CPA400,"25.037155,121.193237",1000,143,49
1775197918,2026-04-03T06:31:58Z,CPA400,"25.042404,121.199928",850,143,49
1775197927,2026-04-03T06:32:07Z,CPA400,"25.046127,121.204697",750,142,49
1775197936,2026-04-03T06:32:16Z,CPA400,"25.050201,121.209869",650,141,49
1775197946,2026-04-03T06:32:26Z,CPA400,"25.053635,121.214195",550,141,49
