Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1775182570,2026-04-03T02:16:10Z,CPA466,"24.377106,120.403137",16375,370,32
1775182602,2026-04-03T02:16:42Z,CPA466,"24.423119,120.435394",15475,363,32
1775182635,2026-04-03T02:17:15Z,CPA466,"24.469025,120.467476",14625,362,32
1775182667,2026-04-03T02:17:47Z,CPA466,"24.5152,120.499702",13700,366,32
1775182699,2026-04-03T02:18:19Z,CPA466,"24.560577,120.531715",12825,361,32
1775182732,2026-04-03T02:18:52Z,CPA466,"24.606079,120.56356",11975,356,32
1775182745,2026-04-03T02:19:05Z,CPA466,"24.624039,120.576141",11625,352,32
1775182758,2026-04-03T02:19:18Z,CPA466,"24.642288,120.58889",11325,348,32
1775182771,2026-04-03T02:19:31Z,CPA466,"24.6595,120.60099",11025,345,32
1775182786,2026-04-03T02:19:46Z,CPA466,"24.679529,120.616302",10800,339,37
1775182797,2026-04-03T02:19:57Z,CPA466,"24.691633,120.627808",10675,334,42
1775182799,2026-04-03T02:19:59Z,CPA466,"24.694656,120.630852",10650,332,42
1775182801,2026-04-03T02:20:01Z,CPA466,"24.696987,120.633202",10625,330,42
1775182804,2026-04-03T02:20:04Z,CPA466,"24.700195,120.636391",10600,329,42
1775182806,2026-04-03T02:20:06Z,CPA466,"24.702061,120.638275",10575,328,42
1775182819,2026-04-03T02:20:19Z,CPA466,"24.716629,120.652824",10450,319,42
1775182831,2026-04-03T02:20:31Z,CPA466,"24.730591,120.666603",10350,309,42
1775182845,2026-04-03T02:20:45Z,CPA466,"24.744097,120.679893",10125,303,41
1775182860,2026-04-03T02:21:00Z,CPA466,"24.760576,120.695488",9800,301,39
1775182875,2026-04-03T02:21:15Z,CPA466,"24.776138,120.709328",9525,297,38
1775182890,2026-04-03T02:21:30Z,CPA466,"24.792139,120.723579",9200,294,39
1775182902,2026-04-03T02:21:42Z,CPA466,"24.805035,120.735085",8900,294,39
1775182915,2026-04-03T02:21:55Z,CPA466,"24.819185,120.747673",8625,292,39
1775182928,2026-04-03T02:22:08Z,CPA466,"24.832314,120.759338",8300,292,39
1775182943,2026-04-03T02:22:23Z,CPA466,"24.848511,120.77372",7975,290,38
1775182956,2026-04-03T02:22:36Z,CPA466,"24.861734,120.785347",7800,283,38
1775182971,2026-04-03T02:22:51Z,CPA466,"24.876772,120.798561",7625,274,38
1775182984,2026-04-03T02:23:04Z,CPA466,"24.889248,120.809547",7450,265,38
1775182999,2026-04-03T02:23:19Z,CPA466,"24.903399,120.822197",7325,251,39
1775183014,2026-04-03T02:23:34Z,CPA466,"24.916443,120.833839",7175,238,39
1775183029,2026-04-03T02:23:49Z,CPA466,"24.929003,120.844841",6875,231,38
1775183041,2026-04-03T02:24:01Z,CPA466,"24.939285,120.853828",6600,230,38
1775183055,2026-04-03T02:24:15Z,CPA466,"24.950836,120.863754",6300,229,37
1775183067,2026-04-03T02:24:27Z,CPA466,"24.96159,120.872932",5975,230,37
1775183080,2026-04-03T02:24:40Z,CPA466,"24.97267,120.882103",5650,230,36
1775183093,2026-04-03T02:24:53Z,CPA466,"24.983871,120.891014",5350,230,35
1775183103,2026-04-03T02:25:03Z,CPA466,"24.991196,120.897751",5100,230,43
1775183105,2026-04-03T02:25:05Z,CPA466,"24.992966,120.899979",5025,231,47
1775183107,2026-04-03T02:25:07Z,CPA466,"24.994268,120.902054",4975,229,51
1775183109,2026-04-03T02:25:09Z,CPA466,"24.995453,120.904182",4925,228,57
1775183111,2026-04-03T02:25:11Z,CPA466,"24.996643,120.906662",4850,228,61
1775183113,2026-04-03T02:25:13Z,CPA466,"24.997375,120.908607",4800,225,65
1775183115,2026-04-03T02:25:15Z,CPA466,"24.998039,120.910706",4750,225,67
1775183118,2026-04-03T02:25:18Z,CPA466,"24.998657,120.913391",4700,222,73
1775183120,2026-04-03T02:25:20Z,CPA466,"24.998978,120.915581",4650,220,77
1775183122,2026-04-03T02:25:22Z,CPA466,"24.999203,120.917908",4575,218,84
1775183124,2026-04-03T02:25:24Z,CPA466,"24.999157,120.920609",4525,216,88
1775183126,2026-04-03T02:25:26Z,CPA466,"24.999023,120.923058",4475,213,92
1775183129,2026-04-03T02:25:29Z,CPA466,"24.998703,120.92514",4425,211,96
1775183131,2026-04-03T02:25:31Z,CPA466,"24.998291,120.927681",4375,208,101
1775183133,2026-04-03T02:25:33Z,CPA466,"24.997761,120.929886",4350,207,102
1775183135,2026-04-03T02:25:35Z,CPA466,"24.997284,120.932007",4300,205,104
1775183139,2026-04-03T02:25:39Z,CPA466,"24.996365,120.935684",4225,204,105
1775183141,2026-04-03T02:25:41Z,CPA466,"24.995819,120.937706",4200,202,106
1775183143,2026-04-03T02:25:43Z,CPA466,"24.995199,120.939987",4150,201,106
1775183145,2026-04-03T02:25:45Z,CPA466,"24.994629,120.942177",4125,202,106
1775183148,2026-04-03T02:25:48Z,CPA466,"24.99408,120.94416",4100,202,106
1775183150,2026-04-03T02:25:50Z,CPA466,"24.99353,120.946251",4075,200,106
1775183152,2026-04-03T02:25:52Z,CPA466,"24.992889,120.948692",4050,200,106
1775183154,2026-04-03T02:25:54Z,CPA466,"24.992386,120.950569",4025,201,106
