Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1775178913,2026-04-03T01:15:13Z,CPA488,"23.832977,120.025063",22550,431,32
1775178944,2026-04-03T01:15:44Z,CPA488,"23.885193,120.061287",21500,430,32
1775178977,2026-04-03T01:16:17Z,CPA488,"23.940811,120.099792",21000,422,32
1775179009,2026-04-03T01:16:49Z,CPA488,"23.994141,120.136665",21000,426,32
1775179041,2026-04-03T01:17:21Z,CPA488,"24.04715,120.173393",20850,427,32
1775179074,2026-04-03T01:17:54Z,CPA488,"24.101257,120.210976",19475,414,32
1775179106,2026-04-03T01:18:26Z,CPA488,"24.151394,120.24614",18775,387,32
1775179137,2026-04-03T01:18:57Z,CPA488,"24.197947,120.27858",17825,386,32
1775179169,2026-04-03T01:19:29Z,CPA488,"24.246872,120.312447",17025,381,32
1775179201,2026-04-03T01:20:01Z,CPA488,"24.293884,120.345207",17000,382,32
1775179232,2026-04-03T01:20:32Z,CPA488,"24.339935,120.377403",17000,386,32
1775179264,2026-04-03T01:21:04Z,CPA488,"24.38887,120.41153",16800,382,32
1775179296,2026-04-03T01:21:36Z,CPA488,"24.436247,120.444672",14825,375,32
1775179328,2026-04-03T01:22:08Z,CPA488,"24.48238,120.477058",12725,376,32
1775179361,2026-04-03T01:22:41Z,CPA488,"24.529449,120.510048",11025,365,32
1775179376,2026-04-03T01:22:56Z,CPA488,"24.55151,120.525566",10550,363,32
1775179391,2026-04-03T01:23:11Z,CPA488,"24.572832,120.540489",10350,357,32
1775179405,2026-04-03T01:23:25Z,CPA488,"24.592804,120.554558",10225,347,32
1775179418,2026-04-03T01:23:38Z,CPA488,"24.609421,120.5662",10125,339,32
1775179431,2026-04-03T01:23:51Z,CPA488,"24.626366,120.578163",10075,330,32
1775179444,2026-04-03T01:24:04Z,CPA488,"24.643066,120.589851",9975,322,32
1775179457,2026-04-03T01:24:17Z,CPA488,"24.659363,120.601349",9825,316,32
1775179470,2026-04-03T01:24:30Z,CPA488,"24.674921,120.613037",9550,320,38
1775179474,2026-04-03T01:24:34Z,CPA488,"24.67939,120.6175",9450,321,44
1775179476,2026-04-03T01:24:36Z,CPA488,"24.681856,120.620453",9375,323,49
1775179479,2026-04-03T01:24:39Z,CPA488,"24.68372,120.623039",9325,325,52
1775179481,2026-04-03T01:24:41Z,CPA488,"24.685675,120.625946",9300,325,55
1775179483,2026-04-03T01:24:43Z,CPA488,"24.687561,120.629021",9250,325,57
1775179485,2026-04-03T01:24:45Z,CPA488,"24.689209,120.631966",9225,324,58
1775179487,2026-04-03T01:24:47Z,CPA488,"24.690903,120.634972",9200,324,59
1775179489,2026-04-03T01:24:49Z,CPA488,"24.692751,120.638382",9150,323,59
1775179492,2026-04-03T01:24:52Z,CPA488,"24.694107,120.640923",9100,323,59
1775179494,2026-04-03T01:24:54Z,CPA488,"24.695915,120.644287",9050,323,59
1775179496,2026-04-03T01:24:56Z,CPA488,"24.697405,120.647034",9025,323,59
1775179498,2026-04-03T01:24:58Z,CPA488,"24.698988,120.65004",8975,323,59
1775179500,2026-04-03T01:25:00Z,CPA488,"24.700516,120.652824",8925,324,59
1775179502,2026-04-03T01:25:02Z,CPA488,"24.702433,120.656364",8850,322,59
1775179504,2026-04-03T01:25:04Z,CPA488,"24.70369,120.658646",8825,322,59
1775179506,2026-04-03T01:25:06Z,CPA488,"24.70546,120.661926",8725,321,59
1775179519,2026-04-03T01:25:19Z,CPA488,"24.715281,120.679787",8225,318,59
1775179532,2026-04-03T01:25:32Z,CPA488,"24.725555,120.698448",7700,315,58
1775179545,2026-04-03T01:25:45Z,CPA488,"24.735392,120.716217",7200,310,58
1775179558,2026-04-03T01:25:58Z,CPA488,"24.744553,120.73278",6700,308,58
1775179571,2026-04-03T01:26:11Z,CPA488,"24.753826,120.749382",6200,306,58
1775179585,2026-04-03T01:26:25Z,CPA488,"24.764673,120.768921",5700,307,58
1775179598,2026-04-03T01:26:38Z,CPA488,"24.77417,120.786125",5500,305,58
1775179613,2026-04-03T01:26:53Z,CPA488,"24.785063,120.80587",5250,302,58
1775179626,2026-04-03T01:27:06Z,CPA488,"24.79454,120.823059",5000,302,58
1775179639,2026-04-03T01:27:19Z,CPA488,"24.803778,120.839813",4750,302,58
1775179647,2026-04-03T01:27:27Z,CPA488,"24.810059,120.851135",4550,302,58
1775179654,2026-04-03T01:27:34Z,CPA488,"24.81481,120.859665",4400,304,58
1775179662,2026-04-03T01:27:42Z,CPA488,"24.82114,120.871117",4250,302,58
1775179669,2026-04-03T01:27:49Z,CPA488,"24.825989,120.879921",4200,300,58
1775179677,2026-04-03T01:27:57Z,CPA488,"24.831755,120.890343",4125,294,58
1775179684,2026-04-03T01:28:04Z,CPA488,"24.836609,120.899147",4075,292,58
1775179692,2026-04-03T01:28:12Z,CPA488,"24.842377,120.909523",4050,286,58
1775179699,2026-04-03T01:28:19Z,CPA488,"24.847071,120.917961",4050,282,58
1775179708,2026-04-03T01:28:28Z,CPA488,"24.852564,120.927811",4050,275,58
1775179715,2026-04-03T01:28:35Z,CPA488,"24.857731,120.937134",4050,271,58
1775179724,2026-04-03T01:28:44Z,CPA488,"24.863434,120.947472",4050,270,58
1775179732,2026-04-03T01:28:52Z,CPA488,"24.868811,120.957245",4050,270,58
1775179740,2026-04-03T01:29:00Z,CPA488,"24.873932,120.966576",4025,269,58
1775179749,2026-04-03T01:29:09Z,CPA488,"24.879364,120.97641",4025,260,58
1775179757,2026-04-03T01:29:17Z,CPA488,"24.884544,120.985847",4050,252,58
1775179764,2026-04-03T01:29:24Z,CPA488,"24.888641,120.993263",4050,250,58
1775179773,2026-04-03T01:29:33Z,CPA488,"24.893763,121.002586",4050,251,58
1775179779,2026-04-03T01:29:39Z,CPA488,"24.897537,121.009926",4050,250,62
1775179782,2026-04-03T01:29:42Z,CPA488,"24.899023,121.012901",4050,250,62
1775179784,2026-04-03T01:29:44Z,CPA488,"24.900093,121.015182",4050,250,62
1775179786,2026-04-03T01:29:46Z,CPA488,"24.901016,121.016998",4050,250,61
1775179788,2026-04-03T01:29:48Z,CPA488,"24.902468,121.019791",4050,250,60
1775179790,2026-04-03T01:29:50Z,CPA488,"24.903717,121.022186",4050,251,59
1775179792,2026-04-03T01:29:52Z,CPA488,"24.904982,121.024353",4050,252,57
1775179794,2026-04-03T01:29:54Z,CPA488,"24.906143,121.026253",4050,252,56
1775179796,2026-04-03T01:29:56Z,CPA488,"24.907589,121.028503",4050,252,54
1775179798,2026-04-03T01:29:58Z,CPA488,"24.909124,121.030884",4050,252,53
1775179800,2026-04-03T01:30:00Z,CPA488,"24.910629,121.03302",4050,252,52
1775179803,2026-04-03T01:30:03Z,CPA488,"24.912197,121.035187",4050,252,51
1775179805,2026-04-03T01:30:05Z,CPA488,"24.913734,121.037308",4050,252,50
1775179807,2026-04-03T01:30:07Z,CPA488,"24.915596,121.039696",4050,252,50
1775179809,2026-04-03T01:30:09Z,CPA488,"24.916666,121.041092",4050,252,49
1775179811,2026-04-03T01:30:11Z,CPA488,"24.918732,121.043701",4050,252,48
1775179813,2026-04-03T01:30:13Z,CPA488,"24.920517,121.045937",4050,252,48
1775179815,2026-04-03T01:30:15Z,CPA488,"24.921974,121.047676",4050,252,48
1775179817,2026-04-03T01:30:17Z,CPA488,"24.923721,121.049858",4050,252,48
1775179820,2026-04-03T01:30:20Z,CPA488,"24.925232,121.051689",4050,252,48
1775179822,2026-04-03T01:30:22Z,CPA488,"24.927094,121.054047",4050,252,48
1775179824,2026-04-03T01:30:24Z,CPA488,"24.928631,121.055916",4025,251,48
1775179826,2026-04-03T01:30:26Z,CPA488,"24.930492,121.058243",4000,252,48
1775179833,2026-04-03T01:30:33Z,CPA488,"24.935532,121.064507",3900,250,48
1775179842,2026-04-03T01:30:42Z,CPA488,"24.942307,121.072845",3700,252,48
1775179848,2026-04-03T01:30:48Z,CPA488,"24.947296,121.079102",3550,253,49
1775179856,2026-04-03T01:30:56Z,CPA488,"24.953163,121.086594",3325,254,49
1775179863,2026-04-03T01:31:03Z,CPA488,"24.958557,121.093498",3125,248,49
