Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1775180868,2026-04-03T01:47:48Z,CPA530,"24.241791,120.308937",17425,388,32
1775180899,2026-04-03T01:48:19Z,CPA530,"24.288345,120.341393",16325,380,32
1775180931,2026-04-03T01:48:51Z,CPA530,"24.335632,120.375671",15000,375,37
1775180938,2026-04-03T01:48:58Z,CPA530,"24.344101,120.383759",14700,377,42
1775180940,2026-04-03T01:49:00Z,CPA530,"24.346756,120.386559",14575,378,43
1775180942,2026-04-03T01:49:02Z,CPA530,"24.349241,120.389374",14475,378,45
1775180945,2026-04-03T01:49:05Z,CPA530,"24.352314,120.392899",14325,379,46
1775180947,2026-04-03T01:49:07Z,CPA530,"24.355293,120.39637",14200,379,46
1775180949,2026-04-03T01:49:09Z,CPA530,"24.357605,120.399117",14075,380,47
1775180951,2026-04-03T01:49:11Z,CPA530,"24.36046,120.402489",13950,380,47
1775180953,2026-04-03T01:49:13Z,CPA530,"24.362915,120.405426",13850,380,47
1775180955,2026-04-03T01:49:15Z,CPA530,"24.365162,120.408081",13750,380,47
1775180957,2026-04-03T01:49:17Z,CPA530,"24.367722,120.411087",13625,381,47
1775180960,2026-04-03T01:49:20Z,CPA530,"24.370562,120.414406",13500,381,47
1775180992,2026-04-03T01:49:52Z,CPA530,"24.409607,120.459084",12325,376,46
1775181022,2026-04-03T01:50:22Z,CPA530,"24.445908,120.500282",11575,373,46
1775181037,2026-04-03T01:50:37Z,CPA530,"24.463486,120.520226",11250,371,45
1775181049,2026-04-03T01:50:49Z,CPA530,"24.478546,120.537361",10950,370,46
1775181063,2026-04-03T01:51:03Z,CPA530,"24.49411,120.555061",10550,369,46
1775181078,2026-04-03T01:51:18Z,CPA530,"24.511709,120.575005",10150,365,46
1775181090,2026-04-03T01:51:30Z,CPA530,"24.527023,120.592445",9875,361,46
1775181104,2026-04-03T01:51:44Z,CPA530,"24.542725,120.610298",9575,355,46
1775181117,2026-04-03T01:51:57Z,CPA530,"24.557236,120.626984",9275,351,46
1775181130,2026-04-03T01:52:10Z,CPA530,"24.572599,120.6446",8800,352,46
1775181143,2026-04-03T01:52:23Z,CPA530,"24.587082,120.661163",8450,352,46
1775181156,2026-04-03T01:52:36Z,CPA530,"24.600861,120.676979",8250,349,46
1775181169,2026-04-03T01:52:49Z,CPA530,"24.61615,120.694527",7950,347,46
1775181182,2026-04-03T01:53:02Z,CPA530,"24.630478,120.710907",7675,345,46
1775181195,2026-04-03T01:53:15Z,CPA530,"24.64476,120.727386",7425,343,46
1775181209,2026-04-03T01:53:29Z,CPA530,"24.659,120.743683",7350,333,46
1775181224,2026-04-03T01:53:44Z,CPA530,"24.675339,120.762428",7225,324,46
1775181239,2026-04-03T01:53:59Z,CPA530,"24.690748,120.780113",7125,315,46
1775181252,2026-04-03T01:54:12Z,CPA530,"24.703411,120.794624",6925,311,46
1775181265,2026-04-03T01:54:25Z,CPA530,"24.716675,120.809883",6675,310,46
1775181280,2026-04-03T01:54:40Z,CPA530,"24.731369,120.826721",6400,309,46
1775181293,2026-04-03T01:54:53Z,CPA530,"24.744236,120.841476",6175,307,46
1775181305,2026-04-03T01:55:05Z,CPA530,"24.756388,120.855469",6075,302,46
1775181318,2026-04-03T01:55:18Z,CPA530,"24.768814,120.869698",6000,295,46
1775181331,2026-04-03T01:55:31Z,CPA530,"24.780781,120.8834",5950,287,46
1775181344,2026-04-03T01:55:44Z,CPA530,"24.792791,120.897179",5875,280,46
1775181357,2026-04-03T01:55:57Z,CPA530,"24.803823,120.909882",5800,273,46
1775181370,2026-04-03T01:56:10Z,CPA530,"24.815506,120.923256",5675,268,46
1775181383,2026-04-03T01:56:23Z,CPA530,"24.826494,120.935944",5575,261,46
1775181396,2026-04-03T01:56:36Z,CPA530,"24.837067,120.948082",5475,254,46
1775181407,2026-04-03T01:56:47Z,CPA530,"24.846863,120.957085",5400,248,36
1775181409,2026-04-03T01:56:49Z,CPA530,"24.848328,120.958282",5400,247,36
1775181411,2026-04-03T01:56:51Z,CPA530,"24.85025,120.959877",5400,245,37
1775181413,2026-04-03T01:56:53Z,CPA530,"24.852081,120.961456",5375,244,37
1775181415,2026-04-03T01:56:55Z,CPA530,"24.853867,120.962982",5350,243,38
1775181417,2026-04-03T01:56:57Z,CPA530,"24.855637,120.964653",5350,242,40
1775181419,2026-04-03T01:56:59Z,CPA530,"24.857529,120.966545",5325,242,41
1775181422,2026-04-03T01:57:02Z,CPA530,"24.859222,120.968269",5300,239,43
1775181424,2026-04-03T01:57:04Z,CPA530,"24.86113,120.970352",5275,239,44
1775181426,2026-04-03T01:57:06Z,CPA530,"24.863297,120.9729",5250,237,46
1775181429,2026-04-03T01:57:09Z,CPA530,"24.86467,120.974579",5250,236,47
1775181431,2026-04-03T01:57:11Z,CPA530,"24.866064,120.976265",5225,235,48
1775181433,2026-04-03T01:57:13Z,CPA530,"24.867874,120.978493",5200,234,48
1775181435,2026-04-03T01:57:15Z,CPA530,"24.869648,120.98082",5200,233,49
1775181437,2026-04-03T01:57:17Z,CPA530,"24.871124,120.982719",5175,233,49
1775181439,2026-04-03T01:57:19Z,CPA530,"24.872543,120.984497",5150,234,49
1775181441,2026-04-03T01:57:21Z,CPA530,"24.873932,120.986313",5125,232,49
1775181444,2026-04-03T01:57:24Z,CPA530,"24.875515,120.988335",5125,232,49
1775181456,2026-04-03T01:57:36Z,CPA530,"24.884308,120.99955",5025,230,49
1775181470,2026-04-03T01:57:50Z,CPA530,"24.8936,121.011299",4925,224,49
