Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1775194360,2026-04-03T05:32:40Z,CPA564,"33.453232,134.187561",16375,388,53
1775194392,2026-04-03T05:33:12Z,CPA564,"33.486877,134.242157",15975,380,55
1775194422,2026-04-03T05:33:42Z,CPA564,"33.516724,134.295059",15700,374,56
1775194453,2026-04-03T05:34:13Z,CPA564,"33.546249,134.347153",14700,366,55
1775194486,2026-04-03T05:34:46Z,CPA564,"33.577198,134.401306",13700,358,55
1775194519,2026-04-03T05:35:19Z,CPA564,"33.608917,134.453537",12600,338,49
1775194528,2026-04-03T05:35:28Z,CPA564,"33.618118,134.465332",12375,326,45
1775194530,2026-04-03T05:35:30Z,CPA564,"33.620258,134.467911",12300,325,45
1775194532,2026-04-03T05:35:32Z,CPA564,"33.622513,134.47052",12250,322,44
1775194534,2026-04-03T05:35:34Z,CPA564,"33.625099,134.47345",12175,321,43
1775194536,2026-04-03T05:35:36Z,CPA564,"33.627289,134.4758",12125,317,42
1775194538,2026-04-03T05:35:38Z,CPA564,"33.629662,134.478378",12050,316,41
1775194540,2026-04-03T05:35:40Z,CPA564,"33.631897,134.480667",12000,312,40
1775194543,2026-04-03T05:35:43Z,CPA564,"33.634735,134.483536",11925,310,39
1775194545,2026-04-03T05:35:45Z,CPA564,"33.636879,134.485535",11875,307,38
1775194558,2026-04-03T05:35:58Z,CPA564,"33.651821,134.499832",11475,295,38
1775194572,2026-04-03T05:36:12Z,CPA564,"33.665413,134.513",11275,282,38
1775194584,2026-04-03T05:36:24Z,CPA564,"33.678215,134.525238",11025,282,38
1775194597,2026-04-03T05:36:37Z,CPA564,"33.691681,134.53801",10750,281,38
1775194610,2026-04-03T05:36:50Z,CPA564,"33.70433,134.550079",10525,278,38
1775194625,2026-04-03T05:37:05Z,CPA564,"33.719193,134.564194",10250,275,38
1775194636,2026-04-03T05:37:16Z,CPA564,"33.731472,134.573364",10050,271,25
1775194638,2026-04-03T05:37:18Z,CPA564,"33.734161,134.574677",10000,269,20
1775194641,2026-04-03T05:37:21Z,CPA564,"33.736408,134.575531",9975,268,17
1775194643,2026-04-03T05:37:23Z,CPA564,"33.738781,134.576279",9950,267,14
1775194645,2026-04-03T05:37:25Z,CPA564,"33.741436,134.576904",9900,265,10
1775194647,2026-04-03T05:37:27Z,CPA564,"33.74437,134.577362",9900,263,5
1775194649,2026-04-03T05:37:29Z,CPA564,"33.74675,134.577591",9900,261,2
1775194651,2026-04-03T05:37:31Z,CPA564,"33.74881,134.577637",9900,261,2
1775194654,2026-04-03T05:37:34Z,CPA564,"33.752563,134.577423",9900,261,356
1775194656,2026-04-03T05:37:36Z,CPA564,"33.754715,134.577133",9875,260,353
1775194658,2026-04-03T05:37:38Z,CPA564,"33.757095,134.576691",9875,261,350
1775194660,2026-04-03T05:37:40Z,CPA564,"33.759823,134.575989",9875,261,346
1775194662,2026-04-03T05:37:42Z,CPA564,"33.762863,134.575012",9875,261,343
1775194665,2026-04-03T05:37:45Z,CPA564,"33.76527,134.57399",9875,262,340
1775194667,2026-04-03T05:37:47Z,CPA564,"33.767212,134.573044",9875,263,337
1775194669,2026-04-03T05:37:49Z,CPA564,"33.769455,134.57193",9875,262,336
1775194671,2026-04-03T05:37:51Z,CPA564,"33.771881,134.570633",9875,263,335
1775194673,2026-04-03T05:37:53Z,CPA564,"33.774582,134.569229",9850,263,335
1775194675,2026-04-03T05:37:55Z,CPA564,"33.777374,134.567719",9850,264,335
1775194677,2026-04-03T05:37:57Z,CPA564,"33.779572,134.566544",9850,263,336
1775194680,2026-04-03T05:38:00Z,CPA564,"33.781937,134.565292",9850,263,336
1775194682,2026-04-03T05:38:02Z,CPA564,"33.784401,134.564041",9850,263,336
1775194684,2026-04-03T05:38:04Z,CPA564,"33.786758,134.56279",9875,263,336
1775194686,2026-04-03T05:38:06Z,CPA564,"33.789001,134.561661",9875,263,336
1775194688,2026-04-03T05:38:08Z,CPA564,"33.791565,134.560318",9875,263,336
1775194690,2026-04-03T05:38:10Z,CPA564,"33.794037,134.559036",9875,263,336
1775194703,2026-04-03T05:38:23Z,CPA564,"33.807957,134.551453",9875,263,335
1775194718,2026-04-03T05:38:38Z,CPA564,"33.824524,134.542099",9875,263,334
1775194731,2026-04-03T05:38:51Z,CPA564,"33.838943,134.533981",9875,262,335
1775194742,2026-04-03T05:39:02Z,CPA564,"33.851391,134.528503",9675,266,345
1775194744,2026-04-03T05:39:04Z,CPA564,"33.853683,134.527985",9675,266,348
1775194746,2026-04-03T05:39:06Z,CPA564,"33.856384,134.527527",9650,267,352
1775194748,2026-04-03T05:39:08Z,CPA564,"33.858856,134.527313",9650,267,355
1775194750,2026-04-03T05:39:10Z,CPA564,"33.861446,134.527191",9625,268,358
1775194752,2026-04-03T05:39:12Z,CPA564,"33.863937,134.527313",9625,268,2
1775194754,2026-04-03T05:39:14Z,CPA564,"33.867264,134.527649",9625,269,5
1775194757,2026-04-03T05:39:17Z,CPA564,"33.869659,134.52803",9600,269,8
1775194759,2026-04-03T05:39:19Z,CPA564,"33.87236,134.528595",9575,270,10
1775194761,2026-04-03T05:39:21Z,CPA564,"33.874283,134.52916",9575,271,13
1775194763,2026-04-03T05:39:23Z,CPA564,"33.876854,134.529999",9550,271,16
1775194765,2026-04-03T05:39:25Z,CPA564,"33.87923,134.53096",9525,271,19
1775194767,2026-04-03T05:39:27Z,CPA564,"33.882523,134.532578",9500,273,22
1775194769,2026-04-03T05:39:29Z,CPA564,"33.884907,134.533936",9475,273,25
1775194771,2026-04-03T05:39:31Z,CPA564,"33.887054,134.535324",9475,274,28
1775194773,2026-04-03T05:39:33Z,CPA564,"33.889069,134.536606",9450,274,29
1775194775,2026-04-03T05:39:35Z,CPA564,"33.891426,134.538177",9425,275,29
1775194778,2026-04-03T05:39:38Z,CPA564,"33.894424,134.540207",9425,275,29
1775194780,2026-04-03T05:39:40Z,CPA564,"33.896873,134.541901",9400,276,29
