Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1775182460,2026-04-03T02:14:20Z,CSN3087,"23.870132,120.050865",21225,431,32
1775182490,2026-04-03T02:14:50Z,CSN3087,"23.921473,120.086426",20975,428,32
1775182523,2026-04-03T02:15:23Z,CSN3087,"23.975752,120.123993",21000,430,32
1775182554,2026-04-03T02:15:54Z,CSN3087,"24.028152,120.160423",20575,415,32
1775182587,2026-04-03T02:16:27Z,CSN3087,"24.080841,120.196892",19450,419,32
1775182618,2026-04-03T02:16:58Z,CSN3087,"24.131516,120.232201",19100,398,32
1775182651,2026-04-03T02:17:31Z,CSN3087,"24.181,120.26667",18225,394,32
1775182683,2026-04-03T02:18:03Z,CSN3087,"24.230392,120.301003",17325,389,32
1775182715,2026-04-03T02:18:35Z,CSN3087,"24.279236,120.33503",16475,386,32
1775182747,2026-04-03T02:19:07Z,CSN3087,"24.327501,120.368805",15700,382,32
1775182779,2026-04-03T02:19:39Z,CSN3087,"24.374817,120.401817",14925,376,32
1775182811,2026-04-03T02:20:11Z,CSN3087,"24.421816,120.434616",14025,376,32
1775182843,2026-04-03T02:20:43Z,CSN3087,"24.46874,120.467468",13125,378,32
1775182876,2026-04-03T02:21:16Z,CSN3087,"24.516174,120.50074",12350,373,32
1775182908,2026-04-03T02:21:48Z,CSN3087,"24.563141,120.533653",11575,367,32
1775182921,2026-04-03T02:22:01Z,CSN3087,"24.581818,120.546776",11400,362,32
1775182934,2026-04-03T02:22:14Z,CSN3087,"24.600128,120.559639",11275,353,32
1775182947,2026-04-03T02:22:27Z,CSN3087,"24.617941,120.572151",11150,345,32
1775182960,2026-04-03T02:22:40Z,CSN3087,"24.634735,120.583954",11025,338,32
1775182973,2026-04-03T02:22:53Z,CSN3087,"24.651993,120.596161",10925,329,32
1775182986,2026-04-03T02:23:06Z,CSN3087,"24.668427,120.607758",10825,321,33
1775182999,2026-04-03T02:23:19Z,CSN3087,"24.68335,120.62027",10725,318,40
1775183004,2026-04-03T02:23:24Z,CSN3087,"24.68811,120.625053",10700,316,42
1775183006,2026-04-03T02:23:26Z,CSN3087,"24.690811,120.627747",10675,314,42
1775183008,2026-04-03T02:23:28Z,CSN3087,"24.692703,120.629677",10650,314,42
1775183010,2026-04-03T02:23:30Z,CSN3087,"24.69503,120.632057",10625,312,42
1775183012,2026-04-03T02:23:32Z,CSN3087,"24.697266,120.634285",10625,312,42
1775183014,2026-04-03T02:23:34Z,CSN3087,"24.699417,120.636444",10575,310,42
1775183027,2026-04-03T02:23:47Z,CSN3087,"24.713562,120.650482",10350,308,41
1775183040,2026-04-03T02:24:00Z,CSN3087,"24.727013,120.663673",10200,303,41
1775183054,2026-04-03T02:24:14Z,CSN3087,"24.741943,120.678307",10000,298,41
1775183067,2026-04-03T02:24:27Z,CSN3087,"24.755447,120.691475",9725,298,41
1775183080,2026-04-03T02:24:40Z,CSN3087,"24.76886,120.704597",9450,298,41
1775183093,2026-04-03T02:24:53Z,CSN3087,"24.782177,120.717667",9150,298,42
1775183108,2026-04-03T02:25:08Z,CSN3087,"24.79698,120.732338",8850,296,42
1775183123,2026-04-03T02:25:23Z,CSN3087,"24.81225,120.74736",8575,293,41
1775183136,2026-04-03T02:25:36Z,CSN3087,"24.825531,120.760445",8250,292,41
1775183149,2026-04-03T02:25:49Z,CSN3087,"24.839064,120.773743",7950,293,41
1775183162,2026-04-03T02:26:02Z,CSN3087,"24.852081,120.786537",7650,291,41
1775183175,2026-04-03T02:26:15Z,CSN3087,"24.864901,120.799187",7400,291,41
1775183188,2026-04-03T02:26:28Z,CSN3087,"24.87767,120.811768",7150,292,41
1775183201,2026-04-03T02:26:41Z,CSN3087,"24.891249,120.824997",6925,289,41
1775183215,2026-04-03T02:26:55Z,CSN3087,"24.905319,120.838676",6675,288,41
1775183228,2026-04-03T02:27:08Z,CSN3087,"24.918365,120.851135",6450,287,41
1775183241,2026-04-03T02:27:21Z,CSN3087,"24.930176,120.865074",6325,279,53
1775183243,2026-04-03T02:27:23Z,CSN3087,"24.931517,120.867439",6300,277,57
1775183245,2026-04-03T02:27:25Z,CSN3087,"24.932726,120.870079",6275,276,61
1775183248,2026-04-03T02:27:28Z,CSN3087,"24.933844,120.872826",6250,275,64
1775183250,2026-04-03T02:27:30Z,CSN3087,"24.934916,120.876038",6225,273,68
1775183252,2026-04-03T02:27:32Z,CSN3087,"24.935623,120.878548",6225,270,72
1775183254,2026-04-03T02:27:34Z,CSN3087,"24.936264,120.881248",6200,268,74
1775183256,2026-04-03T02:27:36Z,CSN3087,"24.936916,120.884331",6175,266,76
1775183258,2026-04-03T02:27:38Z,CSN3087,"24.937454,120.887047",6175,265,77
1775183260,2026-04-03T02:27:40Z,CSN3087,"24.937958,120.889839",6150,264,78
1775183262,2026-04-03T02:27:42Z,CSN3087,"24.938406,120.892464",6125,262,79
1775183265,2026-04-03T02:27:45Z,CSN3087,"24.938828,120.895386",6100,260,80
1775183267,2026-04-03T02:27:47Z,CSN3087,"24.939104,120.897285",6075,259,80
1775183269,2026-04-03T02:27:49Z,CSN3087,"24.939711,120.901169",6050,258,80
1775183271,2026-04-03T02:27:51Z,CSN3087,"24.939972,120.903221",6025,257,81
1775183273,2026-04-03T02:27:53Z,CSN3087,"24.940361,120.905891",6000,254,81
1775183275,2026-04-03T02:27:55Z,CSN3087,"24.94092,120.909668",5975,253,81
1775183278,2026-04-03T02:27:58Z,CSN3087,"24.941254,120.912224",5950,252,81
1775183280,2026-04-03T02:28:00Z,CSN3087,"24.941618,120.914856",5925,250,81
1775183293,2026-04-03T02:28:13Z,CSN3087,"24.943863,120.930275",5775,244,80
1775183307,2026-04-03T02:28:27Z,CSN3087,"24.946552,120.947815",5525,239,80
1775183320,2026-04-03T02:28:40Z,CSN3087,"24.949081,120.963387",5275,238,79
1775183333,2026-04-03T02:28:53Z,CSN3087,"24.951813,120.979683",4975,238,79
1775183340,2026-04-03T02:29:00Z,CSN3087,"24.95307,120.987045",4825,238,79
1775183348,2026-04-03T02:29:08Z,CSN3087,"24.954803,120.997314",4625,239,79
1775183357,2026-04-03T02:29:17Z,CSN3087,"24.956497,121.007133",4475,238,79
1775183364,2026-04-03T02:29:24Z,CSN3087,"24.958008,121.01593",4325,238,79
1775183371,2026-04-03T02:29:31Z,CSN3087,"24.959448,121.024254",4175,236,79
1775183379,2026-04-03T02:29:39Z,CSN3087,"24.961304,121.034599",4000,236,79
1775183386,2026-04-03T02:29:46Z,CSN3087,"24.962706,121.042442",3850,236,78
1775183394,2026-04-03T02:29:54Z,CSN3087,"24.964462,121.052094",3675,236,78
1775183402,2026-04-03T02:30:02Z,CSN3087,"24.966156,121.061249",3525,235,78
1775183409,2026-04-03T02:30:09Z,CSN3087,"24.967529,121.068672",3425,234,78
1775183417,2026-04-03T02:30:17Z,CSN3087,"24.969364,121.078667",3275,232,78
1775183424,2026-04-03T02:30:24Z,CSN3087,"24.970825,121.08683",3150,231,79
1775183433,2026-04-03T02:30:33Z,CSN3087,"24.972519,121.096802",2950,229,79
1775183439,2026-04-03T02:30:39Z,CSN3087,"24.973755,121.104485",2800,229,79
1775183446,2026-04-03T02:30:46Z,CSN3087,"24.975601,121.111626",2650,232,72
1775183448,2026-04-03T02:30:48Z,CSN3087,"24.976486,121.113747",2625,232,66
1775183452,2026-04-03T02:30:52Z,CSN3087,"24.978378,121.117455",2575,231,61
1775183454,2026-04-03T02:30:54Z,CSN3087,"24.980209,121.120537",2525,229,57
1775183461,2026-04-03T02:31:01Z,CSN3087,"24.984121,121.126343",2350,228,51
1775183463,2026-04-03T02:31:03Z,CSN3087,"24.98584,121.128593",2300,227,50
1775183466,2026-04-03T02:31:06Z,CSN3087,"24.986448,121.129349",2300,224,49
1775183468,2026-04-03T02:31:08Z,CSN3087,"24.989149,121.13282",2250,224,49
1775183470,2026-04-03T02:31:10Z,CSN3087,"24.990313,121.13427",2225,220,48
1775183472,2026-04-03T02:31:12Z,CSN3087,"24.991882,121.136169",2175,218,48
1775183474,2026-04-03T02:31:14Z,CSN3087,"24.993338,121.137947",2150,217,47
1775183477,2026-04-03T02:31:17Z,CSN3087,"24.995108,121.140022",2075,216,47
1775183480,2026-04-03T02:31:20Z,CSN3087,"24.996178,121.141373",2050,216,47
1775183482,2026-04-03T02:31:22Z,CSN3087,"24.998365,121.143959",1975,214,47
1775183484,2026-04-03T02:31:24Z,CSN3087,"24.999994,121.145927",1925,214,47
1775183491,2026-04-03T02:31:31Z,CSN3087,"25.004379,121.151276",1850,209,48
1775183498,2026-04-03T02:31:38Z,CSN3087,"25.009048,121.157173",1800,200,48
1775183505,2026-04-03T02:31:45Z,CSN3087,"25.011959,121.161011",1725,194,50
1775183513,2026-04-03T02:31:53Z,CSN3087,"25.016289,121.166763",1625,187,50
1775183522,2026-04-03T02:32:02Z,CSN3087,"25.022186,121.174416",1475,180,49
1775183530,2026-04-03T02:32:10Z,CSN3087,"25.026018,121.179253",1325,175,48
1775183537,2026-04-03T02:32:17Z,CSN3087,"25.029922,121.184082",1175,171,48
1775183550,2026-04-03T02:32:30Z,CSN3087,"25.036697,121.192528",950,165,49
1775183557,2026-04-03T02:32:37Z,CSN3087,"25.039658,121.196304",850,160,48
1775183574,2026-04-03T02:32:54Z,CSN3087,"25.048279,121.207329",575,149,49
1775183589,2026-04-03T02:33:09Z,CSN3087,"25.054733,121.215569",375,147,49
1775183606,2026-04-03T02:33:26Z,CSN3087,"25.061071,121.223717",200,150,49
1775183618,2026-04-03T02:33:38Z,CSN3087,"25.067642,121.232048",100,150,49
1775183628,2026-04-03T02:33:48Z,CSN3087,"25.07135,121.236824",75,116,49
