Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1775195519,2026-04-03T05:51:59Z,CRK254,"23.635778,119.888412",27150,488,32
1775195552,2026-04-03T05:52:32Z,CRK254,"23.697235,119.930977",26075,476,32
1775195584,2026-04-03T05:53:04Z,CRK254,"23.755922,119.971382",25150,458,32
1775195616,2026-04-03T05:53:36Z,CRK254,"23.812258,120.010239",24125,444,32
1775195648,2026-04-03T05:54:08Z,CRK254,"23.867367,120.048256",22925,440,32
1775195680,2026-04-03T05:54:40Z,CRK254,"23.922865,120.086533",22300,446,32
1775195712,2026-04-03T05:55:12Z,CRK254,"23.978838,120.125313",21500,437,32
1775195744,2026-04-03T05:55:44Z,CRK254,"24.034004,120.163658",20875,434,32
1775195776,2026-04-03T05:56:16Z,CRK254,"24.087597,120.200912",19925,424,32
1775195807,2026-04-03T05:56:47Z,CRK254,"24.13838,120.236145",18925,416,32
1775195838,2026-04-03T05:57:18Z,CRK254,"24.187433,120.270187",18050,404,32
1775195870,2026-04-03T05:57:50Z,CRK254,"24.237833,120.30529",17025,396,32
1775195903,2026-04-03T05:58:23Z,CRK254,"24.287588,120.340088",15900,390,32
1775195935,2026-04-03T05:58:55Z,CRK254,"24.338089,120.375053",15075,388,32
1775195968,2026-04-03T05:59:28Z,CRK254,"24.386801,120.409027",14275,385,32
1775196000,2026-04-03T06:00:00Z,CRK254,"24.435371,120.442917",13500,379,32
1775196033,2026-04-03T06:00:33Z,CRK254,"24.482752,120.475891",12925,364,32
1775196065,2026-04-03T06:01:05Z,CRK254,"24.52766,120.507202",12500,345,32
1775196097,2026-04-03T06:01:37Z,CRK254,"24.570835,120.537415",11725,340,32
1775196110,2026-04-03T06:01:50Z,CRK254,"24.587528,120.549126",11400,340,32
1775196124,2026-04-03T06:02:04Z,CRK254,"24.604843,120.562592",11025,339,32
1775196137,2026-04-03T06:02:17Z,CRK254,"24.622084,120.574745",10675,340,32
1775196151,2026-04-03T06:02:31Z,CRK254,"24.640285,120.587547",10400,336,32
1775196163,2026-04-03T06:02:43Z,CRK254,"24.656578,120.598946",10100,335,32
1775196176,2026-04-03T06:02:56Z,CRK254,"24.673828,120.611725",9750,336,36
1775196190,2026-04-03T06:03:10Z,CRK254,"24.689304,120.626045",9450,334,41
1775196192,2026-04-03T06:03:12Z,CRK254,"24.692047,120.628761",9425,332,42
1775196194,2026-04-03T06:03:14Z,CRK254,"24.694794,120.631508",9400,332,42
1775196196,2026-04-03T06:03:16Z,CRK254,"24.697037,120.633751",9375,330,42
1775196199,2026-04-03T06:03:19Z,CRK254,"24.699554,120.636192",9350,328,42
1775196212,2026-04-03T06:03:32Z,CRK254,"24.713606,120.65004",9250,320,41
1775196225,2026-04-03T06:03:45Z,CRK254,"24.728409,120.664551",9100,312,41
1775196238,2026-04-03T06:03:58Z,CRK254,"24.741676,120.677612",8875,308,41
1775196251,2026-04-03T06:04:11Z,CRK254,"24.7565,120.692139",8600,306,41
1775196264,2026-04-03T06:04:24Z,CRK254,"24.770306,120.705696",8275,307,41
1775196278,2026-04-03T06:04:38Z,CRK254,"24.785339,120.720467",8000,305,41
1775196291,2026-04-03T06:04:51Z,CRK254,"24.79847,120.733421",7875,299,41
1775196304,2026-04-03T06:05:04Z,CRK254,"24.81197,120.746635",7650,293,41
1775196317,2026-04-03T06:05:17Z,CRK254,"24.824936,120.759377",7375,293,42
1775196330,2026-04-03T06:05:30Z,CRK254,"24.83812,120.772301",7125,291,41
1775196344,2026-04-03T06:05:44Z,CRK254,"24.851807,120.785423",6800,292,40
1775196357,2026-04-03T06:05:57Z,CRK254,"24.86586,120.798592",6450,293,40
1775196370,2026-04-03T06:06:10Z,CRK254,"24.879868,120.811516",6175,293,39
1775196383,2026-04-03T06:06:23Z,CRK254,"24.892593,120.823112",5875,292,39
1775196396,2026-04-03T06:06:36Z,CRK254,"24.906464,120.835724",5725,286,39
1775196409,2026-04-03T06:06:49Z,CRK254,"24.919645,120.847488",5600,279,39
1775196424,2026-04-03T06:07:04Z,CRK254,"24.93445,120.860649",5450,270,38
1775196436,2026-04-03T06:07:16Z,CRK254,"24.94618,120.87101",5300,263,38
1775196450,2026-04-03T06:07:30Z,CRK254,"24.958469,120.882309",5100,260,42
1775196454,2026-04-03T06:07:34Z,CRK254,"24.961624,120.886177",5025,257,48
1775196456,2026-04-03T06:07:36Z,CRK254,"24.963591,120.889099",5000,254,53
1775196458,2026-04-03T06:07:38Z,CRK254,"24.964848,120.891273",4950,252,57
1775196460,2026-04-03T06:07:40Z,CRK254,"24.965919,120.893501",4925,250,60
1775196462,2026-04-03T06:07:42Z,CRK254,"24.96699,120.895988",4900,248,64
1775196464,2026-04-03T06:07:44Z,CRK254,"24.967966,120.898788",4850,244,68
1775196467,2026-04-03T06:07:47Z,CRK254,"24.968582,120.901131",4825,241,71
1775196469,2026-04-03T06:07:49Z,CRK254,"24.96899,120.903297",4800,239,75
1775196471,2026-04-03T06:07:51Z,CRK254,"24.969406,120.906624",4750,234,81
1775196473,2026-04-03T06:07:53Z,CRK254,"24.969498,120.907799",4725,232,83
1775196475,2026-04-03T06:07:55Z,CRK254,"24.969543,120.910133",4700,229,87
1775196477,2026-04-03T06:07:57Z,CRK254,"24.96936,120.913139",4650,226,91
1775196479,2026-04-03T06:07:59Z,CRK254,"24.969038,120.915375",4625,222,95
1775196481,2026-04-03T06:08:01Z,CRK254,"24.968582,120.917763",4600,219,99
