Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1775187287,2026-04-03T03:34:47Z,TTW743,"25.349602,121.400063",14875,280,229
1775187319,2026-04-03T03:35:19Z,TTW743,"25.322571,121.365715",14100,274,229
1775187350,2026-04-03T03:35:50Z,TTW743,"25.297073,121.33316",13325,268,229
1775187382,2026-04-03T03:36:22Z,TTW743,"25.271114,121.299995",12525,266,229
1775187415,2026-04-03T03:36:55Z,TTW743,"25.244843,121.266479",11725,264,229
1775187430,2026-04-03T03:37:10Z,TTW743,"25.232895,121.251236",11325,263,229
1775187443,2026-04-03T03:37:23Z,TTW743,"25.222824,121.238503",11150,256,228
1775187455,2026-04-03T03:37:35Z,TTW743,"25.213018,121.226044",11000,248,228
1775187468,2026-04-03T03:37:48Z,TTW743,"25.203735,121.214241",10875,239,228
1775187481,2026-04-03T03:38:01Z,TTW743,"25.19458,121.202644",10650,236,229
1775187496,2026-04-03T03:38:16Z,TTW743,"25.183365,121.188301",10250,236,229
1775187511,2026-04-03T03:38:31Z,TTW743,"25.173294,121.175026",9850,238,231
1775187524,2026-04-03T03:38:44Z,TTW743,"25.163727,121.161598",9475,239,232
1775187537,2026-04-03T03:38:57Z,TTW743,"25.155386,121.149506",9200,237,232
1775187552,2026-04-03T03:39:12Z,TTW743,"25.145983,121.13546",8925,235,233
1775187565,2026-04-03T03:39:25Z,TTW743,"25.137589,121.122841",8575,234,234
1775187577,2026-04-03T03:39:37Z,TTW743,"25.129457,121.110588",8275,234,234
1775187590,2026-04-03T03:39:50Z,TTW743,"25.121201,121.09787",8050,231,234
1775187603,2026-04-03T03:40:03Z,TTW743,"25.113302,121.085609",7775,230,234
1775187618,2026-04-03T03:40:18Z,TTW743,"25.104263,121.071625",7350,226,234
1775187631,2026-04-03T03:40:31Z,TTW743,"25.096451,121.059647",6925,226,234
1775187646,2026-04-03T03:40:46Z,TTW743,"25.08742,121.045395",6400,226,235
1775187653,2026-04-03T03:40:53Z,TTW743,"25.082624,121.038971",6150,226,225
1775187655,2026-04-03T03:40:55Z,TTW743,"25.081135,121.037514",6100,226,221
1775187657,2026-04-03T03:40:57Z,TTW743,"25.079132,121.035767",6050,225,216
1775187659,2026-04-03T03:40:59Z,TTW743,"25.076992,121.034302",6000,224,212
1775187661,2026-04-03T03:41:01Z,TTW743,"25.075104,121.033119",5975,222,208
1775187664,2026-04-03T03:41:04Z,TTW743,"25.073641,121.03228",5975,221,206
1775187666,2026-04-03T03:41:06Z,TTW743,"25.071442,121.031136",5925,219,205
1775187668,2026-04-03T03:41:08Z,TTW743,"25.069061,121.029915",5900,217,204
1775187670,2026-04-03T03:41:10Z,TTW743,"25.067596,121.029205",5900,216,204
1775187672,2026-04-03T03:41:12Z,TTW743,"25.065765,121.02829",5875,214,203
1775187674,2026-04-03T03:41:14Z,TTW743,"25.063353,121.027153",5850,212,203
1775187677,2026-04-03T03:41:17Z,TTW743,"25.061234,121.026154",5825,211,203
1775187679,2026-04-03T03:41:19Z,TTW743,"25.059631,121.025391",5800,209,203
1775187681,2026-04-03T03:41:21Z,TTW743,"25.05772,121.024513",5750,208,202
1775187683,2026-04-03T03:41:23Z,TTW743,"25.056044,121.023735",5725,205,202
1775187685,2026-04-03T03:41:25Z,TTW743,"25.053726,121.022697",5675,203,202
1775187687,2026-04-03T03:41:27Z,TTW743,"25.051947,121.021866",5650,202,203
1775187689,2026-04-03T03:41:29Z,TTW743,"25.050293,121.021065",5625,199,202
1775187703,2026-04-03T03:41:43Z,TTW743,"25.039331,121.015907",5475,188,203
1775187716,2026-04-03T03:41:56Z,TTW743,"25.028961,121.010948",5325,177,201
