Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1775179756,2026-04-03T01:29:16Z,APJ23,"25.418547,122.305817",21300,354,221
1775179787,2026-04-03T01:29:47Z,APJ23,"25.380095,122.268715",20250,348,221
1775179802,2026-04-03T01:30:02Z,APJ23,"25.364126,122.249435",20025,341,231
1775179804,2026-04-03T01:30:04Z,APJ23,"25.361893,122.246094",20000,338,233
1775179806,2026-04-03T01:30:06Z,APJ23,"25.360029,122.243111",20000,337,234
1775179809,2026-04-03T01:30:09Z,APJ23,"25.358168,122.240158",20000,337,235
1775179811,2026-04-03T01:30:11Z,APJ23,"25.35598,122.23658",20000,336,235
1775179813,2026-04-03T01:30:13Z,APJ23,"25.35434,122.233833",20000,336,236
1775179815,2026-04-03T01:30:15Z,APJ23,"25.352303,122.230362",20000,336,236
1775179818,2026-04-03T01:30:18Z,APJ23,"25.350441,122.227203",20000,337,236
1775179820,2026-04-03T01:30:20Z,APJ23,"25.348671,122.224144",20000,337,237
1775179822,2026-04-03T01:30:22Z,APJ23,"25.346716,122.220825",20000,337,237
1775179824,2026-04-03T01:30:24Z,APJ23,"25.344994,122.217873",20000,338,237
1775179857,2026-04-03T01:30:57Z,APJ23,"25.317062,122.170509",20000,336,236
1775179888,2026-04-03T01:31:28Z,APJ23,"25.290024,122.125549",20000,342,236
1775179920,2026-04-03T01:32:00Z,APJ23,"25.261917,122.07769",19525,343,237
1775179953,2026-04-03T01:32:33Z,APJ23,"25.234268,122.029778",19000,344,237
1775179985,2026-04-03T01:33:05Z,APJ23,"25.206873,121.980888",18475,341,238
1775180017,2026-04-03T01:33:37Z,APJ23,"25.18071,121.933731",18025,335,238
1775180050,2026-04-03T01:34:10Z,APJ23,"25.154572,121.886848",17800,329,239
1775180082,2026-04-03T01:34:42Z,APJ23,"25.131365,121.838951",16725,322,248
1775180087,2026-04-03T01:34:47Z,APJ23,"25.129225,121.832626",16600,320,249
1775180089,2026-04-03T01:34:49Z,APJ23,"25.128021,121.828972",16525,320,249
1775180091,2026-04-03T01:34:51Z,APJ23,"25.127035,121.82589",16475,320,250
1775180093,2026-04-03T01:34:53Z,APJ23,"25.126007,121.822716",16400,318,250
