Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1775176356,2026-04-03T00:32:36Z,APJ921,"24.771889,122.81601",24100,374,276
1775176387,2026-04-03T00:33:07Z,APJ921,"24.778152,122.755684",22925,366,276
1775176418,2026-04-03T00:33:38Z,APJ921,"24.783646,122.699333",21750,357,275
1775176449,2026-04-03T00:34:09Z,APJ921,"24.78916,122.643646",20525,351,276
1775176480,2026-04-03T00:34:40Z,APJ921,"24.795305,122.588867",20000,356,277
1775176511,2026-04-03T00:35:11Z,APJ921,"24.800995,122.533165",20000,358,275
1775176543,2026-04-03T00:35:43Z,APJ921,"24.806524,122.475792",20000,354,276
1775176562,2026-04-03T00:36:02Z,APJ921,"24.811981,122.441406",20000,353,285
1775176565,2026-04-03T00:36:05Z,APJ921,"24.81308,122.438049",20000,354,288
1775176567,2026-04-03T00:36:07Z,APJ921,"24.814636,122.433876",20000,354,290
1775176569,2026-04-03T00:36:09Z,APJ921,"24.816021,122.430603",20000,355,294
1775176572,2026-04-03T00:36:12Z,APJ921,"24.818573,122.425537",20000,356,296
1775176574,2026-04-03T00:36:14Z,APJ921,"24.820164,122.422569",20000,356,300
1775176576,2026-04-03T00:36:16Z,APJ921,"24.822025,122.419357",20000,356,302
1775176578,2026-04-03T00:36:18Z,APJ921,"24.823748,122.416512",20000,356,303
1775176580,2026-04-03T00:36:20Z,APJ921,"24.825935,122.41288",20000,355,303
1775176583,2026-04-03T00:36:23Z,APJ921,"24.827774,122.40992",20000,354,303
1775176585,2026-04-03T00:36:25Z,APJ921,"24.829706,122.406769",20025,354,303
1775176587,2026-04-03T00:36:27Z,APJ921,"24.832306,122.402596",20025,353,303
1775176589,2026-04-03T00:36:29Z,APJ921,"24.834036,122.399773",20000,354,304
1775176592,2026-04-03T00:36:32Z,APJ921,"24.835991,122.39666",20000,354,304
1775176594,2026-04-03T00:36:34Z,APJ921,"24.838394,122.392784",20000,354,304
1775176596,2026-04-03T00:36:36Z,APJ921,"24.840134,122.389923",20000,354,304
1775176598,2026-04-03T00:36:38Z,APJ921,"24.842089,122.386818",20000,355,304
1775176630,2026-04-03T00:37:10Z,APJ921,"24.871883,122.338203",19875,359,303
1775176661,2026-04-03T00:37:41Z,APJ921,"24.900558,122.291008",19525,358,303
1775176694,2026-04-03T00:38:14Z,APJ921,"24.929398,122.243446",19100,332,303
1775176726,2026-04-03T00:38:46Z,APJ921,"24.956841,122.198288",18750,323,303
1775176757,2026-04-03T00:39:17Z,APJ921,"24.982445,122.155998",18425,323,303
1775176789,2026-04-03T00:39:49Z,APJ921,"25.008362,122.113136",18150,325,303
1775176821,2026-04-03T00:40:21Z,APJ921,"25.035553,122.068382",17200,324,303
1775176854,2026-04-03T00:40:54Z,APJ921,"25.062096,122.024628",16275,314,303
1775176880,2026-04-03T00:41:20Z,APJ921,"25.085129,121.990967",15425,317,317
1775176882,2026-04-03T00:41:22Z,APJ921,"25.087326,121.989037",15375,317,319
1775176884,2026-04-03T00:41:24Z,APJ921,"25.08984,121.987007",15325,318,323
1775176886,2026-04-03T00:41:26Z,APJ921,"25.09296,121.984825",15225,319,324
1775176888,2026-04-03T00:41:28Z,APJ921,"25.0951,121.983376",15175,320,327
1775176891,2026-04-03T00:41:31Z,APJ921,"25.098038,121.981407",15100,320,328
1775176893,2026-04-03T00:41:33Z,APJ921,"25.100967,121.979523",15050,319,329
1775176895,2026-04-03T00:41:35Z,APJ921,"25.103666,121.977829",15000,319,329
1775176897,2026-04-03T00:41:37Z,APJ921,"25.1066,121.975967",14925,318,330
1775176899,2026-04-03T00:41:39Z,APJ921,"25.109159,121.974358",14875,318,330
1775176901,2026-04-03T00:41:41Z,APJ921,"25.111628,121.972855",14800,317,330
1775176903,2026-04-03T00:41:43Z,APJ921,"25.114563,121.971031",14750,318,330
1775176905,2026-04-03T00:41:45Z,APJ921,"25.117538,121.969246",14675,316,330
1775176908,2026-04-03T00:41:48Z,APJ921,"25.119965,121.967773",14600,316,331
1775176910,2026-04-03T00:41:50Z,APJ921,"25.12294,121.966019",14525,316,331
1775176912,2026-04-03T00:41:52Z,APJ921,"25.126152,121.964096",14450,315,331
1775176945,2026-04-03T00:42:25Z,APJ921,"25.167442,121.940208",14000,315,332
1775176977,2026-04-03T00:42:57Z,APJ921,"25.209961,121.915489",14000,320,332
1775177009,2026-04-03T00:43:29Z,APJ921,"25.251656,121.892685",14000,313,333
1775177041,2026-04-03T00:44:01Z,APJ921,"25.294485,121.869469",14000,319,333
1775177073,2026-04-03T00:44:33Z,APJ921,"25.3368,121.846619",14000,314,333
1775177106,2026-04-03T00:45:06Z,APJ921,"25.378418,121.823921",14000,308,334
1775177138,2026-04-03T00:45:38Z,APJ921,"25.418884,121.801399",14000,296,332
1775177169,2026-04-03T00:46:09Z,APJ921,"25.457291,121.779686",13975,302,333
1775177201,2026-04-03T00:46:41Z,APJ921,"25.497574,121.758324",13475,297,334
1775177233,2026-04-03T00:47:13Z,APJ921,"25.53772,121.736496",12950,300,333
1775177264,2026-04-03T00:47:44Z,APJ921,"25.576355,121.714684",12400,303,329
1775177268,2026-04-03T00:47:48Z,APJ921,"25.580658,121.710968",12325,298,323
1775177270,2026-04-03T00:47:50Z,APJ921,"25.582901,121.708733",12300,297,318
1775177273,2026-04-03T00:47:53Z,APJ921,"25.585016,121.706284",12250,295,315
1775177275,2026-04-03T00:47:55Z,APJ921,"25.587296,121.703285",12200,294,312
1775177278,2026-04-03T00:47:58Z,APJ921,"25.588835,121.700943",12175,292,307
1775177280,2026-04-03T00:48:00Z,APJ921,"25.590836,121.697578",12125,291,304
1775177282,2026-04-03T00:48:02Z,APJ921,"25.592186,121.694984",12100,291,300
1775177284,2026-04-03T00:48:04Z,APJ921,"25.593443,121.692497",12050,290,299
1775177286,2026-04-03T00:48:06Z,APJ921,"25.595078,121.688942",12025,289,298
1775177289,2026-04-03T00:48:09Z,APJ921,"25.596222,121.686401",12000,289,296
1775177291,2026-04-03T00:48:11Z,APJ921,"25.597958,121.682449",11950,287,295
1775177294,2026-04-03T00:48:14Z,APJ921,"25.598785,121.68045",11925,286,295
1775177296,2026-04-03T00:48:16Z,APJ921,"25.60038,121.676437",11850,284,293
1775177299,2026-04-03T00:48:19Z,APJ921,"25.601637,121.672188",11800,282,293
1775177302,2026-04-03T00:48:22Z,APJ921,"25.602474,121.668663",11750,280,283
1775177306,2026-04-03T00:48:26Z,APJ921,"25.603218,121.662857",11650,278,279
1775177308,2026-04-03T00:48:28Z,APJ921,"25.603317,121.659187",11600,275,274
1775177311,2026-04-03T00:48:31Z,APJ921,"25.603134,121.654564",11550,273,268
1775177313,2026-04-03T00:48:33Z,APJ921,"25.602768,121.651817",11500,272,265
1775177317,2026-04-03T00:48:37Z,APJ921,"25.601961,121.647049",11450,269,259
1775177320,2026-04-03T00:48:40Z,APJ921,"25.60117,121.643005",11400,268,258
