Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1775201250,2026-04-03T07:27:30Z,TVJ567,"25.079979,121.242889",0,0,320
1775201642,2026-04-03T07:34:02Z,TVJ567,"25.079727,121.243134",0,2,317
1775201668,2026-04-03T07:34:28Z,TVJ567,"25.079533,121.24334",0,2,320
1775201693,2026-04-03T07:34:53Z,TVJ567,"25.079319,121.243507",0,2,2
1775201713,2026-04-03T07:35:13Z,TVJ567,"25.079111,121.2435",0,2,36
1775201851,2026-04-03T07:37:31Z,TVJ567,"25.079262,121.243729",0,3,50
1775201871,2026-04-03T07:37:51Z,TVJ567,"25.079441,121.243935",0,3,50
1775201911,2026-04-03T07:38:31Z,TVJ567,"25.079599,121.244148",0,1,50
1775201978,2026-04-03T07:39:38Z,TVJ567,"25.079784,121.244377",0,4,50
1775201989,2026-04-03T07:39:49Z,TVJ567,"25.079948,121.244583",0,5,50
1775201998,2026-04-03T07:39:58Z,TVJ567,"25.080105,121.244789",0,6,50
1775202009,2026-04-03T07:40:09Z,TVJ567,"25.08032,121.245064",0,7,50
1775202015,2026-04-03T07:40:15Z,TVJ567,"25.080484,121.24527",0,9,50
1775202027,2026-04-03T07:40:27Z,TVJ567,"25.080791,121.245667",0,7,50
1775202037,2026-04-03T07:40:37Z,TVJ567,"25.081018,121.245949",0,8,50
1775202047,2026-04-03T07:40:47Z,TVJ567,"25.081238,121.246239",0,7,50
1775202056,2026-04-03T07:40:56Z,TVJ567,"25.081432,121.246475",0,7,50
1775202064,2026-04-03T07:41:04Z,TVJ567,"25.081612,121.246712",0,7,50
1775202074,2026-04-03T07:41:14Z,TVJ567,"25.081787,121.246933",0,5,50
1775202088,2026-04-03T07:41:28Z,TVJ567,"25.081947,121.247139",0,3,50
1775202124,2026-04-03T07:42:04Z,TVJ567,"25.082119,121.247345",0,1,50
1775202252,2026-04-03T07:44:12Z,TVJ567,"25.082291,121.247559",0,0,50
1775202271,2026-04-03T07:44:31Z,TVJ567,"25.082451,121.247772",0,4,50
1775202285,2026-04-03T07:44:45Z,TVJ567,"25.082649,121.248016",0,5,50
1775202294,2026-04-03T07:44:54Z,TVJ567,"25.082806,121.248222",0,5,50
1775202307,2026-04-03T07:45:07Z,TVJ567,"25.082966,121.248436",0,5,50
1775202316,2026-04-03T07:45:16Z,TVJ567,"25.083149,121.248657",0,7,50
1775202326,2026-04-03T07:45:26Z,TVJ567,"25.083347,121.248917",0,6,50
1775202339,2026-04-03T07:45:39Z,TVJ567,"25.083521,121.24913",0,5,50
1775202350,2026-04-03T07:45:50Z,TVJ567,"25.083719,121.249382",0,6,50
1775202365,2026-04-03T07:46:05Z,TVJ567,"25.083929,121.249649",0,3,50
1775202400,2026-04-03T07:46:40Z,TVJ567,"25.084126,121.249901",0,0,50
1775202537,2026-04-03T07:48:57Z,TVJ567,"25.084301,121.250107",0,4,50
1775202562,2026-04-03T07:49:22Z,TVJ567,"25.084431,121.250313",0,4,59
1775202570,2026-04-03T07:49:30Z,TVJ567,"25.084463,121.250717",0,4,101
1775202593,2026-04-03T07:49:53Z,TVJ567,"25.084278,121.250946",0,1,137
1775202642,2026-04-03T07:50:42Z,TVJ567,"25.083998,121.25119",0,4,140
1775202658,2026-04-03T07:50:58Z,TVJ567,"25.083788,121.251404",0,4,140
1775202681,2026-04-03T07:51:21Z,TVJ567,"25.08358,121.251602",0,6,140
1775202696,2026-04-03T07:51:36Z,TVJ567,"25.08329,121.251869",0,5,143
1775202711,2026-04-03T07:51:51Z,TVJ567,"25.083071,121.251732",0,4,216
1775202745,2026-04-03T07:52:25Z,TVJ567,"25.081322,121.249512",0,66,230
1775202759,2026-04-03T07:52:39Z,TVJ567,"25.077988,121.24527",300,118,229
1775202768,2026-04-03T07:52:48Z,TVJ567,"25.073685,121.239777",325,145,229
1775202782,2026-04-03T07:53:02Z,TVJ567,"25.066727,121.230621",525,172,231
1775202795,2026-04-03T07:53:15Z,TVJ567,"25.059723,121.221008",975,178,230
1775202801,2026-04-03T07:53:21Z,TVJ567,"25.057297,121.217751",1125,179,230
1775202811,2026-04-03T07:53:31Z,TVJ567,"25.051437,121.209923",1575,180,229
1775202821,2026-04-03T07:53:41Z,TVJ567,"25.046127,121.20314",2000,177,228
1775202833,2026-04-03T07:53:53Z,TVJ567,"25.039948,121.195526",2500,173,228
1775202840,2026-04-03T07:54:00Z,TVJ567,"25.035515,121.190239",2875,170,227
1775202849,2026-04-03T07:54:09Z,TVJ567,"25.031231,121.185158",3250,166,227
1775202856,2026-04-03T07:54:16Z,TVJ567,"25.027554,121.180809",3575,162,227
1775202861,2026-04-03T07:54:21Z,TVJ567,"25.025024,121.17762",3800,161,230
1775202863,2026-04-03T07:54:23Z,TVJ567,"25.024155,121.176353",3850,162,232
1775202865,2026-04-03T07:54:25Z,TVJ567,"25.023085,121.174583",3925,165,237
1775202867,2026-04-03T07:54:27Z,TVJ567,"25.022387,121.173294",3975,167,240
1775202870,2026-04-03T07:54:30Z,TVJ567,"25.021456,121.171272",4000,170,243
1775202872,2026-04-03T07:54:32Z,TVJ567,"25.020721,121.169281",4025,173,246
1775202874,2026-04-03T07:54:34Z,TVJ567,"25.020151,121.167488",4075,179,252
1775202876,2026-04-03T07:54:36Z,TVJ567,"25.019714,121.165672",4100,182,256
1775202878,2026-04-03T07:54:38Z,TVJ567,"25.019394,121.163841",4125,184,260
1775202881,2026-04-03T07:54:41Z,TVJ567,"25.019165,121.161446",4175,188,263
1775202883,2026-04-03T07:54:43Z,TVJ567,"25.019073,121.159615",4225,192,267
1775202885,2026-04-03T07:54:45Z,TVJ567,"25.019119,121.157433",4275,197,272
1775202888,2026-04-03T07:54:48Z,TVJ567,"25.019453,121.154015",4300,202,277
1775202890,2026-04-03T07:54:50Z,TVJ567,"25.019873,121.151527",4350,207,281
1775202892,2026-04-03T07:54:52Z,TVJ567,"25.020355,121.149498",4375,212,285
1775202895,2026-04-03T07:54:55Z,TVJ567,"25.020905,121.147713",4400,216,289
1775202897,2026-04-03T07:54:57Z,TVJ567,"25.02206,121.14489",4450,221,294
1775202899,2026-04-03T07:54:59Z,TVJ567,"25.023056,121.142937",4500,226,299
1775202901,2026-04-03T07:55:01Z,TVJ567,"25.024435,121.140381",4550,229,301
1775202903,2026-04-03T07:55:03Z,TVJ567,"25.025459,121.138725",4600,232,303
1775202906,2026-04-03T07:55:06Z,TVJ567,"25.026718,121.136574",4650,234,303
1775202908,2026-04-03T07:55:08Z,TVJ567,"25.027908,121.13459",4700,237,302
1775202910,2026-04-03T07:55:10Z,TVJ567,"25.02919,121.132408",4750,237,302
1775202912,2026-04-03T07:55:12Z,TVJ567,"25.030439,121.130226",4825,238,302
1775202914,2026-04-03T07:55:14Z,TVJ567,"25.031891,121.127678",4875,240,301
1775202916,2026-04-03T07:55:16Z,TVJ567,"25.032814,121.12603",4925,242,301
1775202918,2026-04-03T07:55:18Z,TVJ567,"25.034304,121.12339",5000,244,301
1775202920,2026-04-03T07:55:20Z,TVJ567,"25.035599,121.120964",5050,246,301
1775202923,2026-04-03T07:55:23Z,TVJ567,"25.03705,121.118309",5100,248,301
1775202925,2026-04-03T07:55:25Z,TVJ567,"25.038214,121.116234",5150,250,300
1775202927,2026-04-03T07:55:27Z,TVJ567,"25.039238,121.114372",5175,252,300
1775202939,2026-04-03T07:55:39Z,TVJ567,"25.047293,121.099495",5425,265,300
1775202952,2026-04-03T07:55:52Z,TVJ567,"25.055557,121.08419",5700,272,300
1775202965,2026-04-03T07:56:05Z,TVJ567,"25.064072,121.068626",5925,274,300
1775202978,2026-04-03T07:56:18Z,TVJ567,"25.072245,121.053688",6150,275,301
1775202992,2026-04-03T07:56:32Z,TVJ567,"25.081696,121.036377",6375,277,300
1775203005,2026-04-03T07:56:45Z,TVJ567,"25.09026,121.020676",6600,276,300
1775203018,2026-04-03T07:56:58Z,TVJ567,"25.098406,121.005646",6800,276,300
1775203031,2026-04-03T07:57:11Z,TVJ567,"25.106918,120.98999",7025,275,300
1775203045,2026-04-03T07:57:25Z,TVJ567,"25.11644,120.971626",7225,274,295
1775203050,2026-04-03T07:57:30Z,TVJ567,"25.11833,120.966209",7250,268,287
1775203052,2026-04-03T07:57:32Z,TVJ567,"25.119141,120.962982",7300,266,284
1775203054,2026-04-03T07:57:34Z,TVJ567,"25.119644,120.960335",7325,263,281
1775203057,2026-04-03T07:57:37Z,TVJ567,"25.120148,120.956879",7350,262,278
1775203059,2026-04-03T07:57:39Z,TVJ567,"25.120331,120.954231",7400,261,275
1775203061,2026-04-03T07:57:41Z,TVJ567,"25.120422,120.951744",7425,259,272
1775203063,2026-04-03T07:57:43Z,TVJ567,"25.120422,120.949249",7475,257,269
1775203065,2026-04-03T07:57:45Z,TVJ567,"25.120193,120.946053",7550,254,265
1775203067,2026-04-03T07:57:47Z,TVJ567,"25.120007,120.943871",7600,254,262
1775203069,2026-04-03T07:57:49Z,TVJ567,"25.119598,120.941261",7650,253,259
1775203071,2026-04-03T07:57:51Z,TVJ567,"25.118912,120.937599",7750,252,256
1775203074,2026-04-03T07:57:54Z,TVJ567,"25.11833,120.935326",7825,251,254
1775203076,2026-04-03T07:57:56Z,TVJ567,"25.117584,120.932823",7900,251,251
1775203078,2026-04-03T07:57:58Z,TVJ567,"25.116701,120.930351",7975,250,247
1775203080,2026-04-03T07:58:00Z,TVJ567,"25.115631,120.927811",8075,249,244
1775203082,2026-04-03T07:58:02Z,TVJ567,"25.114374,120.925117",8200,248,241
1775203084,2026-04-03T07:58:04Z,TVJ567,"25.113211,120.922935",8275,247,239
1775203087,2026-04-03T07:58:07Z,TVJ567,"25.111542,120.920105",8400,247,236
1775203089,2026-04-03T07:58:09Z,TVJ567,"25.110123,120.917969",8475,248,234
1775203091,2026-04-03T07:58:11Z,TVJ567,"25.108749,120.916138",8575,247,230
1775203093,2026-04-03T07:58:13Z,TVJ567,"25.107252,120.914284",8650,247,227
1775203095,2026-04-03T07:58:15Z,TVJ567,"25.105436,120.912155",8725,248,225
1775203097,2026-04-03T07:58:17Z,TVJ567,"25.104126,120.910698",8800,248,225
1775203099,2026-04-03T07:58:19Z,TVJ567,"25.102066,120.908455",8900,248,224
1775203101,2026-04-03T07:58:21Z,TVJ567,"25.100409,120.906616",8975,248,225
1775203103,2026-04-03T07:58:23Z,TVJ567,"25.098724,120.904747",9050,249,225
1775203105,2026-04-03T07:58:25Z,TVJ567,"25.097149,120.902985",9125,248,225
1775203107,2026-04-03T07:58:27Z,TVJ567,"25.095381,120.900963",9225,250,225
1775203110,2026-04-03T07:58:30Z,TVJ567,"25.093552,120.898949",9300,250,225
