Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1775180391,2026-04-03T01:39:51Z,APG124,"24.086454,120.406219",18950,407,17
1775180423,2026-04-03T01:40:23Z,APG124,"24.143509,120.426125",17975,391,17
1775180454,2026-04-03T01:40:54Z,APG124,"24.195511,120.444237",16825,386,17
1775180487,2026-04-03T01:41:27Z,APG124,"24.251621,120.463692",15575,381,17
1775180517,2026-04-03T01:41:57Z,APG124,"24.303406,120.481773",14175,386,17
1775180549,2026-04-03T01:42:29Z,APG124,"24.357971,120.500847",13175,378,17
1775180582,2026-04-03T01:43:02Z,APG124,"24.411667,120.519661",12525,362,17
1775180614,2026-04-03T01:43:34Z,APG124,"24.461472,120.537056",11875,351,17
1775180627,2026-04-03T01:43:47Z,APG124,"24.481869,120.54422",11625,348,17
1775180640,2026-04-03T01:44:00Z,APG124,"24.502121,120.551201",11375,346,17
1775180652,2026-04-03T01:44:12Z,APG124,"24.521439,120.557953",11150,345,17
1775180666,2026-04-03T01:44:26Z,APG124,"24.541443,120.564934",11050,344,17
1775180681,2026-04-03T01:44:41Z,APG124,"24.564545,120.573036",10575,349,17
1775180696,2026-04-03T01:44:56Z,APG124,"24.587585,120.581108",10225,343,17
1775180709,2026-04-03T01:45:09Z,APG124,"24.607094,120.587959",10000,337,17
1775180722,2026-04-03T01:45:22Z,APG124,"24.626083,120.595146",9775,337,22
1775180726,2026-04-03T01:45:26Z,APG124,"24.632883,120.598839",9700,339,27
1775180728,2026-04-03T01:45:28Z,APG124,"24.63563,120.600548",9650,340,30
1775180730,2026-04-03T01:45:30Z,APG124,"24.638376,120.602524",9625,341,33
1775180733,2026-04-03T01:45:33Z,APG124,"24.641682,120.605057",9575,342,37
1775180735,2026-04-03T01:45:35Z,APG124,"24.64476,120.607811",9525,343,39
1775180737,2026-04-03T01:45:37Z,APG124,"24.647095,120.6101",9500,343,42
1775180740,2026-04-03T01:45:40Z,APG124,"24.649429,120.612587",9475,344,45
1775180742,2026-04-03T01:45:42Z,APG124,"24.652222,120.615944",9425,346,48
1775180744,2026-04-03T01:45:44Z,APG124,"24.654053,120.618492",9400,346,50
1775180746,2026-04-03T01:45:46Z,APG124,"24.656487,120.622009",9350,346,53
1775180748,2026-04-03T01:45:48Z,APG124,"24.658348,120.624908",9325,346,54
1775180750,2026-04-03T01:45:50Z,APG124,"24.660349,120.627968",9300,346,55
1775180753,2026-04-03T01:45:53Z,APG124,"24.662306,120.631073",9250,346,55
1775180755,2026-04-03T01:45:55Z,APG124,"24.664167,120.634079",9225,348,55
