Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1775209860,2026-04-03T09:51:00Z,EVA212,"25.144363,121.329704",2100,155,229
1775209867,2026-04-03T09:51:07Z,EVA212,"25.141571,121.326141",2025,156,229
1775209875,2026-04-03T09:51:15Z,EVA212,"25.13765,121.321091",1900,149,229
1775209882,2026-04-03T09:51:22Z,EVA212,"25.134624,121.317307",1825,143,229
1775209891,2026-04-03T09:51:31Z,EVA212,"25.130854,121.312485",1725,146,229
1775209897,2026-04-03T09:51:37Z,EVA212,"25.127968,121.308807",1625,146,229
1775209906,2026-04-03T09:51:46Z,EVA212,"25.124056,121.30378",1525,146,229
1775209914,2026-04-03T09:51:54Z,EVA212,"25.12001,121.298676",1425,148,228
1775209922,2026-04-03T09:52:02Z,EVA212,"25.117725,121.295799",1350,150,229
1775209931,2026-04-03T09:52:11Z,EVA212,"25.112371,121.28891",1200,152,228
1775209942,2026-04-03T09:52:22Z,EVA212,"25.107252,121.282433",1075,153,229
1775209954,2026-04-03T09:52:34Z,EVA212,"25.101974,121.275688",925,155,229
1775209961,2026-04-03T09:52:41Z,EVA212,"25.09877,121.271614",825,155,229
1775209969,2026-04-03T09:52:49Z,EVA212,"25.094696,121.266426",725,156,229
1775209979,2026-04-03T09:52:59Z,EVA212,"25.089933,121.2603",575,156,228
1775209990,2026-04-03T09:53:10Z,EVA212,"25.084763,121.253761",425,158,228
1775210000,2026-04-03T09:53:20Z,EVA212,"25.079926,121.247658",275,160,229
1775210014,2026-04-03T09:53:34Z,EVA212,"25.073456,121.239471",225,137,229
