Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1775210520,2026-04-03T10:02:00Z,EVA226,"25.500961,121.423798",5975,268,20
1775210546,2026-04-03T10:02:26Z,EVA226,"25.511215,121.428169",5875,269,22
1775210558,2026-04-03T10:02:38Z,EVA226,"25.527557,121.440788",5650,268,47
1775210568,2026-04-03T10:02:48Z,EVA226,"25.534607,121.451721",5550,264,58
1775210581,2026-04-03T10:03:01Z,EVA226,"25.54987,121.481895",5225,265,61
1775210586,2026-04-03T10:03:06Z,EVA226,"25.552917,121.487938",5200,264,61
1775210603,2026-04-03T10:03:23Z,EVA226,"25.562988,121.509399",5200,259,67
1775210608,2026-04-03T10:03:28Z,EVA226,"25.564859,121.51516",5200,252,71
1775210614,2026-04-03T10:03:34Z,EVA226,"25.567141,121.523659",5225,242,74
1775210620,2026-04-03T10:03:40Z,EVA226,"25.568527,121.529594",5225,238,75
1775210625,2026-04-03T10:03:45Z,EVA226,"25.569748,121.535217",5225,234,76
1775210642,2026-04-03T10:04:02Z,EVA226,"25.573193,121.55481",5200,230,84
1775210646,2026-04-03T10:04:06Z,EVA226,"25.573059,121.560822",5200,224,93
1775210652,2026-04-03T10:04:12Z,EVA226,"25.571703,121.567451",5200,215,106
1775210657,2026-04-03T10:04:17Z,EVA226,"25.570084,121.57135",5200,208,115
1775210663,2026-04-03T10:04:23Z,EVA226,"25.56621,121.577194",5200,196,132
1775210669,2026-04-03T10:04:29Z,EVA226,"25.562805,121.580711",5225,191,138
1775210674,2026-04-03T10:04:34Z,EVA226,"25.559738,121.583504",5225,189,141
1775210680,2026-04-03T10:04:40Z,EVA226,"25.555298,121.587166",5225,186,145
1775210685,2026-04-03T10:04:45Z,EVA226,"25.551033,121.58989",5225,181,152
1775210690,2026-04-03T10:04:50Z,EVA226,"25.548157,121.591339",5200,178,155
1775210695,2026-04-03T10:04:55Z,EVA226,"25.543121,121.593475",5200,176,160
1775210701,2026-04-03T10:05:01Z,EVA226,"25.538698,121.595024",5200,174,162
1775210707,2026-04-03T10:05:07Z,EVA226,"25.534515,121.596375",5200,174,163
1775210712,2026-04-03T10:05:12Z,EVA226,"25.530226,121.597717",5200,173,164
1775210728,2026-04-03T10:05:28Z,EVA226,"25.517841,121.601395",5125,172,164
1775210745,2026-04-03T10:05:45Z,EVA226,"25.505226,121.604919",4950,173,165
1775210754,2026-04-03T10:05:54Z,EVA226,"25.498011,121.606735",4850,170,169
1775210763,2026-04-03T10:06:03Z,EVA226,"25.491257,121.607307",4775,166,179
1775210768,2026-04-03T10:06:08Z,EVA226,"25.48707,121.606941",4750,163,186
1775210774,2026-04-03T10:06:14Z,EVA226,"25.482695,121.605904",4700,160,195
1775210779,2026-04-03T10:06:19Z,EVA226,"25.47883,121.604454",4650,159,200
1775210785,2026-04-03T10:06:25Z,EVA226,"25.475573,121.602798",4600,158,206
1775210790,2026-04-03T10:06:30Z,EVA226,"25.471573,121.600494",4550,159,207
1775210795,2026-04-03T10:06:35Z,EVA226,"25.468403,121.598701",4475,159,207
1775210801,2026-04-03T10:06:41Z,EVA226,"25.464432,121.596375",4400,150,208
1775210812,2026-04-03T10:06:52Z,EVA226,"25.457474,121.592102",4325,157,209
1775210823,2026-04-03T10:07:03Z,EVA226,"25.450653,121.587776",4250,155,209
1775210839,2026-04-03T10:07:19Z,EVA226,"25.440611,121.581551",4200,157,210
1775210851,2026-04-03T10:07:31Z,EVA226,"25.432846,121.576637",4200,159,209
1775210862,2026-04-03T10:07:42Z,EVA226,"25.426413,121.572792",4200,156,207
1775210873,2026-04-03T10:07:53Z,EVA226,"25.41893,121.568298",4225,160,209
1775210883,2026-04-03T10:08:03Z,EVA226,"25.412262,121.564133",4200,158,209
1775210894,2026-04-03T10:08:14Z,EVA226,"25.405197,121.559906",4200,153,208
1775210905,2026-04-03T10:08:25Z,EVA226,"25.398239,121.555687",4200,154,209
1775210916,2026-04-03T10:08:36Z,EVA226,"25.391872,121.55175",4200,157,209
1775210927,2026-04-03T10:08:47Z,EVA226,"25.384563,121.547348",4200,157,208
1775210938,2026-04-03T10:08:58Z,EVA226,"25.377365,121.543068",4225,156,208
1775210950,2026-04-03T10:09:10Z,EVA226,"25.370041,121.538643",4225,157,208
1775210961,2026-04-03T10:09:21Z,EVA226,"25.362776,121.53418",4200,158,209
1775210972,2026-04-03T10:09:32Z,EVA226,"25.355654,121.529831",4200,157,208
1775210983,2026-04-03T10:09:43Z,EVA226,"25.348764,121.525681",4225,155,209
1775210995,2026-04-03T10:09:55Z,EVA226,"25.341248,121.520996",4200,155,209
1775211006,2026-04-03T10:10:06Z,EVA226,"25.334473,121.516922",4200,153,208
1775211017,2026-04-03T10:10:17Z,EVA226,"25.327469,121.512756",4225,152,209
1775211028,2026-04-03T10:10:28Z,EVA226,"25.320694,121.508583",4200,152,209
1775211038,2026-04-03T10:10:38Z,EVA226,"25.314594,121.504852",4200,152,209
1775211050,2026-04-03T10:10:50Z,EVA226,"25.307327,121.500397",4225,152,209
1775211058,2026-04-03T10:10:58Z,EVA226,"25.301979,121.497131",4225,153,209
1775211068,2026-04-03T10:11:08Z,EVA226,"25.296158,121.493477",4200,155,209
1775211079,2026-04-03T10:11:19Z,EVA226,"25.288759,121.489098",4225,153,207
1775211091,2026-04-03T10:11:31Z,EVA226,"25.28159,121.484848",4200,152,209
1775211102,2026-04-03T10:11:42Z,EVA226,"25.274734,121.480614",4200,150,208
1775211113,2026-04-03T10:11:53Z,EVA226,"25.268005,121.47654",4200,153,208
1775211124,2026-04-03T10:12:04Z,EVA226,"25.26091,121.472221",4225,153,208
1775211134,2026-04-03T10:12:14Z,EVA226,"25.254868,121.468407",4200,152,212
1775211137,2026-04-03T10:12:17Z,EVA226,"25.253099,121.467072",4200,151,215
1775211140,2026-04-03T10:12:20Z,EVA226,"25.251982,121.466087",4200,151,218
1775211142,2026-04-03T10:12:22Z,EVA226,"25.250725,121.464897",4200,150,223
1775211144,2026-04-03T10:12:24Z,EVA226,"25.249468,121.463547",4200,150,224
1775211147,2026-04-03T10:12:27Z,EVA226,"25.248444,121.462357",4225,150,226
1775211149,2026-04-03T10:12:29Z,EVA226,"25.247269,121.46093",4225,150,227
1775211151,2026-04-03T10:12:31Z,EVA226,"25.246307,121.459709",4225,150,229
1775211153,2026-04-03T10:12:33Z,EVA226,"25.245464,121.458572",4225,151,229
1775211155,2026-04-03T10:12:35Z,EVA226,"25.244202,121.456963",4225,151,229
