Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1775206342,2026-04-03T08:52:22Z,EVA258,"25.02532,120.987091",12950,336,49
1775206373,2026-04-03T08:52:53Z,EVA258,"25.057301,121.02726",12300,329,48
1775206405,2026-04-03T08:53:25Z,EVA258,"25.088928,121.066841",11525,332,49
1775206418,2026-04-03T08:53:38Z,EVA258,"25.102203,121.083832",11225,331,49
1775206433,2026-04-03T08:53:53Z,EVA258,"25.117771,121.101364",11000,324,42
1775206446,2026-04-03T08:54:06Z,EVA258,"25.132782,121.115417",10825,318,39
1775206448,2026-04-03T08:54:08Z,EVA258,"25.134951,121.117378",10775,315,39
1775206450,2026-04-03T08:54:10Z,EVA258,"25.136993,121.119232",10750,315,39
1775206465,2026-04-03T08:54:25Z,EVA258,"25.154114,121.134796",10375,315,39
1775206480,2026-04-03T08:54:40Z,EVA258,"25.170515,121.149765",10000,318,39
1775206492,2026-04-03T08:54:52Z,EVA258,"25.185505,121.163391",9650,318,39
1775206505,2026-04-03T08:55:05Z,EVA258,"25.19957,121.176247",9375,317,39
1775206518,2026-04-03T08:55:18Z,EVA258,"25.214043,121.189461",9275,311,39
1775206532,2026-04-03T08:55:32Z,EVA258,"25.22937,121.203613",9175,302,40
1775206545,2026-04-03T08:55:45Z,EVA258,"25.242508,121.215919",9050,295,40
1775206560,2026-04-03T08:56:00Z,EVA258,"25.257797,121.23011",8900,286,40
1775206572,2026-04-03T08:56:12Z,EVA258,"25.270975,121.242424",8775,277,40
1775206585,2026-04-03T08:56:25Z,EVA258,"25.283125,121.253822",8650,270,40
1775206598,2026-04-03T08:56:38Z,EVA258,"25.295013,121.265053",8550,259,40
1775206609,2026-04-03T08:56:49Z,EVA258,"25.303299,121.27523",8400,254,51
1775206611,2026-04-03T08:56:51Z,EVA258,"25.304913,121.27813",8325,253,56
1775206613,2026-04-03T08:56:53Z,EVA258,"25.305771,121.279808",8275,252,59
1775206615,2026-04-03T08:56:55Z,EVA258,"25.307053,121.282585",8225,252,62
