Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1775204020,2026-04-03T08:13:40Z,EVA398,"25.419159,121.455231",5350,211,115
1775204026,2026-04-03T08:13:46Z,EVA398,"25.416777,121.4608",5300,211,115
1775204031,2026-04-03T08:13:51Z,EVA398,"25.41449,121.466064",5250,211,115
1775204035,2026-04-03T08:13:55Z,EVA398,"25.412634,121.470444",5225,210,115
1775204041,2026-04-03T08:14:01Z,EVA398,"25.410307,121.475777",5175,210,115
1775204059,2026-04-03T08:14:19Z,EVA398,"25.402679,121.492714",5025,207,120
1775204064,2026-04-03T08:14:24Z,EVA398,"25.399704,121.497597",5000,203,125
1775204070,2026-04-03T08:14:30Z,EVA398,"25.396225,121.502434",4950,201,129
1775204075,2026-04-03T08:14:35Z,EVA398,"25.393021,121.506447",4900,198,131
1775204081,2026-04-03T08:14:41Z,EVA398,"25.389404,121.510757",4850,198,133
1775204087,2026-04-03T08:14:47Z,EVA398,"25.385925,121.51474",4800,197,133
1775204093,2026-04-03T08:14:53Z,EVA398,"25.382282,121.518845",4750,196,135
1775204098,2026-04-03T08:14:58Z,EVA398,"25.378325,121.522629",4700,193,140
1775204104,2026-04-03T08:15:04Z,EVA398,"25.374069,121.525322",4650,185,151
1775204110,2026-04-03T08:15:10Z,EVA398,"25.36972,121.526695",4600,175,169
1775204115,2026-04-03T08:15:15Z,EVA398,"25.36528,121.526947",4575,170,180
1775204121,2026-04-03T08:15:21Z,EVA398,"25.360428,121.526337",4525,168,187
1775204127,2026-04-03T08:15:27Z,EVA398,"25.356073,121.525475",4475,168,191
1775204132,2026-04-03T08:15:32Z,EVA398,"25.352396,121.524597",4425,167,192
1775204138,2026-04-03T08:15:38Z,EVA398,"25.347565,121.523491",4375,168,192
1775204143,2026-04-03T08:15:43Z,EVA398,"25.343903,121.522621",4325,168,191
1775204149,2026-04-03T08:15:49Z,EVA398,"25.339279,121.521606",4300,170,191
1775204159,2026-04-03T08:15:59Z,EVA398,"25.331314,121.519928",4200,169,190
1775204171,2026-04-03T08:16:11Z,EVA398,"25.322067,121.517998",4175,169,190
1775204183,2026-04-03T08:16:23Z,EVA398,"25.313278,121.516113",4200,168,190
1775204194,2026-04-03T08:16:34Z,EVA398,"25.304764,121.514381",4200,168,190
1775204206,2026-04-03T08:16:46Z,EVA398,"25.295563,121.512199",4200,168,194
1775204212,2026-04-03T08:16:52Z,EVA398,"25.291214,121.510773",4200,167,198
1775204217,2026-04-03T08:16:57Z,EVA398,"25.287222,121.508789",4200,165,206
1775204223,2026-04-03T08:17:03Z,EVA398,"25.283752,121.506142",4200,165,217
1775204228,2026-04-03T08:17:08Z,EVA398,"25.280844,121.503349",4200,166,222
1775204234,2026-04-03T08:17:14Z,EVA398,"25.277664,121.499786",4200,166,226
1775204239,2026-04-03T08:17:19Z,EVA398,"25.274734,121.496223",4200,167,227
1775204245,2026-04-03T08:17:25Z,EVA398,"25.271812,121.492569",4200,168,229
1775204248,2026-04-03T08:17:28Z,EVA398,"25.270798,121.491295",4200,167,228
1775204257,2026-04-03T08:17:37Z,EVA398,"25.266832,121.486191",4200,166,228
1775204264,2026-04-03T08:17:44Z,EVA398,"25.263199,121.481476",4200,165,229
1775204276,2026-04-03T08:17:56Z,EVA398,"25.256561,121.472931",4200,164,229
1775204285,2026-04-03T08:18:05Z,EVA398,"25.251749,121.466812",4200,163,229
1775204293,2026-04-03T08:18:13Z,EVA398,"25.248072,121.462097",4200,163,229
1775204301,2026-04-03T08:18:21Z,EVA398,"25.24379,121.456604",4200,165,229
1775204308,2026-04-03T08:18:28Z,EVA398,"25.240631,121.452484",4200,166,229
1775204316,2026-04-03T08:18:36Z,EVA398,"25.236294,121.446915",4200,166,229
1775204325,2026-04-03T08:18:45Z,EVA398,"25.232012,121.441475",4200,165,228
1775204333,2026-04-03T08:18:53Z,EVA398,"25.227539,121.435852",4200,165,228
1775204340,2026-04-03T08:19:00Z,EVA398,"25.224472,121.431885",4200,165,229
1775204348,2026-04-03T08:19:08Z,EVA398,"25.220327,121.426544",4200,165,229
