Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1775210147,2026-04-03T09:55:47Z,EVA751,"25.133226,121.315544",1775,145,229
1775210156,2026-04-03T09:55:56Z,EVA751,"25.129623,121.310936",1675,140,229
1775210162,2026-04-03T09:56:02Z,EVA751,"25.126757,121.307251",1600,137,229
1775210171,2026-04-03T09:56:11Z,EVA751,"25.123173,121.302689",1500,135,229
1775210188,2026-04-03T09:56:28Z,EVA751,"25.116049,121.293625",1300,138,229
1775210198,2026-04-03T09:56:38Z,EVA751,"25.111628,121.287971",1175,140,229
1775210209,2026-04-03T09:56:49Z,EVA751,"25.10701,121.282196",1050,143,228
1775210219,2026-04-03T09:56:59Z,EVA751,"25.102661,121.276649",925,142,229
1775210229,2026-04-03T09:57:09Z,EVA751,"25.098541,121.271309",825,144,229
1775210239,2026-04-03T09:57:19Z,EVA751,"25.094147,121.265717",700,143,229
1775210250,2026-04-03T09:57:30Z,EVA751,"25.090439,121.260986",600,146,229
1775210260,2026-04-03T09:57:40Z,EVA751,"25.084488,121.25351",425,148,228
1775210268,2026-04-03T09:57:48Z,EVA751,"25.0811,121.249184",325,148,229
