Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1775212368,2026-04-03T10:32:48Z,CPA451,"25.658295,122.132668",15150,249,229
1775212402,2026-04-03T10:33:22Z,CPA451,"25.636038,122.104126",14550,242,229
1775212427,2026-04-03T10:33:47Z,CPA451,"25.616638,122.076775",13975,235,241
1775212432,2026-04-03T10:33:52Z,CPA451,"25.614861,122.071938",13850,235,251
1775212436,2026-04-03T10:33:56Z,CPA451,"25.6136,122.065933",13700,240,263
1775212441,2026-04-03T10:34:01Z,CPA451,"25.613342,122.060699",13550,243,268
1775212445,2026-04-03T10:34:05Z,CPA451,"25.6138,122.055206",13450,249,280
1775212450,2026-04-03T10:34:10Z,CPA451,"25.614853,122.050171",13350,253,288
1775212455,2026-04-03T10:34:15Z,CPA451,"25.617882,122.041107",13250,255,289
1775212460,2026-04-03T10:34:20Z,CPA451,"25.620163,122.035461",13150,259,294
1775212472,2026-04-03T10:34:32Z,CPA451,"25.631744,122.008057",12775,257,294
1775212479,2026-04-03T10:34:39Z,CPA451,"25.635223,121.999565",12650,255,294
1775212485,2026-04-03T10:34:45Z,CPA451,"25.63797,121.99295",12575,254,294
1775212518,2026-04-03T10:35:18Z,CPA451,"25.654266,121.953583",12150,254,294
1775212550,2026-04-03T10:35:50Z,CPA451,"25.669882,121.915543",11750,248,293
1775212563,2026-04-03T10:36:03Z,CPA451,"25.674042,121.900581",11625,242,284
1775212569,2026-04-03T10:36:09Z,CPA451,"25.675827,121.892952",11550,240,283
1775212575,2026-04-03T10:36:15Z,CPA451,"25.677383,121.885834",11475,237,283
1775212592,2026-04-03T10:36:32Z,CPA451,"25.681473,121.866516",11300,234,282
1775212606,2026-04-03T10:36:46Z,CPA451,"25.682264,121.862633",11275,233,282
1775212626,2026-04-03T10:37:06Z,CPA451,"25.689468,121.826881",10975,231,282
1775212642,2026-04-03T10:37:22Z,CPA451,"25.692856,121.809692",10825,233,282
1775212657,2026-04-03T10:37:37Z,CPA451,"25.696014,121.793877",10700,236,282
1775212673,2026-04-03T10:37:53Z,CPA451,"25.70056,121.771217",10500,235,282
1775212689,2026-04-03T10:38:09Z,CPA451,"25.704254,121.753288",10350,234,282
1775212705,2026-04-03T10:38:25Z,CPA451,"25.708145,121.73452",10200,235,283
1775212720,2026-04-03T10:38:40Z,CPA451,"25.711824,121.716858",10050,231,282
1775212737,2026-04-03T10:38:57Z,CPA451,"25.715876,121.697372",9875,232,283
1775212751,2026-04-03T10:39:11Z,CPA451,"25.719505,121.680374",9725,230,283
1775212767,2026-04-03T10:39:27Z,CPA451,"25.722427,121.66407",9575,224,277
1775212787,2026-04-03T10:39:47Z,CPA451,"25.718575,121.643425",9350,214,246
1775212804,2026-04-03T10:40:04Z,CPA451,"25.7108,121.624397",9225,214,245
1775212834,2026-04-03T10:40:34Z,CPA451,"25.698837,121.594765",9225,218,246
1775212849,2026-04-03T10:40:49Z,CPA451,"25.692459,121.578804",9150,216,246
1775212865,2026-04-03T10:41:05Z,CPA451,"25.686174,121.563202",9000,216,246
1775212880,2026-04-03T10:41:20Z,CPA451,"25.679901,121.547699",8875,214,246
1775212894,2026-04-03T10:41:34Z,CPA451,"25.674212,121.533356",8725,214,246
1775212907,2026-04-03T10:41:47Z,CPA451,"25.668961,121.520027",8600,215,246
1775212921,2026-04-03T10:42:01Z,CPA451,"25.663696,121.506805",8450,214,246
