Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1775208488,2026-04-03T09:28:08Z,CPA472,"25.265482,121.295799",6800,280,29
1775208501,2026-04-03T09:28:21Z,CPA472,"25.279587,121.304527",6450,280,29
1775208514,2026-04-03T09:28:34Z,CPA472,"25.294344,121.313522",6275,273,28
1775208529,2026-04-03T09:28:49Z,CPA472,"25.309662,121.323753",6200,267,34
1775208541,2026-04-03T09:29:01Z,CPA472,"25.322159,121.333824",6200,267,36
1775208554,2026-04-03T09:29:14Z,CPA472,"25.335451,121.344978",6175,268,37
1775208567,2026-04-03T09:29:27Z,CPA472,"25.34774,121.355499",6200,258,38
1775208582,2026-04-03T09:29:42Z,CPA472,"25.360336,121.36734",6200,250,41
1775208594,2026-04-03T09:29:54Z,CPA472,"25.371994,121.378769",6200,247,41
1775208607,2026-04-03T09:30:07Z,CPA472,"25.382748,121.389496",6200,246,42
1775208622,2026-04-03T09:30:22Z,CPA472,"25.395224,121.402039",6200,250,43
1775208640,2026-04-03T09:30:40Z,CPA472,"25.408173,121.416115",6200,251,45
1775208656,2026-04-03T09:30:56Z,CPA472,"25.421804,121.433754",6150,210,45
1775208671,2026-04-03T09:31:11Z,CPA472,"25.422867,121.435699",6125,243,57
1775208692,2026-04-03T09:31:32Z,CPA472,"25.441635,121.47303",5850,246,62
1775208709,2026-04-03T09:31:49Z,CPA472,"25.450699,121.491905",5750,247,62
1775208726,2026-04-03T09:32:06Z,CPA472,"25.459351,121.510262",5625,243,65
1775208742,2026-04-03T09:32:22Z,CPA472,"25.466541,121.53035",5525,241,69
1775208760,2026-04-03T09:32:40Z,CPA472,"25.472534,121.550293",5400,238,76
1775208765,2026-04-03T09:32:45Z,CPA472,"25.47345,121.555992",5375,234,82
1775208771,2026-04-03T09:32:51Z,CPA472,"25.474176,121.563568",5325,231,85
1775208776,2026-04-03T09:32:56Z,CPA472,"25.474548,121.569626",5300,230,86
1775208782,2026-04-03T09:33:02Z,CPA472,"25.47492,121.576157",5250,230,87
1775208799,2026-04-03T09:33:19Z,CPA472,"25.475739,121.595863",5200,228,87
1775208809,2026-04-03T09:33:29Z,CPA472,"25.475433,121.606682",5200,219,99
1775208815,2026-04-03T09:33:35Z,CPA472,"25.473267,121.614479",5175,211,111
1775208821,2026-04-03T09:33:41Z,CPA472,"25.470917,121.619743",5125,206,118
1775208827,2026-04-03T09:33:47Z,CPA472,"25.468048,121.625008",5100,203,122
1775208832,2026-04-03T09:33:52Z,CPA472,"25.465439,121.629433",5050,202,123
1775208838,2026-04-03T09:33:58Z,CPA472,"25.462444,121.6343",5025,202,124
1775208841,2026-04-03T09:34:01Z,CPA472,"25.460815,121.637001",5000,201,124
1775208849,2026-04-03T09:34:09Z,CPA472,"25.456625,121.643684",4950,201,124
1775208860,2026-04-03T09:34:20Z,CPA472,"25.450424,121.652374",4900,196,132
1775208865,2026-04-03T09:34:25Z,CPA472,"25.446487,121.655579",4875,186,148
1775208871,2026-04-03T09:34:31Z,CPA472,"25.441868,121.657516",4850,176,165
1775208877,2026-04-03T09:34:37Z,CPA472,"25.437492,121.658035",4825,172,176
