Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1775210011,2026-04-03T09:53:31Z,CRK260,"25.292862,121.292114",7500,322,22
1775210026,2026-04-03T09:53:46Z,CRK260,"25.31369,121.301064",7050,323,21
1775210039,2026-04-03T09:53:59Z,CRK260,"25.331167,121.308342",6700,322,20
1775210052,2026-04-03T09:54:12Z,CRK260,"25.349463,121.315804",6375,320,20
1775210066,2026-04-03T09:54:26Z,CRK260,"25.369812,121.323952",6175,311,19
1775210080,2026-04-03T09:54:40Z,CRK260,"25.386841,121.330872",6050,304,21
1775210086,2026-04-03T09:54:46Z,CRK260,"25.395126,121.33535",5950,303,30
1775210088,2026-04-03T09:54:48Z,CRK260,"25.39801,121.337379",5925,301,33
1775210092,2026-04-03T09:54:52Z,CRK260,"25.40181,121.340584",5900,299,38
1775210094,2026-04-03T09:54:54Z,CRK260,"25.403929,121.342598",5900,298,40
1775210096,2026-04-03T09:54:56Z,CRK260,"25.406067,121.344704",5875,296,42
1775210098,2026-04-03T09:54:58Z,CRK260,"25.408264,121.346992",5875,293,43
1775210101,2026-04-03T09:55:01Z,CRK260,"25.410631,121.349541",5875,292,44
1775210103,2026-04-03T09:55:03Z,CRK260,"25.412912,121.352028",5875,289,45
1775210105,2026-04-03T09:55:05Z,CRK260,"25.414822,121.354149",5875,288,45
1775210107,2026-04-03T09:55:07Z,CRK260,"25.416544,121.356117",5875,286,45
1775210109,2026-04-03T09:55:09Z,CRK260,"25.418655,121.35849",5850,285,45
1775210111,2026-04-03T09:55:11Z,CRK260,"25.420761,121.360931",5850,284,46
1775210114,2026-04-03T09:55:14Z,CRK260,"25.422457,121.362907",5850,282,46
1775210116,2026-04-03T09:55:16Z,CRK260,"25.424599,121.365295",5850,282,46
1775210118,2026-04-03T09:55:18Z,CRK260,"25.426392,121.367393",5850,280,46
1775210133,2026-04-03T09:55:33Z,CRK260,"25.439867,121.382813",5775,269,46
1775210146,2026-04-03T09:55:46Z,CRK260,"25.450527,121.394989",5700,260,45
1775210168,2026-04-03T09:56:08Z,CRK260,"25.466766,121.41861",5625,243,68
1775210173,2026-04-03T09:56:13Z,CRK260,"25.468185,121.423439",5650,239,73
1775210180,2026-04-03T09:56:20Z,CRK260,"25.469986,121.431831",5650,237,77
1775210196,2026-04-03T09:56:36Z,CRK260,"25.473358,121.450905",5625,236,79
1775210212,2026-04-03T09:56:52Z,CRK260,"25.476654,121.470337",5575,237,79
1775210228,2026-04-03T09:57:08Z,CRK260,"25.479904,121.489662",5525,236,79
1775210245,2026-04-03T09:57:25Z,CRK260,"25.483299,121.508842",5475,236,78
1775210261,2026-04-03T09:57:41Z,CRK260,"25.486542,121.528114",5425,230,83
1775210266,2026-04-03T09:57:46Z,CRK260,"25.486542,121.534782",5400,222,94
1775210272,2026-04-03T09:57:52Z,CRK260,"25.485489,121.540474",5400,215,104
1775210278,2026-04-03T09:57:58Z,CRK260,"25.483521,121.545715",5375,208,114
1775210283,2026-04-03T09:58:03Z,CRK260,"25.480646,121.551125",5375,202,122
1775210288,2026-04-03T09:58:08Z,CRK260,"25.478041,121.555481",5375,201,124
1775210293,2026-04-03T09:58:13Z,CRK260,"25.475372,121.5597",5350,201,124
1775210299,2026-04-03T09:58:19Z,CRK260,"25.472168,121.564789",5350,201,125
1775210304,2026-04-03T09:58:24Z,CRK260,"25.469801,121.568489",5325,201,125
1775210315,2026-04-03T09:58:35Z,CRK260,"25.462677,121.577248",5250,188,142
1775210321,2026-04-03T09:58:41Z,CRK260,"25.459351,121.579384",5250,182,152
