Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1775213182,2026-04-03T10:46:22Z,TTW753,"25.726227,122.218933",15950,311,228
1775213216,2026-04-03T10:46:56Z,TTW753,"25.693716,122.177658",15275,301,229
1775213249,2026-04-03T10:47:29Z,TTW753,"25.664703,122.140656",14750,283,228
1775213288,2026-04-03T10:48:08Z,TTW753,"25.633301,122.100624",14325,261,229
1775213317,2026-04-03T10:48:37Z,TTW753,"25.619232,122.082413",14125,251,230
1775213321,2026-04-03T10:48:41Z,TTW753,"25.616455,122.07769",14050,248,239
1775213326,2026-04-03T10:48:46Z,TTW753,"25.61495,122.074326",14000,248,243
1775213331,2026-04-03T10:48:51Z,TTW753,"25.612564,122.066704",13900,246,254
1775213336,2026-04-03T10:48:56Z,TTW753,"25.612158,122.064995",13875,246,253
1775213351,2026-04-03T10:49:11Z,TTW753,"25.603317,122.028755",13275,242,254
1775213357,2026-04-03T10:49:17Z,TTW753,"25.601257,122.020668",13175,240,254
1775213391,2026-04-03T10:49:51Z,TTW753,"25.591324,121.981865",12525,234,253
1775213427,2026-04-03T10:50:27Z,TTW753,"25.579756,121.940933",11925,233,252
1775213443,2026-04-03T10:50:43Z,TTW753,"25.574682,121.923004",11650,235,252
1775213458,2026-04-03T10:50:58Z,TTW753,"25.569534,121.905312",11400,235,251
1775213477,2026-04-03T10:51:17Z,TTW753,"25.563417,121.884758",11100,231,251
1775213492,2026-04-03T10:51:32Z,TTW753,"25.55904,121.870041",10875,228,252
1775213506,2026-04-03T10:51:46Z,TTW753,"25.553362,121.850975",10625,228,251
1775213530,2026-04-03T10:52:10Z,TTW753,"25.545044,121.824135",10200,228,250
1775213547,2026-04-03T10:52:27Z,TTW753,"25.539303,121.805992",9925,225,250
1775213565,2026-04-03T10:52:45Z,TTW753,"25.533325,121.787056",9650,220,250
1775213583,2026-04-03T10:53:03Z,TTW753,"25.527571,121.768883",9375,218,250
1775213600,2026-04-03T10:53:20Z,TTW753,"25.521332,121.74942",9125,219,250
1775213617,2026-04-03T10:53:37Z,TTW753,"25.51561,121.731316",8900,221,250
1775213634,2026-04-03T10:53:54Z,TTW753,"25.5103,121.714058",8675,219,251
1775213651,2026-04-03T10:54:11Z,TTW753,"25.504715,121.695244",8425,212,251
1775213679,2026-04-03T10:54:39Z,TTW753,"25.496708,121.668503",8050,201,251
1775213695,2026-04-03T10:54:55Z,TTW753,"25.491852,121.652428",7850,195,251
