Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1775201053,2026-04-03T07:24:13Z,SJX716,"24.835199,120.912003",14625,355,39
1775201085,2026-04-03T07:24:45Z,SJX716,"24.876213,120.948898",13775,353,39
1775201117,2026-04-03T07:25:17Z,SJX716,"24.91662,120.985123",12950,351,39
1775201150,2026-04-03T07:25:50Z,SJX716,"24.957321,121.022087",12150,348,39
1775201180,2026-04-03T07:26:20Z,SJX716,"24.99506,121.056381",11400,343,39
1775201193,2026-04-03T07:26:33Z,SJX716,"25.010376,121.070168",11075,342,39
1775201208,2026-04-03T07:26:48Z,SJX716,"25.028961,121.086937",10700,338,39
1775201223,2026-04-03T07:27:03Z,SJX716,"25.046873,121.102501",10350,338,37
1775201238,2026-04-03T07:27:18Z,SJX716,"25.065495,121.118149",9975,338,37
1775201251,2026-04-03T07:27:31Z,SJX716,"25.082298,121.132355",9625,338,37
1775201266,2026-04-03T07:27:46Z,SJX716,"25.099756,121.146965",9275,336,37
1775201278,2026-04-03T07:27:58Z,SJX716,"25.115982,121.160683",8975,335,37
1775201291,2026-04-03T07:28:11Z,SJX716,"25.131458,121.173706",8650,334,37
1775201304,2026-04-03T07:28:24Z,SJX716,"25.147472,121.187027",8325,331,37
1775201318,2026-04-03T07:28:38Z,SJX716,"25.165329,121.201935",7975,329,37
1775201331,2026-04-03T07:28:51Z,SJX716,"25.181175,121.215057",7650,327,36
1775201344,2026-04-03T07:29:04Z,SJX716,"25.196817,121.227913",7325,325,36
1775201357,2026-04-03T07:29:17Z,SJX716,"25.211746,121.240082",7025,324,36
1775201370,2026-04-03T07:29:30Z,SJX716,"25.227722,121.252998",6700,322,36
1775201383,2026-04-03T07:29:43Z,SJX716,"25.243057,121.265465",6550,315,36
1775201396,2026-04-03T07:29:56Z,SJX716,"25.258638,121.278282",6375,306,36
1775201409,2026-04-03T07:30:09Z,SJX716,"25.273041,121.290077",6225,298,36
1775201422,2026-04-03T07:30:22Z,SJX716,"25.287643,121.301979",6075,291,36
1775201435,2026-04-03T07:30:35Z,SJX716,"25.301559,121.313316",5900,282,36
1775201448,2026-04-03T07:30:48Z,SJX716,"25.314968,121.324303",5750,274,36
1775201462,2026-04-03T07:31:02Z,SJX716,"25.328247,121.335243",5575,265,36
1775201475,2026-04-03T07:31:15Z,SJX716,"25.340378,121.345215",5400,262,36
1775201487,2026-04-03T07:31:27Z,SJX716,"25.352953,121.355705",5225,262,36
1775201501,2026-04-03T07:31:41Z,SJX716,"25.365692,121.366272",5050,255,37
1775201513,2026-04-03T07:31:53Z,SJX716,"25.377823,121.376595",4925,246,38
1775201520,2026-04-03T07:32:00Z,SJX716,"25.382328,121.381096",4825,243,45
1775201522,2026-04-03T07:32:02Z,SJX716,"25.384657,121.384003",4800,241,46
1775201524,2026-04-03T07:32:04Z,SJX716,"25.386005,121.385971",4775,241,52
1775201526,2026-04-03T07:32:06Z,SJX716,"25.386978,121.387535",4750,239,56
1775201528,2026-04-03T07:32:08Z,SJX716,"25.388443,121.39048",4725,238,60
1775201531,2026-04-03T07:32:11Z,SJX716,"25.389359,121.392761",4700,237,63
1775201533,2026-04-03T07:32:13Z,SJX716,"25.390289,121.395454",4675,236,67
1775201535,2026-04-03T07:32:15Z,SJX716,"25.390755,121.397217",4675,234,71
1775201539,2026-04-03T07:32:19Z,SJX716,"25.391739,121.401421",4650,233,75
1775201541,2026-04-03T07:32:21Z,SJX716,"25.392477,121.404884",4625,233,75
1775201544,2026-04-03T07:32:24Z,SJX716,"25.393158,121.40844",4600,232,77
1775201555,2026-04-03T07:32:35Z,SJX716,"25.395218,121.42054",4500,231,79
1775201561,2026-04-03T07:32:41Z,SJX716,"25.396408,121.427513",4450,231,79
1775201571,2026-04-03T07:32:51Z,SJX716,"25.398342,121.439346",4375,231,79
1775201582,2026-04-03T07:33:02Z,SJX716,"25.400299,121.452888",4300,229,82
1775201588,2026-04-03T07:33:08Z,SJX716,"25.400623,121.458626",4250,226,85
1775201593,2026-04-03T07:33:13Z,SJX716,"25.400436,121.46479",4225,219,93
