Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1775214221,2026-04-03T11:03:41Z,AMU616,"25.152832,121.340485",2300,143,229
1775214227,2026-04-03T11:03:47Z,AMU616,"25.150591,121.337624",2225,143,229
1775214234,2026-04-03T11:03:54Z,AMU616,"25.147379,121.333527",2150,141,229
1775214243,2026-04-03T11:04:03Z,AMU616,"25.143311,121.328331",2075,138,229
1775214249,2026-04-03T11:04:09Z,AMU616,"25.14061,121.324921",1975,139,228
1775214256,2026-04-03T11:04:16Z,AMU616,"25.137789,121.32135",1875,144,229
1775214265,2026-04-03T11:04:25Z,AMU616,"25.133881,121.316376",1750,145,229
1775214271,2026-04-03T11:04:31Z,AMU616,"25.131132,121.312851",1675,142,229
1775214278,2026-04-03T11:04:38Z,AMU616,"25.128386,121.309326",1600,141,229
1775214286,2026-04-03T11:04:46Z,AMU616,"25.124475,121.304298",1500,142,229
1775214293,2026-04-03T11:04:53Z,AMU616,"25.121933,121.301018",1425,141,229
1775214303,2026-04-03T11:05:03Z,AMU616,"25.11763,121.295677",1300,140,228
1775214311,2026-04-03T11:05:11Z,AMU616,"25.115025,121.292328",1225,140,229
1775214325,2026-04-03T11:05:25Z,AMU616,"25.108042,121.283516",1050,138,229
1775214335,2026-04-03T11:05:35Z,AMU616,"25.104179,121.278488",950,139,229
1775214346,2026-04-03T11:05:46Z,AMU616,"25.099686,121.272835",825,140,229
1775214357,2026-04-03T11:05:57Z,AMU616,"25.09948,121.272583",800,140,230
1775214367,2026-04-03T11:06:07Z,AMU616,"25.09543,121.267403",700,141,230
1775214377,2026-04-03T11:06:17Z,AMU616,"25.09071,121.261391",575,142,231
1775214387,2026-04-03T11:06:27Z,AMU616,"25.086582,121.256104",450,144,228
1775214399,2026-04-03T11:06:39Z,AMU616,"25.077179,121.244186",250,142,229
1775214407,2026-04-03T11:06:47Z,AMU616,"25.078529,121.245842",250,144,230
