Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1775206864,2026-04-03T09:01:04Z,THA634,"24.636154,120.59845",13475,339,17
1775206889,2026-04-03T09:01:29Z,THA634,"24.673384,120.612778",12850,344,27
1775206892,2026-04-03T09:01:32Z,THA634,"24.676941,120.614983",12800,346,30
1775206894,2026-04-03T09:01:34Z,THA634,"24.679733,120.616966",12750,348,33
1775206896,2026-04-03T09:01:36Z,THA634,"24.68181,120.618637",12700,349,36
1775206898,2026-04-03T09:01:38Z,THA634,"24.685272,120.621643",12650,350,39
1775206900,2026-04-03T09:01:40Z,THA634,"24.68828,120.624496",12600,350,41
1775206902,2026-04-03T09:01:42Z,THA634,"24.69017,120.626427",12575,349,42
1775206904,2026-04-03T09:01:44Z,THA634,"24.692688,120.628967",12525,350,43
1775206906,2026-04-03T09:01:46Z,THA634,"24.695311,120.631592",12475,349,43
1775206908,2026-04-03T09:01:48Z,THA634,"24.697731,120.634132",12425,348,43
1775206911,2026-04-03T09:01:51Z,THA634,"24.700245,120.636673",12375,349,43
1775206913,2026-04-03T09:01:53Z,THA634,"24.703224,120.639732",12325,350,43
1775206916,2026-04-03T09:01:56Z,THA634,"24.706879,120.643463",12250,349,42
1775206918,2026-04-03T09:01:58Z,THA634,"24.709648,120.646309",12200,350,42
1775206920,2026-04-03T09:02:00Z,THA634,"24.711914,120.648552",12175,348,42
1775206923,2026-04-03T09:02:03Z,THA634,"24.714157,120.650841",12125,348,42
1775206953,2026-04-03T09:02:33Z,THA634,"24.750662,120.687149",11600,344,41
1775206968,2026-04-03T09:02:48Z,THA634,"24.768494,120.704597",11350,344,41
1775206981,2026-04-03T09:03:01Z,THA634,"24.784561,120.720314",11175,339,41
1775206995,2026-04-03T09:03:15Z,THA634,"24.799868,120.735291",11050,332,41
1775207007,2026-04-03T09:03:27Z,THA634,"24.814178,120.749413",10950,326,41
1775207020,2026-04-03T09:03:40Z,THA634,"24.82869,120.763649",10850,322,41
1775207033,2026-04-03T09:03:53Z,THA634,"24.842556,120.777367",10725,320,41
1775207048,2026-04-03T09:04:08Z,THA634,"24.859497,120.793968",10550,318,41
1775207061,2026-04-03T09:04:21Z,THA634,"24.873558,120.807785",10450,316,41
1775207074,2026-04-03T09:04:34Z,THA634,"24.887604,120.821632",10325,315,41
1775207086,2026-04-03T09:04:46Z,THA634,"24.901583,120.835411",10225,313,42
1775207099,2026-04-03T09:04:59Z,THA634,"24.916031,120.849762",10125,311,42
1775207112,2026-04-03T09:05:12Z,THA634,"24.92807,120.8638",10025,312,49
1775207125,2026-04-03T09:05:25Z,THA634,"24.940361,120.879669",9925,314,49
1775207138,2026-04-03T09:05:38Z,THA634,"24.952789,120.895439",9800,316,49
1775207151,2026-04-03T09:05:51Z,THA634,"24.965361,120.911331",9700,314,49
1775207164,2026-04-03T09:06:04Z,THA634,"24.977783,120.927025",9575,309,49
1775207178,2026-04-03T09:06:18Z,THA634,"24.991383,120.94413",9475,308,48
1775207191,2026-04-03T09:06:31Z,THA634,"25.003464,120.95932",9375,306,48
1775207204,2026-04-03T09:06:44Z,THA634,"25.015636,120.974709",9275,307,49
1775207217,2026-04-03T09:06:57Z,THA634,"25.027182,120.989372",9200,309,48
1775207230,2026-04-03T09:07:10Z,THA634,"25.039398,121.004791",9200,309,49
1775207243,2026-04-03T09:07:23Z,THA634,"25.051994,121.020569",9200,313,48
1775207256,2026-04-03T09:07:36Z,THA634,"25.064392,121.036324",9200,318,49
1775207269,2026-04-03T09:07:49Z,THA634,"25.077085,121.05249",9200,322,49
1775207282,2026-04-03T09:08:02Z,THA634,"25.090073,121.069084",9200,321,49
1775207295,2026-04-03T09:08:15Z,THA634,"25.102661,121.085358",9150,321,50
1775207309,2026-04-03T09:08:29Z,THA634,"25.116211,121.103569",8900,321,50
1775207322,2026-04-03T09:08:42Z,THA634,"25.127838,121.11908",8800,316,50
1775207337,2026-04-03T09:08:57Z,THA634,"25.142025,121.138054",8550,313,50
1775207352,2026-04-03T09:09:12Z,THA634,"25.15567,121.156364",8300,311,50
1775207365,2026-04-03T09:09:25Z,THA634,"25.167816,121.172516",8050,312,50
1775207378,2026-04-03T09:09:38Z,THA634,"25.179565,121.187996",7750,313,50
1775207392,2026-04-03T09:09:52Z,THA634,"25.193094,121.205734",7625,308,49
1775207405,2026-04-03T09:10:05Z,THA634,"25.205057,121.221275",7425,307,49
1775207418,2026-04-03T09:10:18Z,THA634,"25.217194,121.236977",7175,307,49
1775207433,2026-04-03T09:10:33Z,THA634,"25.230988,121.254494",6925,307,48
1775207448,2026-04-03T09:10:48Z,THA634,"25.244888,121.27182",6600,308,48
1775207460,2026-04-03T09:11:00Z,THA634,"25.257429,121.287094",6325,309,48
1775207473,2026-04-03T09:11:13Z,THA634,"25.269253,121.301445",6175,308,47
1775207486,2026-04-03T09:11:26Z,THA634,"25.281555,121.316322",6075,299,47
1775207499,2026-04-03T09:11:39Z,THA634,"25.293367,121.330315",5975,290,46
1775207513,2026-04-03T09:11:53Z,THA634,"25.306961,121.34613",5850,280,46
1775207526,2026-04-03T09:12:06Z,THA634,"25.318085,121.359001",5775,271,46
1775207539,2026-04-03T09:12:19Z,THA634,"25.329025,121.371773",5650,268,46
1775207554,2026-04-03T09:12:34Z,THA634,"25.341751,121.386719",5425,264,46
1775207567,2026-04-03T09:12:47Z,THA634,"25.35272,121.399551",5225,262,47
1775207581,2026-04-03T09:13:01Z,THA634,"25.364033,121.412971",4975,261,47
1775207587,2026-04-03T09:13:07Z,THA634,"25.369247,121.419189",4875,262,47
1775207596,2026-04-03T09:13:16Z,THA634,"25.376404,121.427711",4750,259,47
1775207606,2026-04-03T09:13:26Z,THA634,"25.384935,121.43821",4550,258,49
1775207612,2026-04-03T09:13:32Z,THA634,"25.388351,121.443634",4450,258,56
1775207617,2026-04-03T09:13:37Z,THA634,"25.390894,121.449455",4400,255,66
1775207623,2026-04-03T09:13:43Z,THA634,"25.392616,121.457481",4350,250,81
1775207628,2026-04-03T09:13:48Z,THA634,"25.392897,121.46225",4325,247,91
1775207632,2026-04-03T09:13:52Z,THA634,"25.392477,121.467384",4275,280,81
1775207638,2026-04-03T09:13:58Z,THA634,"25.3927,121.458229",4350,250,81
1775207648,2026-04-03T09:14:08Z,THA634,"25.384516,121.485466",4200,204,128
1775207653,2026-04-03T09:14:13Z,THA634,"25.381531,121.48941",4200,200,130
1775207659,2026-04-03T09:14:19Z,THA634,"25.377823,121.493782",4200,195,135
1775207665,2026-04-03T09:14:25Z,THA634,"25.373856,121.497284",4200,188,144
1775207670,2026-04-03T09:14:30Z,THA634,"25.3699,121.499306",4200,176,158
1775207676,2026-04-03T09:14:36Z,THA634,"25.365463,121.500038",4225,165,180
1775207681,2026-04-03T09:14:41Z,THA634,"25.361435,121.500298",4200,166,180
1775207687,2026-04-03T09:14:47Z,THA634,"25.356812,121.499992",4200,164,184
1775207693,2026-04-03T09:14:53Z,THA634,"25.352488,121.499512",4200,162,186
1775207698,2026-04-03T09:14:58Z,THA634,"25.348577,121.498993",4200,162,187
1775207703,2026-04-03T09:15:03Z,THA634,"25.344681,121.498413",4200,161,187
1775207709,2026-04-03T09:15:09Z,THA634,"25.340515,121.497856",4200,161,187
1775207720,2026-04-03T09:15:20Z,THA634,"25.332367,121.496681",4200,161,187
1775207731,2026-04-03T09:15:31Z,THA634,"25.324278,121.495575",4200,161,187
1775207742,2026-04-03T09:15:42Z,THA634,"25.315805,121.494385",4200,162,186
1775207753,2026-04-03T09:15:53Z,THA634,"25.307844,121.493294",4200,163,187
1775207764,2026-04-03T09:16:04Z,THA634,"25.301056,121.49231",4200,162,187
1775207775,2026-04-03T09:16:15Z,THA634,"25.291273,121.490913",4200,162,187
1775207786,2026-04-03T09:16:26Z,THA634,"25.283823,121.489929",4200,163,186
1775207791,2026-04-03T09:16:31Z,THA634,"25.279121,121.488991",4200,160,192
1775207797,2026-04-03T09:16:37Z,THA634,"25.27565,121.487679",4200,157,201
1775207801,2026-04-03T09:16:41Z,THA634,"25.272697,121.486038",4200,154,208
1775207808,2026-04-03T09:16:48Z,THA634,"25.268784,121.483406",4200,153,214
1775207813,2026-04-03T09:16:53Z,THA634,"25.265575,121.480751",4200,154,218
1775207818,2026-04-03T09:16:58Z,THA634,"25.262833,121.478218",4225,158,220
1775207823,2026-04-03T09:17:03Z,THA634,"25.259583,121.474968",4200,164,222
1775207829,2026-04-03T09:17:09Z,THA634,"25.256823,121.471947",4175,164,225
1775207832,2026-04-03T09:17:12Z,THA634,"25.25528,121.470184",4175,161,226
