Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1775211555,2026-04-03T10:19:15Z,TGW872,"25.08099,121.240211",0,0,323
1775211585,2026-04-03T10:19:45Z,TGW872,"25.08078,121.24041",0,2,323
1775211608,2026-04-03T10:20:08Z,TGW872,"25.080574,121.240631",0,3,323
1775211632,2026-04-03T10:20:32Z,TGW872,"25.080311,121.24086",0,3,323
1775211660,2026-04-03T10:21:00Z,TGW872,"25.080065,121.241089",0,2,11
1775211691,2026-04-03T10:21:31Z,TGW872,"25.079784,121.241035",0,3,45
1775211955,2026-04-03T10:25:55Z,TGW872,"25.079979,121.241341",0,6,53
1775211965,2026-04-03T10:26:05Z,TGW872,"25.080173,121.241585",0,6,53
1775211977,2026-04-03T10:26:17Z,TGW872,"25.080355,121.241814",0,5,53
1775211986,2026-04-03T10:26:26Z,TGW872,"25.080528,121.242027",0,6,53
1775211995,2026-04-03T10:26:35Z,TGW872,"25.080723,121.242279",0,8,53
1775212003,2026-04-03T10:26:43Z,TGW872,"25.080917,121.242538",0,9,53
1775212012,2026-04-03T10:26:52Z,TGW872,"25.081171,121.242851",0,10,53
1775212018,2026-04-03T10:26:58Z,TGW872,"25.081379,121.243118",0,9,53
1775212027,2026-04-03T10:27:07Z,TGW872,"25.081558,121.243401",0,8,64
1775212032,2026-04-03T10:27:12Z,TGW872,"25.081543,121.243637",0,8,95
1775212039,2026-04-03T10:27:19Z,TGW872,"25.081415,121.243851",0,8,123
1775212047,2026-04-03T10:27:27Z,TGW872,"25.081194,121.244057",0,7,140
1775212057,2026-04-03T10:27:37Z,TGW872,"25.080961,121.244286",0,7,143
1775212067,2026-04-03T10:27:47Z,TGW872,"25.0807,121.24453",0,8,143
1775212074,2026-04-03T10:27:54Z,TGW872,"25.080507,121.244751",0,9,137
1775212081,2026-04-03T10:28:01Z,TGW872,"25.08046,121.245041",0,8,104
1775212087,2026-04-03T10:28:07Z,TGW872,"25.080542,121.24527",0,9,73
1775212094,2026-04-03T10:28:14Z,TGW872,"25.080746,121.245537",0,10,56
1775212099,2026-04-03T10:28:19Z,TGW872,"25.080925,121.24575",0,11,53
1775212105,2026-04-03T10:28:25Z,TGW872,"25.081112,121.245995",0,11,53
1775212110,2026-04-03T10:28:30Z,TGW872,"25.081276,121.246208",0,12,53
1775212115,2026-04-03T10:28:35Z,TGW872,"25.081455,121.246437",0,12,53
1775212119,2026-04-03T10:28:39Z,TGW872,"25.081625,121.246643",0,12,53
1775212127,2026-04-03T10:28:47Z,TGW872,"25.081924,121.247025",0,13,53
1775212134,2026-04-03T10:28:54Z,TGW872,"25.082207,121.247383",0,13,53
1775212142,2026-04-03T10:29:02Z,TGW872,"25.082497,121.247749",0,13,53
1775212148,2026-04-03T10:29:08Z,TGW872,"25.082766,121.248108",0,13,53
1775212159,2026-04-03T10:29:19Z,TGW872,"25.083229,121.248703",0,15,53
1775212167,2026-04-03T10:29:27Z,TGW872,"25.083071,121.248489",0,15,53
1775212177,2026-04-03T10:29:37Z,TGW872,"25.08353,121.249062",0,16,53
1775212190,2026-04-03T10:29:50Z,TGW872,"25.084442,121.250229",0,6,53
