Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1775210315,2026-04-03T09:58:35Z,VJC842,"25.139511,121.323471",1925,143,227
1775210322,2026-04-03T09:58:42Z,VJC842,"25.136673,121.319946",1850,141,228
1775210324,2026-04-03T09:58:44Z,VJC842,"25.135601,121.318604",1825,141,229
1775210328,2026-04-03T09:58:48Z,VJC842,"25.134018,121.316475",1775,141,230
1775210330,2026-04-03T09:58:50Z,VJC842,"25.133087,121.315231",1725,142,230
1775210332,2026-04-03T09:58:52Z,VJC842,"25.132204,121.314148",1700,142,229
1775210335,2026-04-03T09:58:55Z,VJC842,"25.13118,121.312813",1675,141,229
1775210337,2026-04-03T09:58:57Z,VJC842,"25.130173,121.311493",1650,140,229
1775210339,2026-04-03T09:58:59Z,VJC842,"25.129303,121.310425",1625,139,229
1775210341,2026-04-03T09:59:01Z,VJC842,"25.128479,121.309357",1600,139,229
1775210343,2026-04-03T09:59:03Z,VJC842,"25.127609,121.308289",1575,138,229
1775210350,2026-04-03T09:59:10Z,VJC842,"25.124817,121.30468",1525,139,228
1775210358,2026-04-03T09:59:18Z,VJC842,"25.121063,121.300049",1400,139,228
1775210367,2026-04-03T09:59:27Z,VJC842,"25.117767,121.295876",1325,138,228
1775210378,2026-04-03T09:59:38Z,VJC842,"25.112823,121.289467",1175,137,230
1775210388,2026-04-03T09:59:48Z,VJC842,"25.108555,121.284035",1075,137,229
1775210399,2026-04-03T09:59:59Z,VJC842,"25.104086,121.278389",950,138,228
1775210408,2026-04-03T10:00:08Z,VJC842,"25.100502,121.273827",850,139,229
1775210416,2026-04-03T10:00:16Z,VJC842,"25.097672,121.270195",775,141,229
1775210427,2026-04-03T10:00:27Z,VJC842,"25.092316,121.263428",625,139,229
1775210438,2026-04-03T10:00:38Z,VJC842,"25.087509,121.257271",475,139,229
1775210449,2026-04-03T10:00:49Z,VJC842,"25.082657,121.251122",350,143,229
1775210459,2026-04-03T10:00:59Z,VJC842,"25.078354,121.245628",250,143,229
1775210469,2026-04-03T10:01:09Z,VJC842,"25.074526,121.240814",275,118,229
1775210525,2026-04-03T10:02:05Z,VJC842,"25.067345,121.231194",275,26,243
