Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1775209934,2026-04-03T09:52:14Z,UPS61,"25.181175,121.353683",2725,144,228
1775209946,2026-04-03T09:52:26Z,UPS61,"25.176315,121.347404",2575,142,228
1775209955,2026-04-03T09:52:35Z,UPS61,"25.172331,121.342438",2350,147,229
1775209964,2026-04-03T09:52:44Z,UPS61,"25.168121,121.337029",2150,148,228
1775209971,2026-04-03T09:52:51Z,UPS61,"25.165163,121.333321",2025,147,228
1775209979,2026-04-03T09:52:59Z,UPS61,"25.161301,121.32843",1850,145,229
1775209988,2026-04-03T09:53:08Z,UPS61,"25.157389,121.323471",1725,145,228
1775209998,2026-04-03T09:53:18Z,UPS61,"25.153244,121.318443",1700,144,227
1775210004,2026-04-03T09:53:24Z,UPS61,"25.150406,121.315002",1700,143,228
1775210012,2026-04-03T09:53:32Z,UPS61,"25.146681,121.31031",1700,143,229
1775210014,2026-04-03T09:53:34Z,UPS61,"25.145599,121.308899",1700,143,230
1775210021,2026-04-03T09:53:41Z,UPS61,"25.142817,121.305229",1650,144,230
1775210025,2026-04-03T09:53:45Z,UPS61,"25.141142,121.303001",1625,146,230
1775210027,2026-04-03T09:53:47Z,UPS61,"25.140211,121.301811",1625,147,229
1775210029,2026-04-03T09:53:49Z,UPS61,"25.139139,121.300415",1575,147,229
1775210031,2026-04-03T09:53:51Z,UPS61,"25.138458,121.299492",1575,147,229
1775210033,2026-04-03T09:53:53Z,UPS61,"25.137589,121.29837",1525,146,230
1775210036,2026-04-03T09:53:56Z,UPS61,"25.136765,121.297249",1500,146,230
1775210038,2026-04-03T09:53:58Z,UPS61,"25.135649,121.295853",1450,144,230
1775210040,2026-04-03T09:54:00Z,UPS61,"25.13467,121.294556",1400,145,229
1775210043,2026-04-03T09:54:03Z,UPS61,"25.13332,121.292793",1375,145,229
1775210053,2026-04-03T09:54:13Z,UPS61,"25.128937,121.287079",1250,147,229
1775210063,2026-04-03T09:54:23Z,UPS61,"25.12619,121.283623",1175,146,229
1775210075,2026-04-03T09:54:35Z,UPS61,"25.118912,121.274261",1000,148,229
1775210086,2026-04-03T09:54:46Z,UPS61,"25.113955,121.268127",850,150,228
1775210102,2026-04-03T09:55:02Z,UPS61,"25.106739,121.258904",625,150,229
1775210111,2026-04-03T09:55:11Z,UPS61,"25.102596,121.253616",525,153,228
1775210121,2026-04-03T09:55:21Z,UPS61,"25.098633,121.248573",425,155,229
1775210134,2026-04-03T09:55:34Z,UPS61,"25.091492,121.239525",250,154,229
1775210143,2026-04-03T09:55:43Z,UPS61,"25.088676,121.235947",250,147,228
1775210158,2026-04-03T09:55:58Z,UPS61,"25.083023,121.228737",250,133,228
