Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1775198797,2026-04-03T06:46:37Z,EVA272,"24.891853,120.95253",11600,350,40
1775198810,2026-04-03T06:46:50Z,EVA272,"24.908241,120.967819",11425,347,40
1775198824,2026-04-03T06:47:04Z,EVA272,"24.92486,120.983261",11250,346,40
1775198839,2026-04-03T06:47:19Z,EVA272,"24.942856,120.999908",11050,344,40
1775198851,2026-04-03T06:47:31Z,EVA272,"24.957321,121.01339",10900,342,40
1775198864,2026-04-03T06:47:44Z,EVA272,"24.973692,121.028603",10750,341,40
1775198879,2026-04-03T06:47:59Z,EVA272,"24.99202,121.045631",10550,340,40
1775198892,2026-04-03T06:48:12Z,EVA272,"25.006792,121.059387",10400,334,40
1775198905,2026-04-03T06:48:25Z,EVA272,"25.022154,121.073692",10275,327,40
1775198920,2026-04-03T06:48:40Z,EVA272,"25.038895,121.089226",10150,321,40
1775198934,2026-04-03T06:48:54Z,EVA272,"25.055439,121.104729",9975,316,40
1775198947,2026-04-03T06:49:07Z,EVA272,"25.070381,121.118622",9775,312,40
1775198961,2026-04-03T06:49:21Z,EVA272,"25.085371,121.132401",9525,311,39
1775198974,2026-04-03T06:49:34Z,EVA272,"25.099895,121.145721",9275,310,39
1775198987,2026-04-03T06:49:47Z,EVA272,"25.113722,121.158417",9050,311,39
1775199000,2026-04-03T06:50:00Z,EVA272,"25.128666,121.172203",8900,310,40
1775199013,2026-04-03T06:50:13Z,EVA272,"25.142584,121.185158",8775,305,40
1775199026,2026-04-03T06:50:26Z,EVA272,"25.157043,121.198631",8550,303,40
1775199039,2026-04-03T06:50:39Z,EVA272,"25.170593,121.211296",8350,300,40
1775199054,2026-04-03T06:50:54Z,EVA272,"25.186203,121.225891",8100,300,40
1775199067,2026-04-03T06:51:07Z,EVA272,"25.199295,121.238304",7925,296,40
1775199080,2026-04-03T06:51:20Z,EVA272,"25.213623,121.251984",7800,288,40
1775199094,2026-04-03T06:51:34Z,EVA272,"25.227169,121.264862",7700,280,40
1775199107,2026-04-03T06:51:47Z,EVA272,"25.240128,121.27726",7600,272,41
1775199120,2026-04-03T06:52:00Z,EVA272,"25.251888,121.288651",7450,265,41
1775199135,2026-04-03T06:52:15Z,EVA272,"25.265017,121.301239",7250,260,41
1775199147,2026-04-03T06:52:27Z,EVA272,"25.276749,121.312485",7025,256,40
1775199160,2026-04-03T06:52:40Z,EVA272,"25.288055,121.323143",6775,256,40
1775199173,2026-04-03T06:52:53Z,EVA272,"25.300489,121.334564",6475,257,39
1775199186,2026-04-03T06:53:06Z,EVA272,"25.312174,121.345497",6200,258,41
1775199192,2026-04-03T06:53:12Z,EVA272,"25.317078,121.351265",6100,258,50
1775199195,2026-04-03T06:53:15Z,EVA272,"25.31883,121.353889",6050,256,54
1775199197,2026-04-03T06:53:17Z,EVA272,"25.320135,121.356224",6025,255,58
1775199199,2026-04-03T06:53:19Z,EVA272,"25.320927,121.357834",6000,252,64
1775199201,2026-04-03T06:53:21Z,EVA272,"25.322369,121.361458",5950,249,67
1775199203,2026-04-03T06:53:23Z,EVA272,"25.323299,121.364464",5925,246,71
1775199206,2026-04-03T06:53:26Z,EVA272,"25.323898,121.36673",5900,245,73
1775199208,2026-04-03T06:53:28Z,EVA272,"25.324511,121.369286",5900,242,76
1775199210,2026-04-03T06:53:30Z,EVA272,"25.325134,121.372429",5875,241,78
1775199213,2026-04-03T06:53:33Z,EVA272,"25.325768,121.376022",5850,240,78
1775199215,2026-04-03T06:53:35Z,EVA272,"25.326187,121.378578",5825,238,79
1775199217,2026-04-03T06:53:37Z,EVA272,"25.326466,121.380478",5800,237,80
1775199220,2026-04-03T06:53:40Z,EVA272,"25.326931,121.383583",5775,237,80
1775199222,2026-04-03T06:53:42Z,EVA272,"25.327351,121.38607",5750,236,80
1775199224,2026-04-03T06:53:44Z,EVA272,"25.327629,121.388092",5725,235,80
1775199226,2026-04-03T06:53:46Z,EVA272,"25.328188,121.391617",5675,235,80
1775199228,2026-04-03T06:53:48Z,EVA272,"25.328468,121.393639",5650,234,80
1775199231,2026-04-03T06:53:51Z,EVA272,"25.328979,121.397057",5575,233,80
1775199233,2026-04-03T06:53:53Z,EVA272,"25.329166,121.39872",5550,231,82
1775199235,2026-04-03T06:53:55Z,EVA272,"25.329529,121.402229",5500,231,83
1775199237,2026-04-03T06:53:57Z,EVA272,"25.32962,121.403862",5475,230,87
1775199239,2026-04-03T06:53:59Z,EVA272,"25.329666,121.407013",5425,227,90
1775199241,2026-04-03T06:54:01Z,EVA272,"25.329483,121.409302",5375,225,94
1775199243,2026-04-03T06:54:03Z,EVA272,"25.3293,121.411034",5350,222,98
1775199245,2026-04-03T06:54:05Z,EVA272,"25.328842,121.413422",5300,220,102
1775199248,2026-04-03T06:54:08Z,EVA272,"25.328142,121.416237",5250,215,108
1775199250,2026-04-03T06:54:10Z,EVA272,"25.327536,121.417839",5200,213,112
1775199252,2026-04-03T06:54:12Z,EVA272,"25.326462,121.420441",5175,210,116
1775199254,2026-04-03T06:54:14Z,EVA272,"25.325628,121.422195",5125,209,118
1775199257,2026-04-03T06:54:17Z,EVA272,"25.324278,121.424683",5075,207,121
1775199259,2026-04-03T06:54:19Z,EVA272,"25.323303,121.426392",5050,207,122
1775199261,2026-04-03T06:54:21Z,EVA272,"25.321903,121.428673",5025,205,124
1775199263,2026-04-03T06:54:23Z,EVA272,"25.321106,121.429955",5000,205,125
1775199265,2026-04-03T06:54:25Z,EVA272,"25.319733,121.432091",4975,205,125
1775199267,2026-04-03T06:54:27Z,EVA272,"25.318365,121.434113",4950,205,126
1775199270,2026-04-03T06:54:30Z,EVA272,"25.317108,121.435982",4925,205,126
1775199272,2026-04-03T06:54:32Z,EVA272,"25.315567,121.438087",4900,203,129
1775199274,2026-04-03T06:54:34Z,EVA272,"25.314409,121.439552",4875,201,132
1775199277,2026-04-03T06:54:37Z,EVA272,"25.312778,121.441368",4850,199,135
1775199279,2026-04-03T06:54:39Z,EVA272,"25.311802,121.442245",4850,196,139
1775199281,2026-04-03T06:54:41Z,EVA272,"25.310032,121.443703",4825,192,146
1775199283,2026-04-03T06:54:43Z,EVA272,"25.30806,121.444954",4800,190,151
1775199285,2026-04-03T06:54:45Z,EVA272,"25.306309,121.445877",4775,188,156
1775199288,2026-04-03T06:54:48Z,EVA272,"25.304214,121.446632",4750,184,161
1775199290,2026-04-03T06:54:50Z,EVA272,"25.302492,121.447067",4725,181,166
1775199292,2026-04-03T06:54:52Z,EVA272,"25.300827,121.447296",4725,179,171
1775199296,2026-04-03T06:54:56Z,EVA272,"25.297138,121.447487",4675,174,178
