Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1775198251,2026-04-03T06:37:31Z,EVA711,"26.057968,122.196991",20925,344,214
1775198283,2026-04-03T06:38:03Z,EVA711,"26.016882,122.165588",20050,338,214
1775198320,2026-04-03T06:38:40Z,EVA711,"25.970947,122.130394",19100,332,214
1775198350,2026-04-03T06:39:10Z,EVA711,"25.932297,122.100838",18300,325,214
1775198386,2026-04-03T06:39:46Z,EVA711,"25.88756,122.066765",17375,321,214
1775198420,2026-04-03T06:40:20Z,EVA711,"25.846407,122.035286",16525,319,214
1775198455,2026-04-03T06:40:55Z,EVA711,"25.805237,122.003883",15675,314,214
1775198489,2026-04-03T06:41:29Z,EVA711,"25.763266,121.971924",14800,309,214
1775198522,2026-04-03T06:42:02Z,EVA711,"25.723572,121.941734",13950,306,214
1775198557,2026-04-03T06:42:37Z,EVA711,"25.684158,121.911369",13050,304,215
1775198591,2026-04-03T06:43:11Z,EVA711,"25.646,121.878906",12150,297,226
1775198597,2026-04-03T06:43:17Z,EVA711,"25.64102,121.872429",12025,296,230
1775198603,2026-04-03T06:43:23Z,EVA711,"25.63678,121.866096",11900,294,235
1775198609,2026-04-03T06:43:29Z,EVA711,"25.632315,121.858177",11750,294,239
1775198614,2026-04-03T06:43:34Z,EVA711,"25.628218,121.850403",11625,292,240
1775198620,2026-04-03T06:43:40Z,EVA711,"25.6241,121.842552",11550,289,239
1775198626,2026-04-03T06:43:46Z,EVA711,"25.620209,121.835075",11475,284,240
1775198644,2026-04-03T06:44:04Z,EVA711,"25.608719,121.812645",11300,275,240
1775198662,2026-04-03T06:44:22Z,EVA711,"25.597912,121.791374",11100,266,240
1775198679,2026-04-03T06:44:39Z,EVA711,"25.587616,121.771088",10875,260,240
1775198697,2026-04-03T06:44:57Z,EVA711,"25.57729,121.750854",10475,259,240
1775198714,2026-04-03T06:45:14Z,EVA711,"25.567047,121.730896",10050,261,240
1775198730,2026-04-03T06:45:30Z,EVA711,"25.557318,121.711929",9725,258,240
1775198747,2026-04-03T06:45:47Z,EVA711,"25.547516,121.693016",9425,257,240
1775198763,2026-04-03T06:46:03Z,EVA711,"25.537903,121.674446",9250,248,240
1775198780,2026-04-03T06:46:20Z,EVA711,"25.528269,121.655807",8975,246,240
1775198797,2026-04-03T06:46:37Z,EVA711,"25.51882,121.637306",8675,242,240
1775198815,2026-04-03T06:46:55Z,EVA711,"25.509338,121.618958",8375,240,240
1775198832,2026-04-03T06:47:12Z,EVA711,"25.499771,121.600288",8025,239,240
1775198849,2026-04-03T06:47:29Z,EVA711,"25.490423,121.582428",7700,238,238
1775198866,2026-04-03T06:47:46Z,EVA711,"25.479204,121.565636",7350,237,230
1775198872,2026-04-03T06:47:52Z,EVA711,"25.475294,121.560562",7250,236,229
1775198887,2026-04-03T06:48:07Z,EVA711,"25.463928,121.545967",6925,236,229
1775198905,2026-04-03T06:48:25Z,EVA711,"25.450481,121.530762",6550,237,220
1775198911,2026-04-03T06:48:31Z,EVA711,"25.44536,121.52636",6450,237,217
1775198916,2026-04-03T06:48:36Z,EVA711,"25.440937,121.522934",6375,237,214
1775198921,2026-04-03T06:48:41Z,EVA711,"25.436005,121.519569",6300,235,210
1775198928,2026-04-03T06:48:48Z,EVA711,"25.42944,121.515785",6225,233,206
1775198933,2026-04-03T06:48:53Z,EVA711,"25.424332,121.513214",6175,232,204
1775198939,2026-04-03T06:48:59Z,EVA711,"25.418406,121.510239",6125,229,204
1775198945,2026-04-03T06:49:05Z,EVA711,"25.41362,121.507774",6075,226,205
1775198962,2026-04-03T06:49:22Z,EVA711,"25.397232,121.499428",5925,218,204
1775198979,2026-04-03T06:49:39Z,EVA711,"25.38205,121.491844",5750,209,204
1775198995,2026-04-03T06:49:55Z,EVA711,"25.368027,121.484833",5600,200,204
1775199012,2026-04-03T06:50:12Z,EVA711,"25.353512,121.477539",5475,192,204
1775199029,2026-04-03T06:50:29Z,EVA711,"25.340515,121.470947",5325,183,204
1775199046,2026-04-03T06:50:46Z,EVA711,"25.327536,121.464378",5125,177,204
1775199063,2026-04-03T06:51:03Z,EVA711,"25.314972,121.457977",4900,172,204
1775199074,2026-04-03T06:51:14Z,EVA711,"25.307007,121.454063",4775,168,204
1775199082,2026-04-03T06:51:22Z,EVA711,"25.301056,121.451057",4675,166,204
1775199090,2026-04-03T06:51:30Z,EVA711,"25.296661,121.448822",4600,165,205
1775199096,2026-04-03T06:51:36Z,EVA711,"25.291489,121.446228",4525,165,204
1775199103,2026-04-03T06:51:43Z,EVA711,"25.286774,121.44384",4450,164,204
1775199112,2026-04-03T06:51:52Z,EVA711,"25.28096,121.440834",4350,165,205
1775199120,2026-04-03T06:52:00Z,EVA711,"25.274513,121.437637",4250,167,204
1775199129,2026-04-03T06:52:09Z,EVA711,"25.268875,121.434837",4150,169,203
1775199137,2026-04-03T06:52:17Z,EVA711,"25.262375,121.431679",4050,173,204
1775199146,2026-04-03T06:52:26Z,EVA711,"25.256195,121.428528",3950,177,204
1775199153,2026-04-03T06:52:33Z,EVA711,"25.251144,121.426025",3875,178,204
1775199155,2026-04-03T06:52:35Z,EVA711,"25.249329,121.425148",3850,178,203
1775199157,2026-04-03T06:52:37Z,EVA711,"25.247818,121.424408",3825,177,204
1775199159,2026-04-03T06:52:39Z,EVA711,"25.246256,121.423592",3825,177,204
1775199161,2026-04-03T06:52:41Z,EVA711,"25.244614,121.422783",3800,177,204
1775199164,2026-04-03T06:52:44Z,EVA711,"25.242828,121.421867",3800,177,204
1775199166,2026-04-03T06:52:46Z,EVA711,"25.241272,121.421051",3775,176,205
1775199168,2026-04-03T06:52:48Z,EVA711,"25.239553,121.420174",3775,176,205
1775199170,2026-04-03T06:52:50Z,EVA711,"25.23797,121.419395",3750,176,204
1775199172,2026-04-03T06:52:52Z,EVA711,"25.236341,121.418564",3750,176,205
1775199175,2026-04-03T06:52:55Z,EVA711,"25.235184,121.417946",3725,175,205
1775199177,2026-04-03T06:52:57Z,EVA711,"25.23317,121.416779",3725,175,207
1775199179,2026-04-03T06:52:59Z,EVA711,"25.231499,121.415665",3700,174,210
1775199181,2026-04-03T06:53:01Z,EVA711,"25.230429,121.414833",3700,176,214
1775199183,2026-04-03T06:53:03Z,EVA711,"25.229033,121.413696",3700,178,219
1775199185,2026-04-03T06:53:05Z,EVA711,"25.227585,121.412254",3700,180,220
1775199187,2026-04-03T06:53:07Z,EVA711,"25.226145,121.410744",3700,183,224
1775199190,2026-04-03T06:53:10Z,EVA711,"25.224842,121.409241",3700,185,226
1775199192,2026-04-03T06:53:12Z,EVA711,"25.223585,121.407738",3700,186,227
