Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1775205551,2026-04-03T08:39:11Z,CAL101,"28.612961,126.098541",32150,403,230
1775205587,2026-04-03T08:39:47Z,CAL101,"28.572922,126.041443",31975,402,231
1775205597,2026-04-03T08:39:57Z,CAL101,"28.559286,126.021912",31975,407,231
1775205656,2026-04-03T08:40:56Z,CAL101,"28.487595,125.920555",32025,670,231
1775205690,2026-04-03T08:41:30Z,CAL101,"28.446444,125.86277",32000,423,231
1775205721,2026-04-03T08:42:01Z,CAL101,"28.408813,125.80999",32000,424,231
1775205752,2026-04-03T08:42:32Z,CAL101,"28.370144,125.755814",32000,426,231
1775205793,2026-04-03T08:43:13Z,CAL101,"28.318098,125.682892",32000,426,231
1775205825,2026-04-03T08:43:45Z,CAL101,"28.279587,125.629082",32000,427,230
1775205859,2026-04-03T08:44:19Z,CAL101,"28.237564,125.570404",32000,425,231
1775205866,2026-04-03T08:44:26Z,CAL101,"28.228043,125.557144",32000,425,231
1775205893,2026-04-03T08:44:53Z,CAL101,"28.228043,125.557144",32000,425,231
1775205949,2026-04-03T08:45:49Z,CAL101,"28.125366,125.414063",32000,422,231
1775205992,2026-04-03T08:46:32Z,CAL101,"28.07193,125.339897",32000,422,230
1775206023,2026-04-03T08:47:03Z,CAL101,"28.033804,125.28701",32000,421,230
1775206056,2026-04-03T08:47:36Z,CAL101,"27.993805,125.231621",32000,420,230
1775206087,2026-04-03T08:48:07Z,CAL101,"27.955673,125.178909",32000,421,230
1775206119,2026-04-03T08:48:39Z,CAL101,"27.915794,125.123871",32000,422,230
1775206154,2026-04-03T08:49:14Z,CAL101,"27.872086,125.063538",32000,422,230
1775206186,2026-04-03T08:49:46Z,CAL101,"27.833038,125.009804",32000,422,230
1775206217,2026-04-03T08:50:17Z,CAL101,"27.794037,124.956116",32000,422,230
1775206269,2026-04-03T08:51:09Z,CAL101,"27.732742,124.871902",32000,420,230
1775206301,2026-04-03T08:51:41Z,CAL101,"27.691772,124.815727",32000,422,230
1775206334,2026-04-03T08:52:14Z,CAL101,"27.649515,124.757835",32000,422,230
1775206364,2026-04-03T08:52:44Z,CAL101,"27.612076,124.706589",32000,424,230
1775206395,2026-04-03T08:53:15Z,CAL101,"27.573448,124.653786",32000,424,230
1775206428,2026-04-03T08:53:48Z,CAL101,"27.5327,124.598068",32000,423,230
1775206461,2026-04-03T08:54:21Z,CAL101,"27.491192,124.541382",32000,422,230
1775206493,2026-04-03T08:54:53Z,CAL101,"27.454275,124.491104",32000,423,230
1775206525,2026-04-03T08:55:25Z,CAL101,"27.418854,124.442863",32000,426,230
1775206540,2026-04-03T08:55:40Z,CAL101,"27.392258,124.406693",32000,426,230
1775206600,2026-04-03T08:56:40Z,CAL101,"27.322765,124.312363",32000,150,230
1775206640,2026-04-03T08:57:20Z,CAL101,"27.266764,124.236412",32000,425,230
1775206670,2026-04-03T08:57:50Z,CAL101,"27.229382,124.185753",32000,426,230
1775206703,2026-04-03T08:58:23Z,CAL101,"27.188736,124.130844",32000,428,230
1775206736,2026-04-03T08:58:56Z,CAL101,"27.145935,124.073112",32000,427,230
1775206768,2026-04-03T08:59:28Z,CAL101,"27.104553,124.017296",32000,428,230
1775206799,2026-04-03T08:59:59Z,CAL101,"27.065472,123.96476",32000,428,230
1775206831,2026-04-03T09:00:31Z,CAL101,"27.024673,123.910698",32000,426,229
1775206864,2026-04-03T09:01:04Z,CAL101,"26.983383,123.855873",31650,426,229
1775206896,2026-04-03T09:01:36Z,CAL101,"26.94248,123.801712",31125,422,229
1775206928,2026-04-03T09:02:08Z,CAL101,"26.903049,123.749634",30600,412,229
1775206963,2026-04-03T09:02:43Z,CAL101,"26.860062,123.692688",30050,408,229
1775206994,2026-04-03T09:03:14Z,CAL101,"26.822525,123.643143",29850,413,229
1775207028,2026-04-03T09:03:48Z,CAL101,"26.780273,123.587379",29300,405,229
1775207061,2026-04-03T09:04:21Z,CAL101,"26.740816,123.5354",28775,400,229
1775207094,2026-04-03T09:04:54Z,CAL101,"26.701433,123.483528",28225,394,229
1775207125,2026-04-03T09:05:25Z,CAL101,"26.665401,123.436203",27725,393,229
1775207156,2026-04-03T09:05:56Z,CAL101,"26.628717,123.388084",27200,385,229
1775207190,2026-04-03T09:06:30Z,CAL101,"26.589569,123.336823",26625,383,229
1775207223,2026-04-03T09:07:03Z,CAL101,"26.550976,123.286247",26075,371,229
1775207256,2026-04-03T09:07:36Z,CAL101,"26.514862,123.239029",25525,370,229
1775207288,2026-04-03T09:08:08Z,CAL101,"26.480124,123.19355",25000,366,229
1775207319,2026-04-03T09:08:39Z,CAL101,"26.445007,123.14772",24475,370,229
1775207333,2026-04-03T09:08:53Z,CAL101,"26.429008,123.13028",24225,374,219
1775207335,2026-04-03T09:08:55Z,CAL101,"26.425507,123.127251",24200,376,219
1775207337,2026-04-03T09:08:57Z,CAL101,"26.421141,123.123726",24150,377,215
1775207340,2026-04-03T09:09:00Z,CAL101,"26.418907,123.12204",24125,378,213
1775207342,2026-04-03T09:09:02Z,CAL101,"26.415939,123.119942",24100,379,211
1775207346,2026-04-03T09:09:06Z,CAL101,"26.408524,123.114967",24050,380,210
1775207348,2026-04-03T09:09:08Z,CAL101,"26.405594,123.113106",24025,379,209
1775207350,2026-04-03T09:09:10Z,CAL101,"26.402008,123.11084",24025,379,209
1775207353,2026-04-03T09:09:13Z,CAL101,"26.39859,123.108696",24025,378,209
1775207355,2026-04-03T09:09:15Z,CAL101,"26.394745,123.106316",24000,378,209
1775207357,2026-04-03T09:09:17Z,CAL101,"26.392653,123.104973",24000,378,209
1775207359,2026-04-03T09:09:19Z,CAL101,"26.387997,123.102074",24000,378,209
1775207363,2026-04-03T09:09:23Z,CAL101,"26.382797,123.098801",24000,377,209
1775207366,2026-04-03T09:09:26Z,CAL101,"26.379089,123.096466",24000,377,209
1775207417,2026-04-03T09:10:17Z,CAL101,"26.300446,123.046768",24000,378,209
1775207449,2026-04-03T09:10:49Z,CAL101,"26.251459,123.015236",24000,374,210
1775207467,2026-04-03T09:11:07Z,CAL101,"26.227251,122.995903",24000,370,220
1775207471,2026-04-03T09:11:11Z,CAL101,"26.222084,122.99073",24000,368,222
1775207473,2026-04-03T09:11:13Z,CAL101,"26.219664,122.988243",24000,368,223
1775207477,2026-04-03T09:11:17Z,CAL101,"26.214798,122.983078",24000,367,223
1775207481,2026-04-03T09:11:21Z,CAL101,"26.210819,122.978844",24000,367,224
1775207483,2026-04-03T09:11:23Z,CAL101,"26.207466,122.975197",24000,367,224
1775207488,2026-04-03T09:11:28Z,CAL101,"26.201248,122.968315",24000,367,225
1775207514,2026-04-03T09:11:54Z,CAL101,"26.171808,122.930092",24000,366,235
1775207517,2026-04-03T09:11:57Z,CAL101,"26.169853,122.926979",24000,366,235
1775207523,2026-04-03T09:12:03Z,CAL101,"26.164536,122.917473",24000,367,238
1775207526,2026-04-03T09:12:06Z,CAL101,"26.161055,122.910759",24000,366,240
1775207528,2026-04-03T09:12:08Z,CAL101,"26.1595,122.907677",24000,366,240
1775207531,2026-04-03T09:12:11Z,CAL101,"26.157749,122.904373",24000,366,239
1775207533,2026-04-03T09:12:13Z,CAL101,"26.155329,122.900093",24000,365,237
1775207535,2026-04-03T09:12:15Z,CAL101,"26.153458,122.897057",24000,367,235
1775207537,2026-04-03T09:12:17Z,CAL101,"26.150803,122.893013",24000,367,233
1775207540,2026-04-03T09:12:20Z,CAL101,"26.148743,122.890167",24000,368,230
1775207542,2026-04-03T09:12:22Z,CAL101,"26.145859,122.886383",24000,368,229
1775207544,2026-04-03T09:12:24Z,CAL101,"26.144156,122.8843",24000,369,226
1775207547,2026-04-03T09:12:27Z,CAL101,"26.140385,122.879967",24000,370,226
1775207549,2026-04-03T09:12:29Z,CAL101,"26.137686,122.87722",24000,370,223
1775207551,2026-04-03T09:12:31Z,CAL101,"26.13559,122.875053",24000,370,221
1775207553,2026-04-03T09:12:33Z,CAL101,"26.132401,122.872025",24000,371,220
1775207555,2026-04-03T09:12:35Z,CAL101,"26.12977,122.86956",24000,372,220
1775207558,2026-04-03T09:12:38Z,CAL101,"26.125946,122.866119",24000,372,219
1775207560,2026-04-03T09:12:40Z,CAL101,"26.123394,122.863808",24000,371,218
1775207563,2026-04-03T09:12:43Z,CAL101,"26.120087,122.860939",24000,371,218
1775207565,2026-04-03T09:12:45Z,CAL101,"26.115921,122.857208",24000,372,218
1775207567,2026-04-03T09:12:47Z,CAL101,"26.113338,122.854935",24000,371,218
1775207570,2026-04-03T09:12:50Z,CAL101,"26.111389,122.853218",24000,371,218
1775207572,2026-04-03T09:12:52Z,CAL101,"26.107361,122.849693",24000,371,218
1775207603,2026-04-03T09:13:23Z,CAL101,"26.065483,122.812408",23475,370,218
1775207635,2026-04-03T09:13:55Z,CAL101,"26.022188,122.773857",22600,362,218
1775207667,2026-04-03T09:14:27Z,CAL101,"25.981688,122.738892",22275,342,218
