Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1775198906,2026-04-03T06:48:26Z,CPA420,"24.776312,120.827583",13600,387,41
1775198938,2026-04-03T06:48:58Z,CPA420,"24.818893,120.86853",12900,368,41
1775198969,2026-04-03T06:49:29Z,CPA420,"24.856842,120.905052",12450,343,41
1775199001,2026-04-03T06:50:01Z,CPA420,"24.894228,120.941078",11825,330,41
1775199014,2026-04-03T06:50:14Z,CPA420,"24.909031,120.955376",11575,329,41
1775199026,2026-04-03T06:50:26Z,CPA420,"24.923355,120.969185",11325,326,41
1775199039,2026-04-03T06:50:39Z,CPA420,"24.93837,120.983681",11075,323,41
1775199053,2026-04-03T06:50:53Z,CPA420,"24.954048,120.99865",10825,320,41
1775199068,2026-04-03T06:51:08Z,CPA420,"24.970156,121.014198",10550,318,41
1775199081,2026-04-03T06:51:21Z,CPA420,"24.984446,121.027931",10325,317,41
1775199095,2026-04-03T06:51:35Z,CPA420,"25.000809,121.043602",10025,316,41
1775199160,2026-04-03T06:52:40Z,CPA420,"25.071964,121.111053",8900,312,40
1775199173,2026-04-03T06:52:53Z,CPA420,"25.086489,121.12442",8675,312,40
1775199186,2026-04-03T06:53:06Z,CPA420,"25.100315,121.137222",8450,310,40
1775199199,2026-04-03T06:53:19Z,CPA420,"25.114559,121.150597",8250,307,40
1775199214,2026-04-03T06:53:34Z,CPA420,"25.130768,121.165825",8000,304,40
1775199228,2026-04-03T06:53:48Z,CPA420,"25.146423,121.180519",7675,304,40
1775199241,2026-04-03T06:54:01Z,CPA420,"25.159561,121.192833",7425,304,40
1775199254,2026-04-03T06:54:14Z,CPA420,"25.174007,121.206253",7175,303,40
1775199267,2026-04-03T06:54:27Z,CPA420,"25.187851,121.218925",6950,302,39
1775199280,2026-04-03T06:54:40Z,CPA420,"25.202408,121.231995",6725,299,39
1775199294,2026-04-03T06:54:54Z,CPA420,"25.216881,121.244965",6500,298,39
1775199308,2026-04-03T06:55:08Z,CPA420,"25.230988,121.25766",6350,292,39
1775199320,2026-04-03T06:55:20Z,CPA420,"25.244202,121.269585",6225,282,39
1775199333,2026-04-03T06:55:33Z,CPA420,"25.256731,121.280876",6075,275,39
1775199348,2026-04-03T06:55:48Z,CPA420,"25.271301,121.293983",5900,267,39
1775199361,2026-04-03T06:56:01Z,CPA420,"25.283823,121.305336",5775,262,39
1775199374,2026-04-03T06:56:14Z,CPA420,"25.295975,121.316475",5650,261,40
1775199385,2026-04-03T06:56:25Z,CPA420,"25.305098,121.326889",5550,261,51
1775199387,2026-04-03T06:56:27Z,CPA420,"25.306503,121.32914",5550,262,54
1775199389,2026-04-03T06:56:29Z,CPA420,"25.307739,121.331429",5525,262,60
1775199392,2026-04-03T06:56:32Z,CPA420,"25.308884,121.333923",5500,262,61
1775199394,2026-04-03T06:56:34Z,CPA420,"25.310211,121.337486",5475,261,67
1775199396,2026-04-03T06:56:36Z,CPA420,"25.310965,121.339951",5475,260,70
1775199398,2026-04-03T06:56:38Z,CPA420,"25.31163,121.342415",5450,259,72
1775199400,2026-04-03T06:56:40Z,CPA420,"25.312313,121.345291",5425,258,75
1775199402,2026-04-03T06:56:42Z,CPA420,"25.312872,121.348091",5425,256,76
1775199404,2026-04-03T06:56:44Z,CPA420,"25.31337,121.350555",5400,255,77
1775199407,2026-04-03T06:56:47Z,CPA420,"25.31399,121.35379",5400,255,78
1775199409,2026-04-03T06:56:49Z,CPA420,"25.314455,121.356483",5375,254,78
1775199411,2026-04-03T06:56:51Z,CPA420,"25.314789,121.358696",5375,254,79
1775199413,2026-04-03T06:56:53Z,CPA420,"25.31534,121.361977",5350,254,79
1775199415,2026-04-03T06:56:55Z,CPA420,"25.315758,121.36467",5325,253,80
1775199418,2026-04-03T06:56:58Z,CPA420,"25.316271,121.367836",5300,254,80
1775199420,2026-04-03T06:57:00Z,CPA420,"25.316574,121.369835",5300,254,80
1775199422,2026-04-03T06:57:02Z,CPA420,"25.317169,121.373695",5275,254,80
1775199425,2026-04-03T06:57:05Z,CPA420,"25.31749,121.376091",5250,254,80
1775199437,2026-04-03T06:57:17Z,CPA420,"25.319809,121.39167",5200,246,80
1775199450,2026-04-03T06:57:30Z,CPA420,"25.32193,121.408287",5200,233,84
1775199455,2026-04-03T06:57:35Z,CPA420,"25.32193,121.413673",5200,231,90
1775199457,2026-04-03T06:57:37Z,CPA420,"25.321718,121.415558",5200,228,94
1775199459,2026-04-03T06:57:39Z,CPA420,"25.321289,121.418304",5200,226,98
1775199461,2026-04-03T06:57:41Z,CPA420,"25.32074,121.420494",5175,222,104
1775199464,2026-04-03T06:57:44Z,CPA420,"25.319809,121.423233",5175,219,108
1775199466,2026-04-03T06:57:46Z,CPA420,"25.318924,121.425301",5150,216,112
1775199468,2026-04-03T06:57:48Z,CPA420,"25.317993,121.427063",5150,212,117
1775199470,2026-04-03T06:57:50Z,CPA420,"25.31694,121.42878",5125,209,121
1775199472,2026-04-03T06:57:52Z,CPA420,"25.315613,121.430664",5125,206,126
1775199474,2026-04-03T06:57:54Z,CPA420,"25.31456,121.431831",5100,203,130
1775199476,2026-04-03T06:57:56Z,CPA420,"25.312866,121.43351",5100,198,137
1775199478,2026-04-03T06:57:58Z,CPA420,"25.31131,121.434685",5075,196,140
