Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1775210506,2026-04-03T10:01:46Z,TTW215,"25.181782,121.354408",2700,139,229
1775210517,2026-04-03T10:01:57Z,TTW215,"25.177002,121.34832",2575,136,229
1775210529,2026-04-03T10:02:09Z,TTW215,"25.172424,121.342522",2475,134,229
1775210537,2026-04-03T10:02:17Z,TTW215,"25.169025,121.338188",2375,137,228
1775210544,2026-04-03T10:02:24Z,TTW215,"25.166094,121.334457",2275,138,229
1775210553,2026-04-03T10:02:33Z,TTW215,"25.16272,121.330208",2175,137,229
1775210559,2026-04-03T10:02:39Z,TTW215,"25.160088,121.326843",2125,134,229
1775210566,2026-04-03T10:02:46Z,TTW215,"25.157015,121.322899",2050,134,229
1775210575,2026-04-03T10:02:55Z,TTW215,"25.153198,121.318085",1950,136,228
1775210583,2026-04-03T10:03:03Z,TTW215,"25.149986,121.313988",1850,136,229
1775210590,2026-04-03T10:03:10Z,TTW215,"25.147285,121.310516",1775,134,229
1775210599,2026-04-03T10:03:19Z,TTW215,"25.143448,121.305641",1675,134,229
1775210606,2026-04-03T10:03:26Z,TTW215,"25.140535,121.302017",1600,135,228
1775210613,2026-04-03T10:03:33Z,TTW215,"25.137556,121.298233",1500,136,229
1775210617,2026-04-03T10:03:37Z,TTW215,"25.135941,121.296082",1450,136,230
1775210619,2026-04-03T10:03:39Z,TTW215,"25.134979,121.294807",1425,136,229
1775210622,2026-04-03T10:03:42Z,TTW215,"25.133972,121.293571",1400,136,229
1775210624,2026-04-03T10:03:44Z,TTW215,"25.13332,121.292686",1375,136,229
1775210626,2026-04-03T10:03:46Z,TTW215,"25.132645,121.291862",1350,135,228
1775210634,2026-04-03T10:03:54Z,TTW215,"25.129166,121.287483",1250,135,228
1775210639,2026-04-03T10:03:59Z,TTW215,"25.12685,121.284554",1200,135,229
1775210649,2026-04-03T10:04:09Z,TTW215,"25.12294,121.279549",1075,133,228
1775210659,2026-04-03T10:04:19Z,TTW215,"25.118912,121.274414",975,134,229
1775210669,2026-04-03T10:04:29Z,TTW215,"25.114792,121.269226",850,133,228
1775210680,2026-04-03T10:04:40Z,TTW215,"25.110323,121.263512",750,134,230
1775210689,2026-04-03T10:04:49Z,TTW215,"25.106506,121.258598",625,134,229
1775210696,2026-04-03T10:04:56Z,TTW215,"25.10832,121.260872",675,134,230
1775210706,2026-04-03T10:05:06Z,TTW215,"25.104784,121.256416",600,135,230
1775210733,2026-04-03T10:05:33Z,TTW215,"25.094696,121.243645",300,135,229
