Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1775198257,2026-04-03T06:37:37Z,SJX821,"27.037773,123.632797",35525,434,236
1775198288,2026-04-03T06:38:08Z,SJX821,"27.002609,123.573441",33625,446,236
1775198320,2026-04-03T06:38:40Z,SJX821,"26.96422,123.512527",32850,432,229
1775198325,2026-04-03T06:38:45Z,SJX821,"26.958122,123.505081",32650,434,226
1775198327,2026-04-03T06:38:47Z,SJX821,"26.955139,123.501717",32550,434,224
1775198331,2026-04-03T06:38:51Z,SJX821,"26.948593,123.494881",32350,436,221
1775198333,2026-04-03T06:38:53Z,SJX821,"26.945925,123.492241",32275,437,220
1775198337,2026-04-03T06:38:57Z,SJX821,"26.941036,123.487808",32125,438,218
1775198339,2026-04-03T06:38:59Z,SJX821,"26.937103,123.484413",32025,439,217
1775198341,2026-04-03T06:39:01Z,SJX821,"26.932663,123.480782",31900,440,216
1775198343,2026-04-03T06:39:03Z,SJX821,"26.930832,123.479332",31850,440,215
1775198346,2026-04-03T06:39:06Z,SJX821,"26.924927,123.47467",31700,440,215
1775198348,2026-04-03T06:39:08Z,SJX821,"26.920303,123.471092",31550,441,214
1775198351,2026-04-03T06:39:11Z,SJX821,"26.916962,123.468498",31475,440,214
1775198353,2026-04-03T06:39:13Z,SJX821,"26.913345,123.465752",31400,439,214
1775198356,2026-04-03T06:39:16Z,SJX821,"26.908585,123.462021",31300,438,214
1775198388,2026-04-03T06:39:48Z,SJX821,"26.857149,123.420624",30450,423,216
1775198421,2026-04-03T06:40:21Z,SJX821,"26.805588,123.37854",29850,403,215
1775198453,2026-04-03T06:40:53Z,SJX821,"26.757109,123.339439",29075,401,215
1775198485,2026-04-03T06:41:25Z,SJX821,"26.708323,123.300354",28525,398,215
1775198538,2026-04-03T06:42:18Z,SJX821,"26.629881,123.237602",28000,390,215
1775198568,2026-04-03T06:42:48Z,SJX821,"26.588032,123.199364",28000,388,226
1775198571,2026-04-03T06:42:51Z,SJX821,"26.584354,123.194923",28000,388,226
1775198574,2026-04-03T06:42:54Z,SJX821,"26.581833,123.191925",28000,388,227
1775198577,2026-04-03T06:42:57Z,SJX821,"26.578348,123.187744",28000,389,227
1775198579,2026-04-03T06:42:59Z,SJX821,"26.574949,123.183571",28000,389,227
1775198611,2026-04-03T06:43:31Z,SJX821,"26.53566,123.136879",28000,391,226
1775198644,2026-04-03T06:44:04Z,SJX821,"26.495392,123.09024",28000,391,226
1775198676,2026-04-03T06:44:36Z,SJX821,"26.454117,123.042419",28000,389,226
1775198708,2026-04-03T06:45:08Z,SJX821,"26.414625,122.996536",27900,389,226
1775198740,2026-04-03T06:45:40Z,SJX821,"26.374557,122.949966",27375,384,226
1775198771,2026-04-03T06:46:11Z,SJX821,"26.3367,122.906021",26850,382,226
1775198803,2026-04-03T06:46:43Z,SJX821,"26.297882,122.861038",26325,379,226
1775198833,2026-04-03T06:47:13Z,SJX821,"26.261002,122.818489",25825,377,226
1775198864,2026-04-03T06:47:44Z,SJX821,"26.223713,122.775383",25325,367,226
1775198895,2026-04-03T06:48:15Z,SJX821,"26.187681,122.733711",24800,364,226
1775198929,2026-04-03T06:48:49Z,SJX821,"26.148331,122.688263",24250,363,226
1775198960,2026-04-03T06:49:20Z,SJX821,"26.111755,122.646141",23725,360,226
1775198991,2026-04-03T06:49:51Z,SJX821,"26.077028,122.606102",23225,358,226
1775199024,2026-04-03T06:50:24Z,SJX821,"26.038715,122.561943",22675,360,226
1775199057,2026-04-03T06:50:57Z,SJX821,"26.000961,122.518738",22125,353,225
1775199088,2026-04-03T06:51:28Z,SJX821,"25.964651,122.476906",21600,350,226
1775199119,2026-04-03T06:51:59Z,SJX821,"25.930387,122.437714",21100,345,226
1775199150,2026-04-03T06:52:30Z,SJX821,"25.896332,122.398628",20575,344,226
1775199182,2026-04-03T06:53:02Z,SJX821,"25.86145,122.358467",20050,344,226
1775199213,2026-04-03T06:53:33Z,SJX821,"25.82666,122.318878",19525,339,225
1775199244,2026-04-03T06:54:04Z,SJX821,"25.792511,122.280022",18900,331,225
1775199282,2026-04-03T06:54:42Z,SJX821,"25.763849,122.247108",18125,328,227
1775199317,2026-04-03T06:55:17Z,SJX821,"25.727739,122.205811",16950,329,226
1775199354,2026-04-03T06:55:54Z,SJX821,"25.677563,122.148636",15625,320,225
1775199383,2026-04-03T06:56:23Z,SJX821,"25.660851,122.12957",15150,316,227
1775199417,2026-04-03T06:56:57Z,SJX821,"25.615082,122.073975",13950,304,239
1775199422,2026-04-03T06:57:02Z,SJX821,"25.612061,122.066139",13850,302,249
1775199429,2026-04-03T06:57:09Z,SJX821,"25.609409,122.055771",13750,303,255
1775199435,2026-04-03T06:57:15Z,SJX821,"25.607502,122.047173",13625,302,256
1775199440,2026-04-03T06:57:20Z,SJX821,"25.605927,122.040047",13550,301,256
1775199474,2026-04-03T06:57:54Z,SJX821,"25.591673,121.989906",12825,298,243
1775199480,2026-04-03T06:58:00Z,SJX821,"25.587936,121.982628",12625,298,238
1775199485,2026-04-03T06:58:05Z,SJX821,"25.583954,121.975914",12475,298,235
1775199491,2026-04-03T06:58:11Z,SJX821,"25.579384,121.968819",12325,297,234
1775199497,2026-04-03T06:58:17Z,SJX821,"25.57431,121.961197",12175,296,233
1775199531,2026-04-03T06:58:51Z,SJX821,"25.546783,121.919807",11600,293,233
1775199547,2026-04-03T06:59:07Z,SJX821,"25.53367,121.900101",11300,294,233
1775199564,2026-04-03T06:59:24Z,SJX821,"25.52092,121.879173",10950,296,239
1775199581,2026-04-03T06:59:41Z,SJX821,"25.508652,121.85659",10625,296,237
1775199597,2026-04-03T06:59:57Z,SJX821,"25.496614,121.837029",10375,292,235
1775199614,2026-04-03T07:00:14Z,SJX821,"25.483021,121.81604",10000,290,234
1775199631,2026-04-03T07:00:31Z,SJX821,"25.469879,121.795555",9550,288,234
1775199648,2026-04-03T07:00:48Z,SJX821,"25.457138,121.775154",9125,287,235
1775199665,2026-04-03T07:01:05Z,SJX821,"25.444473,121.754608",8675,286,235
1775199681,2026-04-03T07:01:21Z,SJX821,"25.432371,121.73494",8275,285,235
1775199698,2026-04-03T07:01:38Z,SJX821,"25.422226,121.718292",7925,200,236
1775199718,2026-04-03T07:01:58Z,SJX821,"25.406342,121.692047",7375,284,236
1775199737,2026-04-03T07:02:17Z,SJX821,"25.391314,121.667419",7075,275,236
1775199765,2026-04-03T07:02:45Z,SJX821,"25.371872,121.635689",6700,261,235
1775199782,2026-04-03T07:03:02Z,SJX821,"25.360703,121.617638",6500,252,235
1775199799,2026-04-03T07:03:19Z,SJX821,"25.349487,121.599327",6300,243,235
1775199814,2026-04-03T07:03:34Z,SJX821,"25.340149,121.584114",6150,237,235
1775199832,2026-04-03T07:03:52Z,SJX821,"25.329445,121.566574",5975,229,235
1775199849,2026-04-03T07:04:09Z,SJX821,"25.319761,121.550766",5800,222,235
1775199865,2026-04-03T07:04:25Z,SJX821,"25.310669,121.536003",5650,215,235
