Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1775208400,2026-04-03T09:26:40Z,KAL2027,"25.706331,122.200928",12950,281,188
1775208434,2026-04-03T09:27:14Z,KAL2027,"25.663422,122.194572",12650,267,187
1775208468,2026-04-03T09:27:48Z,KAL2027,"25.623842,122.189423",12150,252,186
1775208500,2026-04-03T09:28:20Z,KAL2027,"25.58618,122.184708",11675,250,186
1775208513,2026-04-03T09:28:33Z,KAL2027,"25.571424,122.182632",11450,249,187
1775208528,2026-04-03T09:28:48Z,KAL2027,"25.554245,122.180305",11275,248,186
1775208541,2026-04-03T09:29:01Z,KAL2027,"25.53978,122.178246",11075,246,188
1775208548,2026-04-03T09:29:08Z,KAL2027,"25.532413,122.176414",10950,241,197
1775208550,2026-04-03T09:29:10Z,KAL2027,"25.530212,122.175545",10925,239,201
1775208552,2026-04-03T09:29:12Z,KAL2027,"25.527557,122.174278",10875,237,205
1775208554,2026-04-03T09:29:14Z,KAL2027,"25.525864,122.17321",10850,236,208
1775208556,2026-04-03T09:29:16Z,KAL2027,"25.523521,122.171593",10825,234,210
1775208559,2026-04-03T09:29:19Z,KAL2027,"25.521519,122.169838",10775,232,216
1775208561,2026-04-03T09:29:21Z,KAL2027,"25.519684,122.168022",10750,231,220
1775208563,2026-04-03T09:29:23Z,KAL2027,"25.518587,122.166725",10725,229,227
1775208565,2026-04-03T09:29:25Z,KAL2027,"25.516958,122.164551",10675,229,233
1775208568,2026-04-03T09:29:28Z,KAL2027,"25.515701,122.162529",10650,229,236
1775208571,2026-04-03T09:29:31Z,KAL2027,"25.513746,122.158539",10600,228,242
1775208573,2026-04-03T09:29:33Z,KAL2027,"25.512909,122.156219",10550,228,248
1775208576,2026-04-03T09:29:36Z,KAL2027,"25.512314,122.153984",10525,228,253
1775208578,2026-04-03T09:29:38Z,KAL2027,"25.511627,122.15052",10450,229,257
1775208581,2026-04-03T09:29:41Z,KAL2027,"25.511398,122.148186",10425,231,263
1775208584,2026-04-03T09:29:44Z,KAL2027,"25.511324,122.143097",10350,232,267
1775208588,2026-04-03T09:29:48Z,KAL2027,"25.511673,122.13842",10250,234,275
1775208590,2026-04-03T09:29:50Z,KAL2027,"25.511976,122.135941",10225,234,276
1775208594,2026-04-03T09:29:54Z,KAL2027,"25.512451,122.132469",10150,236,277
1775208596,2026-04-03T09:29:56Z,KAL2027,"25.513,122.128853",10075,236,277
1775208599,2026-04-03T09:29:59Z,KAL2027,"25.513367,122.126717",10025,237,280
1775208601,2026-04-03T09:30:01Z,KAL2027,"25.513979,122.123039",9975,238,280
1775208604,2026-04-03T09:30:04Z,KAL2027,"25.514629,122.119408",9900,238,281
1775208606,2026-04-03T09:30:06Z,KAL2027,"25.515049,122.117027",9850,238,281
1775208610,2026-04-03T09:30:10Z,KAL2027,"25.515793,122.11293",9775,239,281
1775208612,2026-04-03T09:30:12Z,KAL2027,"25.516167,122.111015",9750,239,281
1775208614,2026-04-03T09:30:14Z,KAL2027,"25.516865,122.107391",9675,239,282
1775208636,2026-04-03T09:30:36Z,KAL2027,"25.520187,122.094978",9475,244,289
1775208664,2026-04-03T09:31:04Z,KAL2027,"25.534601,122.055725",8800,242,292
1775208680,2026-04-03T09:31:20Z,KAL2027,"25.543991,122.03125",8525,241,292
1775208695,2026-04-03T09:31:35Z,KAL2027,"25.550335,122.014786",8275,240,292
1775208715,2026-04-03T09:31:55Z,KAL2027,"25.558273,121.994576",7975,235,293
1775208731,2026-04-03T09:32:11Z,KAL2027,"25.565418,121.976585",7775,227,294
1775208748,2026-04-03T09:32:28Z,KAL2027,"25.573242,121.956429",7500,217,290
1775208754,2026-04-03T09:32:34Z,KAL2027,"25.574636,121.950676",7425,210,282
1775208759,2026-04-03T09:32:39Z,KAL2027,"25.575577,121.944885",7350,207,279
1775208765,2026-04-03T09:32:45Z,KAL2027,"25.576311,121.938705",7250,206,276
1775208771,2026-04-03T09:32:51Z,KAL2027,"25.576813,121.932777",7225,204,275
1775208787,2026-04-03T09:33:07Z,KAL2027,"25.577866,121.915642",7175,204,273
1775208804,2026-04-03T09:33:24Z,KAL2027,"25.578598,121.899162",7175,203,272
1775208821,2026-04-03T09:33:41Z,KAL2027,"25.57929,121.880768",7200,203,272
1775208837,2026-04-03T09:33:57Z,KAL2027,"25.579849,121.86351",7175,202,271
1775208854,2026-04-03T09:34:14Z,KAL2027,"25.580338,121.84687",7200,202,271
1775208870,2026-04-03T09:34:30Z,KAL2027,"25.580933,121.82943",7200,204,272
1775208888,2026-04-03T09:34:48Z,KAL2027,"25.581528,121.811829",7050,206,272
1775208904,2026-04-03T09:35:04Z,KAL2027,"25.582214,121.793823",6800,204,272
1775208920,2026-04-03T09:35:20Z,KAL2027,"25.582764,121.777092",6475,205,272
1775208935,2026-04-03T09:35:35Z,KAL2027,"25.583405,121.761322",6225,205,273
1775208955,2026-04-03T09:35:55Z,KAL2027,"25.584457,121.741417",6125,203,273
1775208973,2026-04-03T09:36:13Z,KAL2027,"25.585249,121.722763",5800,202,272
1775208989,2026-04-03T09:36:29Z,KAL2027,"25.585144,121.705475",5500,197,261
1775208995,2026-04-03T09:36:35Z,KAL2027,"25.583853,121.700172",5400,193,251
1775208998,2026-04-03T09:36:38Z,KAL2027,"25.583313,121.698814",5375,192,247
1775209007,2026-04-03T09:36:47Z,KAL2027,"25.578415,121.690269",5225,189,231
1775209013,2026-04-03T09:36:53Z,KAL2027,"25.575335,121.686951",5200,190,219
1775209018,2026-04-03T09:36:58Z,KAL2027,"25.570633,121.68335",5175,190,212
1775209023,2026-04-03T09:37:03Z,KAL2027,"25.567001,121.680786",5175,190,212
1775209030,2026-04-03T09:37:10Z,KAL2027,"25.5623,121.677261",5175,191,214
1775209036,2026-04-03T09:37:16Z,KAL2027,"25.557907,121.673836",5175,190,215
1775209041,2026-04-03T09:37:21Z,KAL2027,"25.554106,121.670837",5175,189,215
1775209058,2026-04-03T09:37:38Z,KAL2027,"25.542561,121.662186",5200,190,213
1775209074,2026-04-03T09:37:54Z,KAL2027,"25.529619,121.652748",5200,190,213
1775209088,2026-04-03T09:38:08Z,KAL2027,"25.519285,121.645241",5200,190,213
1775209101,2026-04-03T09:38:21Z,KAL2027,"25.510483,121.638794",5175,191,213
1775209118,2026-04-03T09:38:38Z,KAL2027,"25.498398,121.629997",5200,189,213
1775209135,2026-04-03T09:38:55Z,KAL2027,"25.485674,121.620621",5200,191,213
1775209150,2026-04-03T09:39:10Z,KAL2027,"25.474319,121.612297",5175,192,213
1775209170,2026-04-03T09:39:30Z,KAL2027,"25.458906,121.601036",5175,194,213
1775209186,2026-04-03T09:39:46Z,KAL2027,"25.446396,121.591896",5200,191,213
1775209203,2026-04-03T09:40:03Z,KAL2027,"25.43399,121.582741",5175,190,213
1775209220,2026-04-03T09:40:20Z,KAL2027,"25.421997,121.573997",5175,183,213
1775209236,2026-04-03T09:40:36Z,KAL2027,"25.410213,121.565331",5200,184,213
1775209254,2026-04-03T09:40:54Z,KAL2027,"25.397783,121.556259",5200,184,213
1775209270,2026-04-03T09:41:10Z,KAL2027,"25.386475,121.547951",5200,169,213
1775209287,2026-04-03T09:41:27Z,KAL2027,"25.3759,121.540123",5175,162,214
