Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1775211181,2026-04-03T10:13:01Z,NCA5243,"25.163956,121.331841",2250,138,229
1775211189,2026-04-03T10:13:09Z,NCA5243,"25.160614,121.327515",2150,139,229
1775211196,2026-04-03T10:13:16Z,NCA5243,"25.157761,121.323936",2075,143,229
1775211205,2026-04-03T10:13:25Z,NCA5243,"25.154036,121.319275",1975,145,229
1775211211,2026-04-03T10:13:31Z,NCA5243,"25.150963,121.315338",1875,146,228
1775211220,2026-04-03T10:13:40Z,NCA5243,"25.147202,121.310478",1800,145,229
1775211226,2026-04-03T10:13:46Z,NCA5243,"25.144318,121.306862",1725,146,229
1775211233,2026-04-03T10:13:53Z,NCA5243,"25.14142,121.303162",1625,148,228
1775211241,2026-04-03T10:14:01Z,NCA5243,"25.137604,121.298286",1525,146,229
1775211248,2026-04-03T10:14:08Z,NCA5243,"25.134796,121.294655",1450,147,229
1775211264,2026-04-03T10:14:24Z,NCA5243,"25.127827,121.285851",1250,153,229
1775211275,2026-04-03T10:14:35Z,NCA5243,"25.122345,121.278893",1075,152,228
1775211286,2026-04-03T10:14:46Z,NCA5243,"25.116888,121.271858",925,153,229
1775211298,2026-04-03T10:14:58Z,NCA5243,"25.111725,121.265259",775,153,228
1775211308,2026-04-03T10:15:08Z,NCA5243,"25.106964,121.259308",650,154,228
1775211319,2026-04-03T10:15:19Z,NCA5243,"25.101471,121.252342",500,156,228
1775211333,2026-04-03T10:15:33Z,NCA5243,"25.1001,121.250557",475,157,230
1775211343,2026-04-03T10:15:43Z,NCA5243,"25.096312,121.245743",350,158,229
1775211353,2026-04-03T10:15:53Z,NCA5243,"25.090864,121.238792",250,157,228
1775211363,2026-04-03T10:16:03Z,NCA5243,"25.086582,121.233406",225,132,229
1775211373,2026-04-03T10:16:13Z,NCA5243,"25.083323,121.22921",250,92,229
