Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1775210214,2026-04-03T09:56:54Z,CES2009,"25.797913,121.778008",12325,239,199
1775210250,2026-04-03T09:57:30Z,CES2009,"25.760971,121.764069",11725,234,198
1775210267,2026-04-03T09:57:47Z,CES2009,"25.742643,121.757019",11450,229,199
1775210283,2026-04-03T09:58:03Z,CES2009,"25.726456,121.750946",11175,227,197
1775210289,2026-04-03T09:58:09Z,CES2009,"25.720734,121.749779",11075,229,189
1775210294,2026-04-03T09:58:14Z,CES2009,"25.714737,121.749878",10975,234,179
1775210300,2026-04-03T09:58:20Z,CES2009,"25.708694,121.751251",10925,239,166
1775210306,2026-04-03T09:58:26Z,CES2009,"25.702469,121.754272",10850,246,154
1775210311,2026-04-03T09:58:31Z,CES2009,"25.697254,121.75795",10825,250,147
1775210317,2026-04-03T09:58:37Z,CES2009,"25.691854,121.762146",10775,253,144
1775210322,2026-04-03T09:58:42Z,CES2009,"25.686768,121.766205",10725,254,143
1775210327,2026-04-03T09:58:47Z,CES2009,"25.681473,121.770546",10675,253,143
1775210332,2026-04-03T09:58:52Z,CES2009,"25.676817,121.77433",10600,251,143
1775210351,2026-04-03T09:59:11Z,CES2009,"25.659872,121.788315",10400,251,142
1775210367,2026-04-03T09:59:27Z,CES2009,"25.644743,121.801018",10200,253,142
1775210384,2026-04-03T09:59:44Z,CES2009,"25.628635,121.814285",10000,253,143
1775210400,2026-04-03T10:00:00Z,CES2009,"25.6136,121.827652",9800,260,137
1775210406,2026-04-03T10:00:06Z,CES2009,"25.609131,121.833298",9725,266,130
1775210411,2026-04-03T10:00:11Z,CES2009,"25.604616,121.839935",9675,271,126
1775210417,2026-04-03T10:00:17Z,CES2009,"25.600613,121.846207",9625,272,125
1775210423,2026-04-03T10:00:23Z,CES2009,"25.596634,121.852516",9575,273,124
1775210439,2026-04-03T10:00:39Z,CES2009,"25.585016,121.871338",9375,274,124
1775210455,2026-04-03T10:00:55Z,CES2009,"25.57296,121.890617",9225,276,124
1775210471,2026-04-03T10:01:11Z,CES2009,"25.561569,121.907402",9200,276,125
1775210488,2026-04-03T10:01:28Z,CES2009,"25.556351,121.91259",9175,268,136
1775210492,2026-04-03T10:01:32Z,CES2009,"25.551132,121.916199",9175,260,145
1775210500,2026-04-03T10:01:40Z,CES2009,"25.53083,121.919685",9200,222,187
1775210507,2026-04-03T10:01:47Z,CES2009,"25.526081,121.918083",9200,216,196
1775210512,2026-04-03T10:01:52Z,CES2009,"25.520542,121.914558",9200,211,212
1775210517,2026-04-03T10:01:57Z,CES2009,"25.51733,121.911293",9200,210,225
1775210524,2026-04-03T10:02:04Z,CES2009,"25.513233,121.904663",9200,210,239
1775210528,2026-04-03T10:02:08Z,CES2009,"25.511719,121.899818",9200,211,251
1775210535,2026-04-03T10:02:15Z,CES2009,"25.510849,121.893257",9200,214,262
1775210540,2026-04-03T10:02:20Z,CES2009,"25.511372,121.887711",9200,219,274
1775210546,2026-04-03T10:02:26Z,CES2009,"25.513229,121.880592",9200,227,287
1775210552,2026-04-03T10:02:32Z,CES2009,"25.515608,121.874084",9200,229,292
1775210557,2026-04-03T10:02:37Z,CES2009,"25.517748,121.868698",9200,230,293
1775210562,2026-04-03T10:02:42Z,CES2009,"25.520142,121.86274",9200,230,294
1775210567,2026-04-03T10:02:47Z,CES2009,"25.521469,121.859383",9200,140,293
1775210579,2026-04-03T10:02:59Z,CES2009,"25.526873,121.846046",9050,227,293
1775210599,2026-04-03T10:03:19Z,CES2009,"25.534836,121.826225",8800,219,293
1775210613,2026-04-03T10:03:33Z,CES2009,"25.541428,121.809998",8625,217,294
1775210632,2026-04-03T10:03:52Z,CES2009,"25.548843,121.791176",8400,219,293
1775210652,2026-04-03T10:04:12Z,CES2009,"25.557039,121.770233",8125,222,293
1775210668,2026-04-03T10:04:28Z,CES2009,"25.563974,121.752716",7875,222,293
1775210685,2026-04-03T10:04:45Z,CES2009,"25.570862,121.735481",7650,221,294
1775210702,2026-04-03T10:05:02Z,CES2009,"25.577988,121.718155",7425,221,294
1775210718,2026-04-03T10:05:18Z,CES2009,"25.58511,121.701309",7225,221,295
1775210735,2026-04-03T10:05:35Z,CES2009,"25.59256,121.683907",7000,226,295
1775210752,2026-04-03T10:05:52Z,CES2009,"25.600239,121.666382",6750,227,295
1775210767,2026-04-03T10:06:07Z,CES2009,"25.607595,121.64959",6550,226,295
1775210785,2026-04-03T10:06:25Z,CES2009,"25.615509,121.631714",6325,224,296
1775210801,2026-04-03T10:06:41Z,CES2009,"25.623096,121.614716",6225,224,296
1775210816,2026-04-03T10:06:56Z,CES2009,"25.627659,121.598648",6050,216,279
1775210822,2026-04-03T10:07:02Z,CES2009,"25.628311,121.592583",5975,213,276
1775210826,2026-04-03T10:07:06Z,CES2009,"25.628635,121.588493",5900,210,274
1775210832,2026-04-03T10:07:12Z,CES2009,"25.629055,121.581337",5825,207,273
1775210838,2026-04-03T10:07:18Z,CES2009,"25.629009,121.575333",5750,202,266
1775210843,2026-04-03T10:07:23Z,CES2009,"25.628311,121.571289",5675,198,258
1775210849,2026-04-03T10:07:29Z,CES2009,"25.625982,121.565071",5575,193,245
1775210855,2026-04-03T10:07:35Z,CES2009,"25.62355,121.56031",5550,192,239
1775210860,2026-04-03T10:07:40Z,CES2009,"25.621468,121.556572",5500,192,238
1775210864,2026-04-03T10:07:44Z,CES2009,"25.618906,121.552109",5450,194,237
1775210871,2026-04-03T10:07:51Z,CES2009,"25.615631,121.546425",5350,196,237
1775210887,2026-04-03T10:08:07Z,CES2009,"25.607758,121.532539",5100,198,238
1775210904,2026-04-03T10:08:24Z,CES2009,"25.599867,121.51812",4900,198,238
1775210915,2026-04-03T10:08:35Z,CES2009,"25.594746,121.508842",4775,200,238
1775210926,2026-04-03T10:08:46Z,CES2009,"25.589067,121.498428",4600,200,239
1775210937,2026-04-03T10:08:57Z,CES2009,"25.583759,121.488838",4450,198,238
1775210943,2026-04-03T10:09:03Z,CES2009,"25.58078,121.484383",4350,195,231
1775210949,2026-04-03T10:09:09Z,CES2009,"25.578186,121.481728",4300,193,220
1775210955,2026-04-03T10:09:15Z,CES2009,"25.572308,121.478317",4225,192,202
1775210959,2026-04-03T10:09:19Z,CES2009,"25.567793,121.477226",4225,191,197
1775210965,2026-04-03T10:09:25Z,CES2009,"25.562897,121.477257",4225,202,178
1775210970,2026-04-03T10:09:30Z,CES2009,"25.557598,121.47863",4200,208,166
1775210976,2026-04-03T10:09:36Z,CES2009,"25.552231,121.481529",4200,218,150
1775210981,2026-04-03T10:09:41Z,CES2009,"25.548248,121.484833",4200,225,142
1775210987,2026-04-03T10:09:47Z,CES2009,"25.544098,121.489929",4200,234,130
1775210993,2026-04-03T10:09:53Z,CES2009,"25.539629,121.496666",4200,240,125
1775210999,2026-04-03T10:09:59Z,CES2009,"25.536072,121.502434",4200,241,124
1775211004,2026-04-03T10:10:04Z,CES2009,"25.533371,121.506958",4200,241,123
1775211009,2026-04-03T10:10:09Z,CES2009,"25.529573,121.513191",4200,242,123
1775211015,2026-04-03T10:10:15Z,CES2009,"25.526081,121.519051",4200,242,123
1775211026,2026-04-03T10:10:26Z,CES2009,"25.518959,121.530815",4200,242,123
1775211037,2026-04-03T10:10:37Z,CES2009,"25.512629,121.541229",4200,242,123
