Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1775209203,2026-04-03T09:40:03Z,THY24,"24.94721,120.883423",12650,306,6
1775209206,2026-04-03T09:40:06Z,THY24,"24.951044,120.882599",12625,303,3
1775209208,2026-04-03T09:40:08Z,THY24,"24.949612,120.886696",12575,302,1
1775209214,2026-04-03T09:40:14Z,THY24,"24.960775,120.882927",12525,292,350
1775209217,2026-04-03T09:40:17Z,THY24,"24.965754,120.881058",12475,287,344
1775209220,2026-04-03T09:40:20Z,THY24,"24.970903,120.878479",12450,283,340
1775209223,2026-04-03T09:40:23Z,THY24,"24.972019,120.878899",12400,282,337
1775209225,2026-04-03T09:40:25Z,THY24,"24.973715,120.878128",12375,279,334
1775209227,2026-04-03T09:40:27Z,THY24,"24.978027,120.874924",12350,274,329
1775209230,2026-04-03T09:40:30Z,THY24,"24.982679,120.871025",12325,270,325
1775209234,2026-04-03T09:40:34Z,THY24,"24.984709,120.869194",12275,264,319
1775209238,2026-04-03T09:40:38Z,THY24,"24.987778,120.86586",12225,260,313
1775209243,2026-04-03T09:40:43Z,THY24,"24.992092,120.860542",12175,255,307
1775209248,2026-04-03T09:40:48Z,THY24,"24.997681,120.852737",12100,249,300
1775209250,2026-04-03T09:40:50Z,THY24,"24.99626,120.852814",12075,246,296
1775209252,2026-04-03T09:40:52Z,THY24,"24.995312,120.852043",12050,243,291
1775209257,2026-04-03T09:40:57Z,THY24,"25.000648,120.842247",11975,238,280
1775209260,2026-04-03T09:41:00Z,THY24,"24.999369,120.839996",11950,236,276
1775209262,2026-04-03T09:41:02Z,THY24,"24.999313,120.838554",11925,235,270
1775209264,2026-04-03T09:41:04Z,THY24,"24.998833,120.836037",11900,233,265
1775209266,2026-04-03T09:41:06Z,THY24,"24.998247,120.833374",11875,232,261
1775209268,2026-04-03T09:41:08Z,THY24,"24.998087,120.830948",11850,230,257
1775209270,2026-04-03T09:41:10Z,THY24,"24.997238,120.828957",11825,229,253
1775209273,2026-04-03T09:41:13Z,THY24,"24.996859,120.826492",11800,228,248
1775209275,2026-04-03T09:41:15Z,THY24,"24.995958,120.823639",11775,227,244
1775209277,2026-04-03T09:41:17Z,THY24,"24.995592,120.821548",11750,227,239
