Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1775204406,2026-04-03T08:20:06Z,TGW867,"25.079292,121.2397",0,3,345
1775204424,2026-04-03T08:20:24Z,TGW867,"25.079075,121.239807",0,3,11
1775204441,2026-04-03T08:20:41Z,TGW867,"25.078869,121.239815",0,2,39
1775204636,2026-04-03T08:23:56Z,TGW867,"25.079006,121.240051",0,5,53
1775204651,2026-04-03T08:24:11Z,TGW867,"25.079281,121.240402",0,7,53
1775204660,2026-04-03T08:24:20Z,TGW867,"25.07946,121.240631",0,8,53
1775204667,2026-04-03T08:24:27Z,TGW867,"25.079659,121.240883",0,9,53
1775204678,2026-04-03T08:24:38Z,TGW867,"25.07999,121.241318",0,9,56
1775204683,2026-04-03T08:24:43Z,TGW867,"25.079971,121.24157",0,10,90
1775204692,2026-04-03T08:24:52Z,TGW867,"25.079716,121.24192",0,11,132
1775204699,2026-04-03T08:24:59Z,TGW867,"25.079424,121.242203",0,11,143
1775204721,2026-04-03T08:25:21Z,TGW867,"25.079029,121.242577",0,9,143
1775204731,2026-04-03T08:25:31Z,TGW867,"25.078871,121.242867",0,8,123
1775204745,2026-04-03T08:25:45Z,TGW867,"25.079247,121.243576",0,7,56
1775204759,2026-04-03T08:25:59Z,TGW867,"25.079599,121.244026",0,9,53
1775204778,2026-04-03T08:26:18Z,TGW867,"25.079821,121.244324",0,11,53
1775204791,2026-04-03T08:26:31Z,TGW867,"25.080643,121.245361",0,12,53
1775204798,2026-04-03T08:26:38Z,TGW867,"25.080906,121.245705",0,13,53
1775204806,2026-04-03T08:26:46Z,TGW867,"25.08124,121.246124",0,13,53
1775204814,2026-04-03T08:26:54Z,TGW867,"25.081577,121.246552",0,14,53
1775204825,2026-04-03T08:27:05Z,TGW867,"25.081949,121.247025",0,10,53
1775204831,2026-04-03T08:27:11Z,TGW867,"25.08213,121.247253",0,9,53
1775204840,2026-04-03T08:27:20Z,TGW867,"25.082369,121.247551",0,9,53
1775204847,2026-04-03T08:27:27Z,TGW867,"25.082567,121.247803",0,8,53
1775204854,2026-04-03T08:27:34Z,TGW867,"25.082718,121.248009",0,7,53
1775204864,2026-04-03T08:27:44Z,TGW867,"25.082916,121.248253",0,7,53
