Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1775211430,2026-04-03T10:17:10Z,VJC942,"25.203568,121.38224",3275,132,228
1775211437,2026-04-03T10:17:17Z,VJC942,"25.201126,121.379143",3225,127,228
1775211445,2026-04-03T10:17:25Z,VJC942,"25.197935,121.375084",3200,133,229
1775211454,2026-04-03T10:17:34Z,VJC942,"25.194258,121.370369",3125,139,229
1775211460,2026-04-03T10:17:40Z,VJC942,"25.191557,121.366898",3050,139,229
1775211467,2026-04-03T10:17:47Z,VJC942,"25.188904,121.363533",2975,138,229
1775211476,2026-04-03T10:17:56Z,VJC942,"25.185366,121.359077",2850,138,229
1775211484,2026-04-03T10:18:04Z,VJC942,"25.184946,121.358559",2825,139,229
1775211493,2026-04-03T10:18:13Z,VJC942,"25.177778,121.349335",2625,141,228
1775211503,2026-04-03T10:18:23Z,VJC942,"25.173935,121.344452",2550,137,229
1775211509,2026-04-03T10:18:29Z,VJC942,"25.171122,121.340881",2450,135,228
1775211517,2026-04-03T10:18:37Z,VJC942,"25.167755,121.336571",2350,129,229
1775211526,2026-04-03T10:18:46Z,VJC942,"25.164597,121.33255",2275,119,229
1775211532,2026-04-03T10:18:52Z,VJC942,"25.162369,121.329689",2200,118,229
1775211534,2026-04-03T10:18:54Z,VJC942,"25.16153,121.328636",2175,119,228
1775211536,2026-04-03T10:18:56Z,VJC942,"25.16066,121.327568",2150,118,228
1775211543,2026-04-03T10:19:03Z,VJC942,"25.158552,121.324921",2075,118,228
1775211552,2026-04-03T10:19:12Z,VJC942,"25.155121,121.320549",2000,121,229
1775211560,2026-04-03T10:19:20Z,VJC942,"25.151917,121.316475",1925,121,228
1775211567,2026-04-03T10:19:27Z,VJC942,"25.149628,121.313576",1850,123,229
1775211575,2026-04-03T10:19:35Z,VJC942,"25.146469,121.309563",1775,126,229
1775211584,2026-04-03T10:19:44Z,VJC942,"25.143173,121.305389",1700,125,229
1775211592,2026-04-03T10:19:52Z,VJC942,"25.139931,121.301186",1575,124,229
1775211601,2026-04-03T10:20:01Z,VJC942,"25.136856,121.297356",1500,125,229
1775211607,2026-04-03T10:20:07Z,VJC942,"25.134293,121.294044",1425,124,229
1775211615,2026-04-03T10:20:15Z,VJC942,"25.131226,121.290031",1350,127,229
1775211623,2026-04-03T10:20:23Z,VJC942,"25.128479,121.286568",1275,130,228
1775211631,2026-04-03T10:20:31Z,VJC942,"25.124817,121.281944",1150,131,229
1775211643,2026-04-03T10:20:43Z,VJC942,"25.120285,121.276192",1025,129,229
1775211654,2026-04-03T10:20:54Z,VJC942,"25.115957,121.270615",900,131,229
1775211665,2026-04-03T10:21:05Z,VJC942,"25.111954,121.265617",775,132,228
1775211674,2026-04-03T10:21:14Z,VJC942,"25.107996,121.260506",675,131,229
1775211687,2026-04-03T10:21:27Z,VJC942,"25.102736,121.253876",525,133,229
1775211698,2026-04-03T10:21:38Z,VJC942,"25.09845,121.248421",425,134,229
